smiles,group,FDAMDD
S(=O)(=O)([O-])C1N(C)c2c(cc(N=NC(=O)N)c(O)c2)C1,training,1.0
O=C(O[C@@H]1C(C)(C)[C@H]2[C@@](C)([C@H]3C(=O)C=C4[C@](C)([C@]3(C)CC2)CC[C@]2(C)[C@H]4C[C@](C(=O)O)(C)CC2)CC1)CCC(=O)O,training,1.0
O=C(O)[C@@](NN)(Cc1cc(O)c(O)cc1)C,training,1.0
ClCCN(N=O)C(=O)NCCCl,training,1.0
O=C(N[C@@H]1C(=O)N2C(C(=O)O)=C(C)CS[C@H]12)[C@H](N)c1ccc(O)cc1,training,0.0
O=C(N[C@@H]1C(=O)N2C(C(=O)O)=C(C=C)CS[C@H]12)/C(=N\OCC(=O)O)/c1nc(N)sc1,training,0.0
S(=O)(=O)(O)Cn1c(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)[C@H](O)c4ccccc4)[C@H]3SC2)nnn1,training,0.0
O=C(OCC1=C(C(=O)O)N2C(=O)[C@@](OC)(NC(=O)Cc3sccc3)[C@H]2SC1)N,training,0.0
S(CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cn3nnnc3)[C@H]2SC1)c1scnn1,training,0.0
S(CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)/c3nc(N)sc3)[C@H]2SC1)C=1N(C)NC(=O)C(=O)N=1,training,0.0
O=C(N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(=O)C)CS[C@H]12)[C@H](N)c1ccccc1,training,0.0
O=C(N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(=O)C)CS[C@H]12)Cc1sccc1,training,0.0
ClC1=CC2=C(N(O)CC(=NC)N=C2C=C1)c1ccccc1,training,1.0
ClC=1C=2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)([C@@](OC(=O)C)(C(=O)C)CC4)CC3)C=1)CCC(=O)C=2,training,1.0
Clc1c(S(=O)(=O)N)cc(C2(O)NC(=O)c3c2cccc3)cc1,training,1.0
Clc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)C3)c2n1,training,1.0
Cl[C@H]([C@@H](NC(=O)[C@H]1N(C)C[C@H](CCC)C1)[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@@H](SC)O1)C,training,0.0
ClC=1C=2[C@@](C)([C@H]3[C@@H](O)C[C@]4(C)[C@@](O)(C(=O)CO)CC[C@H]4[C@@H]3C=1)C=CC(=O)C=2,training,1.0
Clc1c(-c2c(C(=O)N[C@@H]3C(=O)N4[C@@H](C(=O)O)C(C)(C)S[C@H]34)c(C)on2)cccc1,training,0.0
Clc1cc2N=C(N3CCN(C)CC3)c3c(Nc2cc1)cccc3,training,0.0
O=C(O)[C@H]1C(C)(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N12,training,0.0
C(N1CCN(C)CC1)(c1ccccc1)c1ccccc1,training,0.0
Clc1ccc(N2C(C)(C)N=C(N)N=C2N)cc1,training,1.0
Clc1c(S(=O)(=O)N)cc2S(=O)(=O)NC(CC3CCCC3)Nc2c1,training,1.0
CN1CCC(=C2c3c(cccc3)C=Cc3c2cccc3)CC1,training,1.0
ClC=1C=2[C@](C)([C@@H]3[C@H](C(=O)C=2)C3)[C@@H]2[C@H]([C@H]3[C@@](C)([C@@](OC(=O)C)(C(=O)C)CC3)CC2)C=1,training,0.0
SC[C@H](N)C(=O)O,training,0.0
O[C@]1(C#C)[C@]2(CC)[C@H]([C@H]3[C@H](C(=C)C2)[C@@H]2C(=CCCC2)CC3)CC1,training,1.0
F[C@]12[C@@H](O)C[C@]3(C)[C@@](OC(=O)CC)(C(=O)COC(=O)CC)[C@H](C)C[C@H]3[C@@H]1CCC=1[C@]2(C)C=CC(=O)C=1,training,1.0
F[C@]12[C@@H](O)C[C@]3(C)[C@@](O)(C(=O)COC(=O)CCCCCCCCCCCCCCC)[C@H](C)C[C@H]3[C@@H]1CCC=1[C@]2(C)C=CC(=O)C=1,training,1.0
F[C@]12[C@@H](O)C[C@]3(C)[C@@](O)(C(=O)COC(=O)CCCC)[C@H](C)C[C@H]3[C@@H]1CCC=1[C@]2(C)C=CC(=O)C=1,training,1.0
Brc1ccc([C@H](CCN(C)C)c2ncccc2)cc1,training,1.0
Oc1cc2[C@]3(C)[C@@H](N)[C@H](Cc2cc1)CCCCC3,training,1.0
O=C1N(CCN(C)C)c2c(N(C)c3c1cccc3)cccc2,training,0.0
BrC[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CBr,training,0.0
ClC(Cl)C(=O)O,training,0.0
Clc1c(-c2c(C(=O)N[C@@H]3C(=O)N4[C@@H](C(=O)O)C(C)(C)S[C@H]34)c(C)on2)c(Cl)ccc1,training,0.0
Oc1ccc(/C(=C(\CC)/c2ccc(O)cc2)/CC)cc1,training,0.0
O=C(O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,training,1.0
Fc1c(-c2cc(C(=O)O)c(O)cc2)ccc(F)c1,training,0.0
O[C@@H]1C/C(=C\C=C/2\[C@H]3[C@@](C)([C@@H]([C@@H](/C=C/[C@@H](C(C)C)C)C)CC3)CCC\2)/[C@@H](C)CC1,training,1.0
ClC(Cl)C(=O)N(C)c1ccc(O)cc1,training,0.0
O=C(O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)CCCCC)[C@H](O)CC1=O,training,1.0
OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,training,0.0
N(CC/C=C\1/c2c(SCc3c/1cccc3)cccc2)(C)C,training,1.0
O=C1[C@H](C)C[C@]2(C)[C@@H]3[C@H]([C@H]4[C@@](C)([C@@H](O)CC4)CC3)CC[C@H]2C1,training,1.0
O=C1N(C)C(=O)c2n(CC(O)CO)cnc2N1C,training,0.0
S(P(=O)(OCC)OCC)CC[N+](C)(C)C,training,1.0
Oc1cc([N+](CC)(C)C)ccc1,training,1.0
O(CC)C=1C(=O)N(C)N=CC=1N1CCOCC1,training,0.0
O=C(Nc1c(CCC2N(C)CCCC2)cccc1)c1ccc(OC)cc1,training,1.0
O=C(CO)[C@@]1(O)C[C@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](N)C2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1,training,1.0
Clc1cc2C(c3ccccc3)=NCc3n(-c2cc1)cnn3,training,1.0
O=C(O[C@@H]1[C@]2(C)[C@H]([C@H]3[C@@H](c4c(cc(O)cc4)CC3)CC2)CC1)CCCC,training,1.0
S(=O)(=O)(Oc1cc2c([C@@H]3[C@H]([C@H]4[C@@](C)(C(=O)CC4)CC3)CC2)cc1)O,training,1.0
S=C(N)c1cc(CC)ncc1,training,0.0
O=C1C=C2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)([C@](O)(C#C)CC4)CC3)CC2)CC1,training,1.0
O=C1C(CC)(C)CC(=O)N1,training,0.0
O=C(Nc1c(C)cccc1C)C(N(CCC)CC)CC,training,0.0
P(=O)(O)(O)C(P(=O)(O)O)(O)C,training,0.0
Clc1c(C2=NCc3n(c(C)nn3)-c3sc(CC)cc23)cccc1,training,1.0
O=C(OCC(COC(=O)N)c1ccccc1)N,training,0.0
Clc1c(-c2c(C(=O)N[C@@H]3C(=O)N4[C@@H](C(=O)O)C(C)(C)S[C@H]34)c(C)on2)c(F)ccc1,training,0.0
Fc1ccc(C(=O)c2cc3[nH]c(NC(=O)OC)nc3cc2)cc1,training,1.0
FC1=C(N)NC(=O)N=C1,training,0.0
F[C@]12[C@@H](O)C[C@]3(C)[C@@](O)(C(=O)COC(=O)C)CC[C@H]3[C@@H]1CCC=1[C@]2(C)CCC(=O)C=1,training,1.0
FC(F)(F)c1cc(Nc2c(C(=O)O)cccc2)ccc1,training,0.0
FC(F)(F)c1cc2N(CCCN3CCN(CCOC(=O)CCCCCCCCC)CC3)c3c(Sc2cc1)cccc3,training,1.0
O=C(N)c1cc2c([nH]c3c2C[C@H](NC)CC3)cc1,training,1.0
O=C(O)/C(/CCC=C(C)C)=C/1\[C@@H](OC(=O)C)C[C@]2(C)[C@]3(C)[C@@H]([C@H](O)C[C@@H]\12)[C@]1(C)[C@H]([C@H](C)[C@H](O)CC1)CC3,training,0.0
O=C(O)[C@@H](N)CCC(=O)O,training,0.0
O=C(OC1C[N+](C)(C)CC1)CC(O)(c1ccccc1)C1CCCC1,training,1.0
O(CC(O)CO)c1c(OC)cccc1,training,0.0
N#CNC(=NC(CC)(C)C)N,training,0.0
Oc1c(CCCCCC)ccc(O)c1,training,0.0
NCCc1[nH]cnc1,training,1.0
O=C(OC1C[C@@H]2N(C)[C@H](C1)CC2)C(O)c1ccccc1,training,1.0
Clc1ccc(C(N2CCN(CCOCCO)CC2)c2ccccc2)cc1,training,0.0
S(CCN=CN)C1=C(C(=O)O)N2C(=O)[C@H]([C@H](O)C)[C@H]2C1,training,0.0
OC1C(O)C(O)C(O)C(O)C1O,training,0.0
IC(C)C1OC(CO)CO1,training,0.0
Ic1ccc(C(CCCCCCCCC(=O)OCC)C)cc1,training,0.0
O=C1N(Cc2ccc(-c3c(-c4n[nH]nn4)cccc3)cc2)C(CCCC)=NC21CCCC2,training,0.0
O=C(O)/C=C(\C=C\C=C(/C=C/C=1C(C)(C)CCCC=1C)\C)/C,training,1.0
Oc1cc2c(cc1)C[C@H]1N(CC=C)CC[C@@]32[C@H]1CCCC3,training,1.0
O([C@H](C(C[C@@H](N(C)C)C)(c1ccccc1)c1ccccc1)CC)C(=O)C,training,0.0
S(C)[C@@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@@H]([C@H](NC(=O)[C@H]2N(C)C[C@H](CCC)C2)[C@H](O)C)O1,training,0.0
Clc1c(C2=NC(O)C(=O)Nc3c2cc(Cl)cc3)cccc1,training,1.0
O=C1c2c(NCCN(CC)CC)ccc(C)c2Sc2c1cccc2,training,0.0
ClCCN(CCCl)c1ccc(C[C@H](N)C(=O)O)cc1,training,1.0
Oc1c(C)cc(O)c2c1cccc2,training,1.0
O(CC1OC(=O)NC1)c1c(OC)cccc1,training,0.0
O=C(OC(C(CC(N(C)C)C)(c1ccccc1)c1ccccc1)CC)C,training,1.0
O(C)c1c(CC(NC)C)cccc1,training,0.0
O=C(OCC(=O)[C@]1(O)[C@]2(C)[C@H]([C@H]3[C@H]([C@@H](O)C2)[C@]2(C)C([C@@H](C)C3)=CC(=O)C=C2)CC1)CCC(=O)O,training,1.0
Ic1c(N(C(=O)C)C)c(I)c(C(=O)O)c(I)c1NC(=O)C,training,0.0
O=[N+]([O-])c1n(CCO)c(C)nc1,training,0.0
ClCC1N(C)S(=O)(=O)c2c(N1)cc(Cl)c(S(=O)(=O)N)c2,training,1.0
O=C(NCC(O)c1c(OC)ccc(OC)c1)CN,training,1.0
[SH0](=O)(C(c1ccccc1)c1ccccc1)CC(=O)N,training,0.0
O=C(OCC)[C@@H](N[C@H](C(=O)N1[C@H](C(=O)O)Cc2c(cc(OC)c(OC)c2)C1)C)CCc1ccccc1,training,1.0
S(C(=O)[C@H](NC(=O)C1CCCCC1)C)C[C@H](C(=O)N1[C@H](C(=O)O)CCC1)C,training,1.0
S(CC1=C(C(=O)O)N2C(=O)[C@@](OC)(NC(=O)C(C(=O)O)c3ccc(O)cc3)[C@H]2OC1)c1n(C)nnn1,training,0.0
O=C1C[C@@H]2[C@H](C(C)(C)Oc3c2c(O)cc(C(CCCCCC)(C)C)c3)CC1,training,1.0
O([C@H]1[C@H](O)[C@@H](O)[C@H](N)C[C@@H]1N)[C@@H]1[C@H](N)[C@@H](O)[C@H](O)[C@@H](CN)O1,training,0.0
O=C(Oc1cc([N+](C)(C)C)ccc1)N(C)C,training,0.0
O=C(N)c1cnccc1,training,0.0
O=C(NCc1ccccc1)CCNNC(=O)c1ccncc1,training,0.0
O=C1C(Cn2c(C)ncc2)CCc2n(C)c3c(c12)cccc3,training,1.0
O=C(OC1C[C@@H]2[N+](CC)(C)[C@@H]([C@H]3O[C@@H]23)C1)[C@H](CO)c1ccccc1,training,1.0
O=C(O)C=1C(=O)c2c(N(CC)C=1)cc1OCOc1c2,training,0.0
O=C(OCC#CCN(CC)CC)C(O)(c1ccccc1)C1CCCCC1,training,1.0
O=C(O[C@H]1[C@@H]([N+]2(C)CCCCC2)C[C@@H]2[C@]1(C)CC[C@@H]1[C@]3(C)[C@H](C[C@H](OC(=O)C)[C@@H]([N+]4(C)CCCCC4)C3)CC[C@@H]21)C,training,1.0
[SH0](=O)(Cc1c(OC)c(OC)ccn1)c1[nH]c2c(n1)ccc(OC(F)F)c2,training,1.0
O(C)c1c(OC)ccc(Cc2nccc3c2cc(OC)c(OC)c3)c1,training,0.0
O(C[C@@H](O)CNC(C)(C)C)c1c(C2CCCC2)cccc1,training,1.0
O=[N+](OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])[O-],training,0.0
O(CCCCCOc1ccc(C(=N)N)cc1)c1ccc(C(=N)N)cc1,training,0.0
Fc1ccc(C(CCCN2CCC(N3C(=O)Nc4c3cccc4)CC2)c2ccc(F)cc2)cc1,training,1.0
O=C(O)C=1C(=O)c2c(N(CC)C=1)nc(N1CCNCC1)nc2,training,0.0
O=C(OC1C[N+](CC)(C)CCC1)C(O)(c1ccccc1)c1ccccc1,training,1.0
Clc1ccc(OC(C(=O)NC(=O)NCN2CCOCC2)(C)C)cc1,training,0.0
O=C(O)C(C)c1cc2c(Oc3ncccc3C2)cc1,training,0.0
Clc1cc2C(c3ccccc3)=NCC(=O)N(CC3CC3)c2cc1,training,1.0
C(c1ccccc1)(c1ccccc1)=C1C(C)[N+](CC)(CC)CC1,training,1.0
O=C(NC(C)C)c1ccc(CNNC)cc1,training,0.0
O=C(O[C@]([C@@H](CN(C)C)C)(Cc1ccccc1)c1ccccc1)CC,training,0.0
IC=1C(=O)C(I)=CN(CC(=O)OCCC)C=1,training,0.0
O=C1N(N(C)C(C)=C1C(C)C)c1ccccc1,training,0.0
N(CCCC1c2c(cccc2)C=Cc2c1cccc2)C,training,1.0
O=C(Oc1c[n+](C)ccc1)N(C)C,training,0.0
OCc1c(O)c(C)ncc1CO,training,0.0
Clc1ccc(C/C(=C\CN2CCCC2)/c2ccccc2)cc1,training,1.0
N(C)(C)c1cc2c([n+](C)c(/C=C/c3c(C)n(c(C)c3)-c3ccccc3)cc2)cc1,training,1.0
O=C(OCC)[C@@H](N[C@H](C(=O)N1[C@H](C(=O)O)C[C@H]2[C@@H]1CCC2)C)CCc1ccccc1,training,1.0
O=C1N(C)C(=O)c2n(CCCNCC(O)c3cc(O)cc(O)c3)cnc2N1C,training,1.0
O=C(O[C@H]1[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C=C(/C)\C(=O)Nc2c(/C=N/N3CCN(C)CC3)c(O)c3c(c(O)c(C)c4O[C@@](C)(C(=O)c34)O/C=C/[C@H](OC)[C@H]1C)c2O)C,training,0.0
O=C(Oc1cc([C@@H](N(C)C)C)ccc1)N(CC)C,training,1.0
S(=O)(=O)(C)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,training,1.0
O(CCCCCCNCC(O)c1cc(CO)c(O)cc1)CCCCc1ccccc1,training,1.0
O=C1C(C(CCC)C)(CC=C)C(=O)NC(=O)N1,training,0.0
O[C@@H]1[C@@H](C)[C@H]2[C@@](C)([C@@H]3C([C@H]4[C@@](C)([C@@H]([C@@H](CC/C(=C/C)/C(C)C)C)CC4)CC3)=CC2)CC1,training,0.0
S(=O)(=O)(Nc1sc(C)nn1)c1ccc(N)cc1,training,0.0
[SH0](=O)([O-])CNc1ccc(S(=O)(=O)c2ccc(NC[SH0](=O)[O-])cc2)cc1,training,0.0
S(=O)(=O)(N)c1ccc(N2S(=O)(=O)CCCC2)cc1,training,0.0
O=C(O)[C@H](O)[C@@H](O)C(=O)O,training,0.0
O=C(O)[C@H]1[C@@](Cn2nncc2)(C)S(=O)(=O)[C@H]2N1C(=O)C2,training,0.0
Clc1cc2C(c3ccccc3)=NC(O)C(=O)N(C)c2cc1,training,1.0
OC(C)(C)C1CCC(O)(C)CC1,training,0.0
O=C(N)C=1C(=O)[C@@H](N(C)C)[C@H]2[C@@](O)(C=1O)C(=O)C1=C(O)c3c(O)cccc3[C@](O)(C)[C@H]1C2,training,0.0
S(CC)c1cc2N(CCCN3CCN(C)CC3)c3c(Sc2cc1)cccc3,training,1.0
S=C1N=C(N)Nc2nc[nH]c12,training,0.0
S(=O)(=O)(N(C)C)c1cc2/C(=C/CCN3CCN(C)CC3)/c3c(Sc2cc1)cccc3,training,1.0
S=C1NC(=O)C=CN1,training,0.0
Clc1c(CN2Cc3c(scc3)CC2)cccc1,training,0.0
S=C1N(C2CCN(CCCC(=O)c3ccc(F)cc3)CC2)c2c(N1)cccc2,training,1.0
O([C@@H]1[C@@H](O)[C@H](O[C@@H]2[C@H](N)C[C@H](O)[C@@H](CN)O2)[C@@H](N)C[C@H]1N)[C@@H]1[C@H](O)[C@@H](N)[C@H](O)[C@@H](CO)O1,training,0.0
S(=O)(=O)(NC(=O)NCCCC)c1ccc(C)cc1,training,0.0
O=[N+]([O-])c1c(O)c(O)cc(C(=O)c2ccc(C)cc2)c1,training,0.0
Oc1c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)cc(C)cc1,training,0.0
O=C(OCC)[C@@H](N[C@H](C(=O)N1[C@H](C(=O)O)C[C@@H]2[C@@H]1CCCC2)C)CCc1ccccc1,training,1.0
O=C(Nc1c(C(=O)O)cccc1)/C=C/c1cc(OC)c(OC)cc1,training,0.0
FC(F)(F)c1cc2N(CCCN(C)C)c3c(Sc2cc1)cccc3,training,1.0
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,training,1.0
N(CC(CN1c2c(Sc3c1cccc3)cccc2)C)(C)C,training,1.0
O=C(O[C@H]1[C@@H](C)[C@@H](C)OC(=O)[C@H](C)[C@@H](O[C@@H]2O[C@@H](C)[C@H](OC(=O)C)[C@@H](OC)C2)[C@H](C)[C@@H](O[C@H]2[C@H](OC(=O)C)[C@@H](N(C)C)C[C@@H](C)O2)[C@@H](C)C[C@]2(C(=O)[C@@H]1C)OC2)C,training,0.0
Ic1c(NC(=O)CCC)c(I)cc(I)c1CC(C(=O)O)CC,training,0.0
O=C(N)C(CCC)CCC,training,0.0
O=C1N(C)C(=O)c2n(CC(O)CN(CCO)C)cnc2N1C,training,0.0
Clc1c(S(=O)(=O)N)cc(C(=O)Nc2c(C)cccc2C)c(O)c1,training,1.0
O=C1N([C@@H]2O[C@H](CO)CC2)C=CC(N)=N1,training,1.0
O=C(N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1N=C(N)N)C,training,1.0
O=C1O[C@@H](C)CCC[C@H](O)CCCCCc2c1c(O)cc(O)c2,training,1.0
Clc1cc2C(OCCN(C)C)=Cc3c(Sc2cc1)cccc3,training,0.0
O=C(NO)C,training,0.0
O=C(C)c1cc2N(CCCN3CCN(CCO)CC3)c3c(Sc2cc1)cccc3,training,0.0
O=C(C)c1cc2N(CCCN(C)C)c3c(Sc2cc1)cccc3,training,1.0
O=C1NC=Nc2[nH]ncc12,training,0.0
O=C(C)[C@@H]1[C@]2(C)[C@H]([C@H]3[C@H](C(=O)C2)[C@]2(C)[C@H](C[C@H](O)CC2)CC3)CC1,training,1.0
O=C(O)CCCCCN,training,0.0
O=C(N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)[C@H](N)c1ccccc1,training,0.0
O=C(O)[C@@H](N)CC(=O)O,training,0.0
Fc1ccc(Cn2c(NC3CCN(CCc4ccc(OC)cc4)CC3)nc3c2cccc3)cc1,training,1.0
Clc1cc2nc3c(c(NC(CCCN(CC)CC)C)c2cc1)cc(OC)cc3,training,0.0
S(=O)(=O)(N)c1c(C(F)(F)F)cc2NC(Cc3ccccc3)NS(=O)(=O)c2c1,training,1.0
O(C(c1ccccc1)c1ccccc1)C1C[C@@H]2N(C)[C@H](C1)CC2,training,1.0
O(CC[N+](Cc1ccccc1)(C)C)c1ccccc1,training,0.0
N(CCc1ncccc1)C,training,1.0
NCCc1[nH]ncc1,training,1.0
Brc1[nH]c2c3c(ccc2)C=2[C@H](N(C)C[C@H](C(=O)N[C@@]4(C(C)C)C(=O)N5[C@@H](CC(C)C)C(=O)N6[C@H]([C@]5(O)O4)CCC6)C=2)Cc13,training,1.0
Brc1ccc(C(OCCN(C)C)c2ccccc2)cc1,training,1.0
O=C(O)C(C(=O)N(Nc1ccccc1)c1ccccc1)CCCC,training,0.0
S(=O)(=O)(N)c1c(Oc2ccccc2)c(NCCCC)cc(C(=O)O)c1,training,1.0
Clc1cc(C(=O)C(NC(C)(C)C)C)ccc1,training,0.0
O=C1C(CC=C)(CC(C)C)C(=O)NC(=O)N1,training,0.0
OC(CCC[C@@H](C)[C@@H]1[C@]2(C)[C@H](/C(=C/C=C/3\C(=C)CC[C@H](O)C\3)/CCC2)CC1)(C)C,training,1.0
OC(CCC[C@@H](C)[C@@H]1[C@]2(C)[C@H](/C(=C/C=C/3\C(=C)[C@@H](O)C[C@H](O)C\3)/CCC2)CC1)(C)C,training,1.0
O(C)c1c(OC)ccc2c1CN1C(c3c(cc4OCOc4c3)CC1)C2,training,0.0
S(CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1)c1n[nH]nc1,training,0.0
S(CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)/c3nc(N)sc3)[C@H]2SC1)c1sc(CC(=O)O)c(C)n1,training,0.0
S(CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3c(CN)cccc3)[C@H]2SC1)c1n(CC(=O)O)nnn1,training,0.0
O=C(N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)/C(=N\OC)/c1nc(N)sc1,training,0.0
O=C(OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N/OC)/c3occc3)[C@H]2SC1)N,training,0.0
Clc1c(C(O)(CCN(C)C)c2ccccc2)cccc1,training,1.0
ClCCN(CCCl)c1ccc(CCCC(=O)O)cc1,training,1.0
Clc1ccc(C2S(=O)(=O)CCC(=O)N2C)cc1,training,0.0
Clc1cc2N(CCCN(C)C)c3c(Sc2cc1)cccc3,training,0.0
Clc1cc2NC(=O)Oc2cc1,training,0.0
O=C(O)c1c(C)c2C(=O)c3c(O)c([C@H]4[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O4)c(O)c(O)c3C(=O)c2cc1O,training,0.0
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,training,1.0
ClC1(Cl)C(c2ccc(OC(C(=O)O)(C)C)cc2)C1,training,1.0
O=C(O)C(O)(CC(=O)O)CC(=O)O,training,0.0
O([C@H]1[C@@](OC)(C)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@@](O)(C)[C@@H](CC)OC(=O)[C@H](C)[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@](OC)(C)C2)C1C)[C@H]1[C@H](O)[C@@H](N(C)C)C[C@@H](C)O1,training,0.0
O=C(OC1C2CC[N+](C)(C1)CC2)C(O)(c1ccccc1)c1ccccc1,training,1.0
Clc1cc2C(N3CCN(C)CC3)=Nc3c(Sc2cc1)cccc3,training,1.0
Clc1c(C2=NCC(=O)N(C)c3sc(CC)cc23)cccc1,training,1.0
O=C(OCC(=O)[C@]1(O)[C@]2(C)[C@H]([C@H]3[C@H](C(=O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1)C,training,0.0
O=C(OC1CC(C)(C)CC(C)C1)C(O)c1ccccc1,training,0.0
SCCN,training,0.0
OCCN(C)C,training,0.0
O=C(O[C@@H]1CC=2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)(C(=O)CC4)CC3)CC=2)CC1)C,training,1.0
S(=O)(=O)(Nc1cc2c([nH]c(C(=O)N3CCN(c4c(NC(C)C)cccn4)CC3)c2)cc1)C,training,0.0
Clc1c2[C@@H](O)[C@@H]3C(C(=O)[C@]4(O)C(O)=C(C(=O)N)C(=O)[C@@H](N(C)C)[C@@H]4C3)=C(O)c2c(O)cc1,training,0.0
F[C@]12[C@@H](O)C[C@]3(C)[C@@](O)(C(=O)CO)[C@H](C)C[C@H]3[C@@H]1CCC=1[C@]2(C)C=CC(=O)C=1,training,1.0
Ic1c(NC(=O)C)c(I)c(C(=O)O)c(I)c1NC(=O)C,training,0.0
O=C(C(N(CC)CC)C)c1ccccc1,training,1.0
