smiles,group,NR-Aromatase
O[C@H]1[C@@H](c2cc(O)c(O)cc2)Oc2c(c(O)cc(O)c2)C1,training,0.0
ClC(Cl)C(c1c(Cl)cccc1)c1ccc(Cl)cc1,training,0.0
Clc1cc2NC(=O)Oc2cc1,training,0.0
Clc1c(S(=O)(=O)N)cc2S(=O)(=O)NC=Nc2c1,training,0.0
Clc1ccc(Cn2c(CN3CCCC3)nc3c2cccc3)cc1,training,0.0
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,training,0.0
Clc1cc(N2CCNCC2)ccc1,training,0.0
Clc1c(C(n2cncc2)(c2ccccc2)c2ccccc2)cccc1,training,1.0
Clc1cc2nccc(NC(CCCN(CC)CC)C)c2cc1,training,0.0
Clc1c(N=C2NCCN2)c(Cl)ccc1,training,0.0
O=C(N(C)C1CCCCC1)CCCOc1cc2c(NC(=O)C=C2)cc1,training,0.0
Clc1cc2N(CCCN(C)C)c3c(Sc2cc1)cccc3,training,0.0
O=C(O)C=1C(=O)c2c(N(CC)N=1)cc1OCOc1c2,training,0.0
O=C(OCC(COC(=O)N)(CCC)C)NC(C)C,training,0.0
Clc1ccc(OCC(=O)OCCN(C)C)cc1,training,0.0
Clc1c(S(=O)(=O)N)cc2S(=O)(=O)NC(C3C4C=CC(C3)C4)Nc2c1,training,0.0
O(C(c1ccccc1)c1ccccc1)CCN(C)C,training,0.0
Nc1c2c([n+](CCCCCCCCCC[n+]3c(C)cc(N)c4c3cccc4)c(C)c1)cccc2,training,1.0
N(CCCN1c2c(cccc2)CCc2c1cccc2)C,training,0.0
O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC(=O)O,training,0.0
Oc1c(C(C)C)cccc1C(C)C,training,0.0
O=C(N(CC)CC)c1cc(OC)c(O)cc1,training,0.0
S(C)c1ccc(C(=O)C2=C(C)NC(=O)N2)cc1,training,0.0
C(C)C1(C2=NCCN2)Oc2c(cccc2)C1,training,0.0
O=C(OCC(COC(=O)N)c1ccccc1)N,training,0.0
Clc1ccc(C(=O)c2ccc(OC(C(=O)OC(C)C)(C)C)cc2)cc1,training,0.0
O=C(O)c1ncc(CCCC)cc1,training,0.0
FC(F)(F)COc1c(C(=O)NCC2NCCCC2)cc(OCC(F)(F)F)cc1,training,0.0
Clc1c(O)c(O)cc2C(c3ccc(O)cc3)CNCCc12,training,0.0
S(=O)(=O)(NC(=O)NC1CCCCC1)c1ccc(CCNC(=O)c2ncc(C)nc2)cc1,training,0.0
O=C(O)CC1(CN)CCCCC1,training,0.0
Clc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,training,0.0
OC1c2c(N)c3c(nc2CCC1)cccc3,training,0.0
Clc1c(S(=O)(=O)N)cc2S(=O)(=O)NCNc2c1,training,0.0
NCCc1[nH]cnc1,training,0.0
O=C(NO)N,training,0.0
Oc1ccc(O)cc1,training,0.0
O=C(O)C(C)c1ccc(CC(C)C)cc1,training,0.0
OC(CNC(C)C)c1cc(O)c(O)cc1,training,0.0
N(CCCN1c2c(cccc2)CCc2c1cccc2)(C)C,training,0.0
C(C)n1c(CC2Oc3c(OC2)cccc3)ncc1,training,0.0
O=C1N(c2ccccc2)c2c(C1(Cc1ccncc1)Cc1ccncc1)cccc2,training,0.0
O=C(O)C(C)c1ccc(CC2C(=O)CCC2)cc1,training,0.0
Clc1c(Cl)cccc1-c1c(N)nc(N)nn1,training,0.0
Clc1c(Cn2nc(C(=O)O)c3c2cccc3)ccc(Cl)c1,training,0.0
O=C(Nc1c(C)cccc1C)CN(CC)CC,training,0.0
Clc1cc2c(C(=C3CCN(C(=O)OCC)CC3)c3ncccc3CC2)cc1,training,0.0
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(NCc4c(C)cccc4)c3nc2)O1,training,1.0
Clc1c(N)cc(OC)c(C(=O)NCCN(CC)CC)c1,training,0.0
CN1CC2N(c3c(cccc3)Cc3c2cccc3)CC1,training,0.0
O=C(Oc1c(C)cc(OCCN(C)C)c(C(C)C)c1)C,training,0.0
O=C(NCCc1c2c([nH]c1)ccc(OC)c2)C,training,0.0
O(C)c1c(OC)cc(C(C#N)(C(C)C)CCCN(CCc2cc(OC)c(OC)cc2)C)cc1OC,training,0.0
N(C)C1(C)C(C)(C)C2CC1CC2,training,0.0
NC12CC3(C)CC(C)(C1)CC(C2)C3,training,0.0
O=[N+]([O-])c1cc(C2C(C(=O)OCC)=C(C)NC(C)=C2C(=O)OC)ccc1,training,0.0
O=[N+]([O-])c1cc(C2C(C(=O)OC(C)C)=C(C)NC(C)=C2C(=O)OCCOC)ccc1,training,0.0
O(C(CCNC)c1ccccc1)c1c(OC)cccc1,training,0.0
OC(C(NC(CCc1ccccc1)C)C)c1ccc(O)cc1,training,0.0
O(CC(O)CN1CCN(c2c(OC)cccc2)CC1)c1c2c(ccc1)cccc2,training,0.0
S(=O)(=O)(Nc1c(Oc2ccccc2)cc([N+](=O)[O-])cc1)C,training,0.0
O=[N+]([O-])c1c(C2C(C(=O)OC)=C(C)NC(C)=C2C(=O)OC)cccc1,training,1.0
FC(F)(F)c1c([N+](=O)[O-])ccc(N2C(=O)C(C)(C)NC2=O)c1,training,0.0
ClCCN(N=O)C(=O)NCc1c(N)nc(C)nc1,training,0.0
OC(CN)c1ccc(O)cc1,training,0.0
O=C(O)C=1C(=O)c2c(N(CC)C=1)cc1OCOc1c2,training,0.0
Oc1c(C)c(CC2=NCCN2)c(C)cc1C(C)(C)C,training,0.0
O=C(N)CN1C(=O)CC(O)C1,training,0.0
Fc1ccc(C(=O)C2CCN(CCC=3C(=O)N4C(=NC=3C)C=CC=C4)CC2)cc1,training,0.0
O(CC(O)CNC(C)C)c1c2c([nH]cc2)ccc1,training,0.0
O=C(CCCCN1C(=O)N(C)c2ncn(C)c2C1=O)C,training,0.0
Fc1ccc(C(CCCN2CCC(N3C(=O)Nc4c3cccc4)CC2)c2ccc(F)cc2)cc1,training,0.0
O(C)c1c(OC)ccc(Cc2nccc3c2cc(OC)c(OC)c3)c1,training,0.0
N(C(CN1c2c(Sc3c1cccc3)cccc2)C)(C)C,training,0.0
O=C(CCc1ccccc1)c1c(OCC(O)CNCCC)cccc1,training,0.0
O=C(N)CN1C(=O)CCC1,training,0.0
O(C)c1ccc(CN(CCN(C)C)c2ncccc2)cc1,training,0.0
O=C1N(CCC)c2nc[nH]c2C(=O)N1,training,0.0
n12nnnc1CCCCC2,training,0.0
O=C(N)c1nccnc1,training,0.0
O=C1C(CC)(c2ccccc2)C(=O)NCN1,training,0.0
O=C(CN1CCN(C)CC1)N1c2ncccc2NC(=O)c2c1cccc2,training,0.0
O=C1N(N(c2ccccc2)C(=O)C1CCCC)c1ccccc1,training,0.0
N(CCCC1c2c(cccc2)C=Cc2c1cccc2)C,training,0.0
C(N1CCN(c2ncccn2)CC1)c1cc2OCOc2cc1,training,0.0
O=C(NCCN(CC)CC)c1ccc(N)cc1,training,0.0
O=C(CCCCN1C(=O)N(C)c2ncn(CCC)c2C1=O)C,training,0.0
O=C(OCCN(CC)CC)c1ccc(N)cc1,training,0.0
N1(c2nc3c(cc2)cccc3)CCNCC1,training,0.0
S(CCN/C(/NC)=C/[N+](=O)[O-])Cc1oc(CN(C)C)cc1,training,0.0
Fc1cc2onc(C3CCN(CCC=4C(=O)N5C(=NC=4C)CCCC5)CC3)c2cc1,training,0.0
O=C(c1c(-c2ccc(O)cc2)sc2c1ccc(O)c2)c1ccc(OCCN2CCCCC2)cc1,training,1.0
O=C1Nc2c(c(CCN(CCC)CCC)ccc2)C1,training,0.0
O=C(Nc1c(C)cccc1C)CN1CCN(CC(O)COc2c(OC)cccc2)CC1,training,0.0
O=C1C2(N(c3ccccc3)CN1)CCN(CC1Oc3c(OC1)cccc3)CC2,training,0.0
S(=O)(=O)(Nc1n(-c2ccccc2)ncc1)c1ccc(N)cc1,training,0.0
Clc1nc(N2CCC(N)CC2)ccc1,training,0.0
OC(CNC(C)(C)C)c1cc(CO)c(O)cc1,training,0.0
[SH0](=O)(C)c1ccc(/C=C\2/C(C)=C(CC(=O)O)c3c/2ccc(F)c3)cc1,training,0.0
O=C(OC1C[C@@H]2N(C)[C@H](C1)CC2)c1c2c([nH]c1)cccc2,training,0.0
O=C(CN1CCN(C)CC1)N1c2c(C)scc2C(=O)Nc2c1cccc2,training,0.0
O=C1C(N2C(=O)c3c(C2=O)cccc3)CCC(=O)N1,training,0.0
S(=O)(=O)(C)c1cc(C(=O)NCCN(CC)CC)c(OC)cc1,training,0.0
S(=O)(=O)(O)CCN,training,0.0
S(=O)(=O)(NC(=O)NCCCC)c1ccc(C)cc1,training,0.0
S(=O)(=O)(NC(=O)NN1CCCCCC1)c1ccc(C)cc1,training,0.0
O=C(O)CCCCC1SSCC1,training,0.0
Clc1cc(N2CCN(CCCN3C(=O)N4C(=N3)C=CC=C4)CC2)ccc1,training,0.0
Oc1c(O)ccc(C=C(C#N)C#N)c1,training,0.0
FC(F)(F)c1c(-n2cncc2)cccc1,training,1.0
O(C)c1c(OC)cc(Cc2c(N)nc(N)nc2)cc1OC,training,0.0
O([C@H](CCNC)c1ccccc1)c1c(C)cccc1,training,0.0
OC(c1ccccc1)(c1ccccc1)C1CCN(CCCC(O)c2ccc(C(C)(C)C)cc2)CC1,training,0.0
O=C(N(CC)Cc1ccncc1)C(CO)c1ccccc1,training,1.0
Brc1c(NC2=NCCN2)ccc2nccnc12,training,0.0
O(C)c1c(OC)ccc(C(C#N)(C(C)C)CCCN(CCc2cc(OC)c(OC)cc2)C)c1,training,0.0
O=C(O)CCC(N)C=C,training,0.0
N(c1c(C)cccc1C)C=1SCCCN=1,training,0.0
C(C)(C)(C)c1cc(C)c(CC2=NCCN2)c(C)c1,training,0.0
FC(F)Oc1c(OC)cc(C2=NNC(=O)C=C2)cc1,training,0.0
Brc1c(C[N+](CC)(C)C)cccc1,training,0.0
ClC(Cl)(P(=O)(O)[O-])P(=O)(O)[O-],training,0.0
Clc1cc2C(N3CCN(C)CC3)=Nc3c(Oc2cc1)cccc3,training,0.0
Clc1c(Cl)ccc(C(=O)NC(C(=O)N(CCCCC)CCCCC)CCC(=O)O)c1,training,0.0
O=C1C(O)=C(O)[C@@H]([C@@H](O)CO)O1,training,0.0
O/N=C/c1[n+](C)cccc1,training,0.0
O[C@@]1(C#C)[C@]2(C)[C@H]([C@H]3[C@@H]([C@@H]4C(=CCCC4)CC3)CC2)CC1,training,0.0
O=C(OCC[N+](CC)(CC)C)C1c2c(Oc3c1cccc3)cccc2,training,0.0
Clc1c(S(=O)(=O)N)cc(C(=O)O)c(NCc2occc2)c1,training,0.0
O=C(C(C)(C)c1cnccc1)c1cnccc1,training,0.0
O=C(Oc1c([N+](C)(C)C)cccc1)N(CCCCCCCCCCN(C(=O)Oc1c([N+](C)(C)C)cccc1)C)C,training,0.0
S(=O)(=O)(NC(=N)N)c1ccc(N)cc1,training,0.0
[SH0](=O)(CCC1C(=O)N(N(c2ccccc2)C1=O)c1ccccc1)c1ccccc1,training,0.0
Clc1ccc(-c2c(N)nc(N)nc2CC)cc1,training,0.0
O=C1N(N(C)C(C)=C1N(C)C)c1ccccc1,training,0.0
O=C(O)c1cnccc1,training,0.0
O=C(O)[C@@H](N)Cc1cc(O)c(O)cc1,training,0.0
C(c1ccccc1)C1=NCCN1,training,0.0
N=C(NCCN1CCCCCCC1)N,training,0.0
O=C1N(N(C)C(C)=C1)c1ccccc1,training,0.0
O=[N+]([O-])c1sc(N2C(=O)NCC2)nc1,training,0.0
O=C(O)c1c(Nc2c(C)c(C)ccc2)cccc1,training,0.0
O=C(O)CNC(=O)c1ccc(N)cc1,training,0.0
Clc1cc2nc(N)oc2cc1,training,0.0
O=C(Nc1ccc(OCC)cc1)C,training,0.0
O=C(OC(C[N+](C)(C)C)C)C,training,0.0
C(c1ccccc1)(c1ccccc1)=C1CC[N+](C)(C)CC1,training,0.0
O(C)c1cc(NC(CCCN)C)c2ncccc2c1,training,0.0
O=C1NC(=O)CC(CC)(C)C1,training,0.0
O=C(N)C(CC[N+](C(C)C)(C(C)C)C)(c1ccccc1)c1ccccc1,training,0.0
Oc1cc(N(CC2=NCCN2)c2ccc(C)cc2)ccc1,training,0.0
S(=O)(=O)(N)c1c(C(F)(F)F)cc2NC(Cc3ccccc3)NS(=O)(=O)c2c1,training,0.0
Clc1c(S(=O)(=O)N)cc2C(=O)NC(CC)Nc2c1,training,0.0
Clc1c(S(=O)(=O)N)cc(C2(O)NC(=O)c3c2cccc3)cc1,training,0.0
O=C1C(CC)(C)CC(=O)N1,training,0.0
S(=O)(=O)(c1ccc(N)cc1)c1ccc(N)cc1,training,0.0
Clc1nnc(NS(=O)(=O)c2ccc(N)cc2)cc1,training,0.0
S(=O)(=O)(Nc1nnc(OC)cc1)c1ccc(N)cc1,training,0.0
Oc1ccc([C@H]([C@@H](CC)c2ccc(O)cc2)CC)cc1,training,0.0
Oc1ccc(/C(/C(=C/C)/c2ccc(O)cc2)=C\C)cc1,training,0.0
O=C(OCC)Oc1c(OC)cc(C(=O)O[C@H]2[C@H](OC)[C@@H](C(=O)OC)[C@@H]3[C@H](C2)CN2[C@@H](c4[nH]c5c(c4CC2)ccc(OC)c5)C3)cc1OC,training,0.0
S(=O)(=O)(Nc1sccn1)c1ccc(NC(=O)c2c(C(=O)O)cccc2)cc1,training,0.0
O=C(NCCN(CC)CC)c1c2c(nc(OCCCC)c1)cccc2,training,0.0
O=C1N(C)C(=O)CC1c1ccccc1,training,0.0
O=C1N(CC)C(=O)NC1c1ccccc1,training,0.0
O=C(O)c1c(O)ccc(N)c1,training,0.0
O=C1Oc2c(C(C)=C1)ccc(O)c2,training,0.0
N12[C@@H]([C@@H]3CN4[C@H]([C@H](C1)C3)CCCC4)CCCC2,training,0.0
O(CC)c1cc2C(C)=CC(C)(C)Nc2cc1,training,0.0
OC(CNC)c1ccc(O)cc1,training,0.0
O=C(OCCCC)c1ccc(N)cc1,training,0.0
Ic1c(N)c(I)cc(I)c1CC(C(=O)O)CC,training,0.0
O=C(NC1C(=O)NC(=O)N1)N,training,0.0
O=C(Nc1ccc(O)cc1)C,training,0.0
O=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)c1ccc(NCCCC)cc1,training,0.0
OC(c1ccccc1)(c1ccccc1)C1CCNCC1,training,0.0
S(=O)(=O)(Nc1sccn1)c1ccc(NC(=O)CCC(=O)O)cc1,training,0.0
Clc1c(Cl)cc(S(=O)(=O)N)cc1S(=O)(=O)N,training,0.0
[As](=O)(O)(O)c1cc([N+](=O)[O-])c(O)cc1,training,0.0
[As](=O)(O)(O)c1ccc(NC(=O)N)cc1,training,0.0
S(=O)(=O)(Nc1nc(OC)nc(OC)c1)c1ccc(N)cc1,training,0.0
O=C(N(C(Cc1ccccc1)(C)C)C)CN(CC(=O)N(C(Cc1ccccc1)(C)C)C)CCO,training,0.0
O=C1N(C)C(=O)OC1(C)C,training,0.0
S(=O)(=O)(Nc1c(C)c(C)no1)c1ccc(N)cc1,training,0.0
S(=O)(=O)(NC(=O)c1ccccc1)c1ccc(N)cc1,training,0.0
S(=O)(=O)(Nc1nc(C)ccn1)c1ccc(N)cc1,training,0.0
O=C(O)CC[C@@H](C)[C@@H]1[C@]2(C)[C@H]([C@@H]3[C@H](O)C[C@H]4[C@@](C)([C@H]3CC2)CC[C@@H](O)C4)CC1,training,0.0
O(C)c1c(OC)ccc2[C@@H]([C@@H]3N(C)CCc4c3c(OC)c3OCOc3c4)OC(=O)c12,training,0.0
O=C1N(N(c2ccccc2)C(=O)C1CCCC)c1ccc(O)cc1,training,0.0
Ic1c(O)c2ncccc2c(Cl)c1,training,0.0
O=C(c1c(O)cc(OC)cc1)c1ccccc1,training,0.0
O(C(c1ccccc1)c1ccccc1)C1CCN(C)CC1,training,0.0
O(CCCN(C)C)c1nn(Cc2ccccc2)c2c1cccc2,training,0.0
ClC(Cl)C1NS(=O)(=O)c2c(N1)cc(Cl)c(S(=O)(=O)N)c2,training,0.0
S(=O)(=O)(N)c1c(C(F)(F)F)cc2NCNS(=O)(=O)c2c1,training,0.0
NC1(C)CN(CC(CCCC)CC)CN(CC(CCCC)CC)C1,training,0.0
S(=O)(=O)(Nc1sc(C)nn1)c1ccc(N)cc1,training,0.0
O=C(OCCCN(CCCC)CCCC)c1ccc(N)cc1,training,0.0
O=C(C)[C@@H]1[C@]2(C)[C@H]([C@H]3[C@H]([C@@]4(C)C(=CC(=O)CC4)C=C3)CC2)CC1,training,0.0
O=[N+]([O-])c1ccc(C(CC(=O)C)C=2C(=O)Oc3c(C=2O)cccc3)cc1,training,0.0
O(C)c1c2occc2cc2c1OC(=O)C=C2,training,0.0
C(N1CCN(C)CC1)(c1ccccc1)c1ccccc1,training,0.0
O(C[C@H](O)CNC(C)C)c1c2c(ccc1)cccc2,training,0.0
FC(F)(F)c1cc(OC(=O)C)c(C(=O)O)cc1,training,0.0
O=C(NC(C)C)c1ccc(CNNC)cc1,training,0.0
O=[N+]([O-])c1n(CCO)c(C)nc1,training,0.0
O=C1[C@]2(C)[C@H]3[C@H](C)[C@@]4(O[C@H]3C[C@H]2[C@H]2[C@@H]([C@]3(C)[C@H](C[C@@H](O)CC3)CC2)C1)OC[C@H](C)CC4,training,0.0
O=C1[C@@H](C)[C@H]2[C@H](O1)C1=C(C)C(=O)C=C[C@]1(C)CC2,training,0.0
O(C[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@H](Oc2cc(O)c3C(=O)C[C@@H](c4cc(O)c(OC)cc4)Oc3c2)O1)[C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1,training,0.0
C1(C2c3c(cccc3)CCC2)=NCCN1,training,0.0
O(C)c1c(OC)ccc2c1CN1C(c3c(cc4OCOc4c3)CC1)C2,training,0.0
FC(F)(F)c1cc(Nc2c(C(=O)O)cccc2)ccc1,training,0.0
O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1c(O)cc2OC(=O)C=Cc2c1,training,0.0
O(C(CN(C)C)(CC)C)C(=O)c1ccccc1,training,0.0
O=C(OC(CNC1CCCCC1)C)c1ccccc1,training,0.0
OC(CNCC)c1cc(O)ccc1,training,0.0
S=C(N)c1cc(CC)ncc1,training,0.0
Fc1ccc(C(=O)CCCN2CC=C(N3C(=O)Nc4c3cccc4)CC2)cc1,training,0.0
O=C(OCCN(CC)CC)c1c(OCCC)cc(N)cc1,training,0.0
S(=O)(=O)(N)C=1SC(=NC(=O)C)N(C)N=1,training,0.0
S(C)C=1C(=O)C=C2[C@@H](NC(=O)C)CCc3c(c(OC)c(OC)c(O[C@H]4[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O4)c3)C2=CC=1,training,0.0
O=C1N(C)C(=O)c2n(CC(O)C)cnc2N1C,training,0.0
Clc1cc2/C(=C\CCN3CCN(CCO)CC3)/c3c(Sc2cc1)cccc3,training,0.0
Clc1ccc(NC(NC(=N)NC(C)C)=N)cc1,training,0.0
S(=O)(=O)(Nc1ncc(OC)cn1)c1ccc(N)cc1,training,0.0
O=C1C(C)(C)OC(=O)N1,training,0.0
S(=O)(=O)(Nc1noc(C)c1)c1ccc(N)cc1,training,0.0
Clc1c(S(=O)(=O)N)cc2S(=O)(=O)NC(CC3CCCC3)Nc2c1,training,0.0
O=C(O)CCCCCC[C@@H]1[C@@H](/C=C/[C@@H](O)CCCCC)[C@H](O)CC1=O,training,0.0
N=C(NC(=N)N)NCCc1ccccc1,training,0.0
Clc1ccc(OC(C(=O)O)(C)C)cc1,training,0.0
Clc1ccc(OCC(O)COC(=O)N)cc1,training,0.0
N(CC/C=C/1\c2c(SCc3c\1cccc3)cccc2)(C)C,training,0.0
O=C(OCC(NCCC)(C)C)c1ccccc1,training,0.0
O=C(OCC1=C(C(=O)O)N2C(=O)[C@@H](N)[C@H]2SC1)C,training,0.0
O(CC)c1c(OCC)ccc(Cc2nccc3c2cc(OCC)c(OCC)c3)c1,training,0.0
O=C(O)[C@@H](NCNC(=O)C=1C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@](O)(C)C3C[C@H]2[C@H](N(C)C)C=1O)CCCCN,training,0.0
OC[C@@H](NCCN[C@H](CO)CC)CC,training,0.0
S(=O)(=O)(N)c1c(C)cc2c(S(=O)(=O)CCC2)c1,training,0.0
N(C(CN1c2c(Sc3c1cccc3)cccc2)C)(CC)CC,training,0.0
Clc1ccc(C(N2CCN(Cc3cc(C)ccc3)CC2)c2ccccc2)cc1,training,0.0
O=C(O)C1CCC(CN)CC1,training,0.0
S(=O)(=O)(Nc1ncnc(OC)c1)c1ccc(N)cc1,training,0.0
O=C(OCC#CCN(CC)CC)C(O)(c1ccccc1)C1CCCCC1,training,0.0
OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,training,0.0
C(C1c2c(Sc3c1cccc3)cccc2)C1CN(C)CCC1,training,0.0
Clc1ccc(C(N2CCN(C)CC2)c2ccccc2)cc1,training,0.0
Fc1ccc(C(=O)CCCN2CCN(c3ncccc3)CC2)cc1,training,0.0
O=C(Nc1c(C)cccc1)C(NCCC)C,training,0.0
FC=1C(N)=NC(=O)NC=1,training,0.0
Clc1ccc(NC=2/C(=N\C(C)C)/C=C3N(c4ccc(Cl)cc4)c4c(N=C3C=2)cccc4)cc1,training,0.0
Fc1ccc(C(=O)CCCN2CCC(N3C(=O)Nc4c3cccc4)CC2)cc1,training,0.0
O=C(NC=1C(=O)N(N(C)C=1C)c1ccccc1)c1cnccc1,training,0.0
O=C(NO)Cc1ccc(OCCCC)cc1,training,0.0
S(=O)(=O)(Nc1c(OC)c(OC)ncn1)c1ccc(N)cc1,training,0.0
N(Cc1ccccc1)(CC1=NCCN1)c1ccccc1,training,0.0
O=C(OCCCCN(C(Cc1ccc(OC)cc1)C)CC)c1cc(OC)c(OC)cc1,training,0.0
O(CCN(C)C)c1nc(CCCC)cc2c1cccc2,training,0.0
O=C(NCC(O)c1c(OC)ccc(OC)c1)CN,training,0.0
N=C(NC(=N)N1CCOCC1)N,training,0.0
O=C(O)[C@H]1C(C)(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N12,training,0.0
O=C(OC1C2CC[N+](C)(C1)CC2)C(O)(c1ccccc1)c1ccccc1,training,0.0
O=C(C)c1cc2N(CCCN(C)C)c3c(Sc2cc1)cccc3,training,0.0
O=[N+]([O-])c1oc(C=NN2C(=O)OC(CN3CCOCC3)C2)cc1,training,0.0
ClCCNP1(=O)N(CCCl)CCCO1,training,0.0
O=C1Oc2c(C)c3oc(C)cc3cc2C(C)=C1,training,0.0
