smiles,group,BBB
O=C(OCC[N+](C)(C)C)CCC(=O)OCC[N+](C)(C)C,training,0.0
ClC(Cl)C(=O)N[C@@H]([C@H](O)c1ccc(S(=O)(=O)C)cc1)CF,training,1.0
O=C(O)C[C@@H](CN)CC(C)C,training,1.0
O(C)c1ccc(Cn2c(C)c(CCN)c3c2ccc(O)c3)cc1,training,1.0
O=C1C=C2C(=C3[C@@H]([C@H]4C(C)(C(O)(CC#N)CC4)CC3)CC2)CC1,training,0.0
Brc1ccc(/C(=C/CNC)/c2cnccc2)cc1,training,1.0
O=C(O)[C@H]1C(C)(C)S[C@@H]2[C@H](NC(=O)C34CC5(N)CC(C3)CC(C5)C4)C(=O)N12,training,0.0
Oc1cc2c(cc1)C[C@H]1N(CC3CCC3)CC[C@@]32[C@H]1[C@@H](C)CC(=C)C3,training,1.0
S(/C(=C(\N(C=O)Cc1c(N)nc(C)nc1)/C)/CCOC(=O)c1ccccc1)C(=O)c1ccccc1,training,1.0
Ic1c(N(C(=O)C)C)c(I)c(C(=O)N[C@@H]2[C@H](O)[C@H](O)[C@H](CO)O[C@@H]2O)c(I)c1NC(=O)C,training,0.0
Clc1cc2N(CCCN3CCN(CCOC(=O)c4cc(OC)c(OC)c(OC)c4)CC3)c3c(Sc2cc1)cccc3,training,1.0
O=C(N[C@H](C(C)(C)C)C(=O)N1[C@H](C(=O)N[C@H](C(=O)C(=O)NC2CC2)CCC)[C@H]2[C@@H](C1)CCC2)[C@H](NC(=O)c1nccnc1)C1CCCCC1,training,0.0
O=C(N[C@H](C(=O)N1[C@H](C(=O)N[C@@H](C=O)Cc2ccccc2)CCC1)CCCN)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CC(C)C)CCCN)C(C)C,training,0.0
Fc1c([C@](O)([C@@H](C)c2c(F)cncn2)Cn2ncnc2)ccc(F)c1,training,0.0
Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc3c2cc(-c2oc(CNCCS(=O)(=O)C)cc2)cc3)c1,training,0.0
N(CCCN1c2c(cccc2)CCc2c1cccc2)(C)C,training,1.0
N(=NC1=NCCN1)C=C1c2c(C(=CNN=C3NCCN3)c3c1cccc3)cccc2,training,0.0
BrC(Cl)C(F)(F)F,training,1.0
OCCC,training,1.0
N(N)CC1CCCCC1,training,1.0
O=C(O[C@@H]1OC=C(COC(=O)C)C=2[C@H]1[C@@]1([C@@H](OC(=O)CC(C)C)C=2)OC1)CC(C)C,training,1.0
O=C(O)CCCCCCCC(=O)O,training,0.0
P(=O)(O)(O)C/C(=C/C(N)C(=O)O)/C,training,1.0
O=C(NNC(C)c1ccccc1)c1ccccc1,training,1.0
N12C(c3c4c(ccc3)CCc3c(cccc3)C4C1)CCCC2,training,1.0
ClC(=C(c1ccc(OC)cc1)c1ccc(OC)cc1)c1ccc(OC)cc1,training,0.0
Oc1cc2c([C@@H]3[C@H]([C@H]4[C@@](C)([C@](O)(C#C)CC4)CC3)CC2)cc1,training,0.0
Clc1ccc(OCC(=O)N2CCN(Cc3cc4OCOc4cc3)CC2)cc1,training,1.0
O=C1N(C)c2n(C)nc(C)c2N(c2ccccc2)C(=O)C1,training,1.0
O=C1C=C2C(C)([C@@H]3[C@@H]([C@H]4C(C)(C(=O)CC4)CC3)CC2=C)C=C1,training,0.0
O=C(N(CC)Cc1ccncc1)[C@H](CO)c1ccccc1,training,0.0
O(C)c1c(N2CCN(CCC/N=C\3/N(C)C(=O)N(C)C(=O)C/3)CC2)cccc1,training,0.0
S(=O)(=O)(N)c1cc(C(=O)NCC2N(CC)CCC2)c(OC)cc1,training,1.0
O=C(O[C@H]1[C@@H]([N+]2(C)CCCCC2)C[C@@H]2[C@]1(C)CC[C@@H]1[C@]3(C)[C@H](C[C@H](OC(=O)C)[C@@H](N4CCCCC4)C3)CC[C@@H]21)C,training,0.0
O=C(O[C@H]1[C@@H]([N+]2(C)CCCCC2)C[C@H]2C1(C)CC[C@@H]1C3(C)[C@H](C[C@@H](OC(=O)C)[C@@H]([N+]4CCCCC4)C3)CC[C@H]21)C,training,0.0
O=C(N[C@@H](C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)c1ccc(O)cc1)[C@@H](N)CC(=O)NC,training,0.0
N1(c2nc(-c3ccccc3)c3c(c2)cccc3)CCNCC1,training,1.0
S(=O)(=O)([O-])CCNC(=O)CC[C@H](C)[C@H]1C2(C)[C@@H]([C@@H]3[C@@H](O)C[C@@H]4C(C)([C@@H]3CC2)CC[C@@H](O)C4)CC1,training,0.0
O=C(NC(CC)c1ccccc1)c1c(O)c(-c2ccccc2)nc2c1cccc2,training,1.0
P(=O)(O[C@H](OC(=O)CC)C(C)C)(CC(=O)N1[C@@H](C(=O)O)C[C@@H](C2CCCCC2)C1)CCCCc1ccccc1,training,0.0
O=C(N(C)C1[C@@H](OC)[C@@H](O)[C@H](N)[C@@H](O[C@@H]2[C@H](N)CC[C@@H](C(N)C)O2)[C@@H]1O)CN,training,0.0
S(C(=O)C(C)(C)C)CC(=O)C1(O)C2(C)C(C3C(C4(C)C(=CC(=O)CC4)CC3)C(O)C2)CC1,training,1.0
ClCCC(=O)NCCc1ccccc1,training,1.0
Cc1c(N2CCCCC2)nccn1,training,1.0
O=C1C=C2C(=C3[C@@H]([C@H]4C(CC)(C(O)(C#C)CC4)C=C3)CC2)CC1,training,0.0
S(P(=O)(OCC)OCC)CC[N+](C)(C)C,training,0.0
O=C(NCCOc1c(-c2ccccc2)nc2c(c1C(=O)N[C@@H](CC)c1ccccc1)cccc2)Cc1ncccc1,training,0.0
C(c1ccccc1)(c1ccccc1)=C1CN(CC)CC1,training,1.0
FC(F)(F)c1cc2C(CCCN3CCN(CCO)CC3)c3c(Sc2cc1)cc(F)cc3,training,1.0
O=C(N(c1nccnc1)C1CCN(CCc2ccccc2)CC1)c1occc1,training,1.0
O=C(OC(c1ccccc1)C1NCCCC1)C,training,1.0
O=C(N(CC)CC)NC1C=C2c3c4c([nH]cc4CC2N(C)C1)ccc3,training,1.0
O[C@]12[C@@H](c3c(c(C)ccc3)Oc3c1cccc3)CNCC2,training,1.0
O=C(OCC)c1ccc(N)cc1,training,1.0
O=C1N(C)c2c(C(OCC)c3c1cccc3)cccc2,training,1.0
O=C(OC)[C@H]1[C@@H](O)CC[C@@H]2[C@@H]1C[C@@H]1N(C2)CCc2c3c([nH]c12)cccc3,training,0.0
O=C(N[C@H](C(=O)N[C@H](C(=O)C1(C)OC1)CC(C)C)Cc1ccccc1)[C@@H](NC(=O)[C@@H](NC(=O)CN1CCOCC1)CCc1ccccc1)CC(C)C,training,0.0
O=C(/C=C/c1cc2OCOc2cc1)N1CCCCC1,training,1.0
Clc1c([C@]2(Cn3ncnc3)O[C@@H](COc3ccc(N4CCN(C(C)C)CC4)cc3)CO2)ccc(Cl)c1,training,0.0
O=C(O[C@@]1(C(=O)CO)[C@]2(C)[C@H]([C@H]3[C@H]([C@@H](O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1)CCC,training,1.0
O=C1NC(=O)CN([C@H](CN2CC(=O)NC(=O)C2)C)C1,training,0.0
O=C(O)C(Oc1ccc(C2(c3ccc(OC(C(=O)O)(CC)C)cc3)CCCCC2)cc1)(CC)C,training,0.0
Fc1c2scc(C)c2c2c([nH]c3c2CN(CC)CC3)c1,training,1.0
O=C(NNCc1c(O)c(O)c(O)cc1)C(N)CO,training,0.0
FC(F)(F)c1cc(N2CCN(CCc3n4c(nn3)[C@@H]3[C@H](C4)CCC3)CC2)ccc1,training,1.0
F[C@@H]1C=2[C@@](C)([C@@]3(F)[C@@H](O)C[C@]4(C)[C@@](OC(=O)C)(C(=O)COC(=O)C)[C@@H](C)C[C@H]4C3C1)C=CC(=O)C=2,training,1.0
Clc1c(S(=O)(=O)N)cc2S(=O)(=O)N[C@@H]([C@H]3[C@@H]4C=C[C@@H](C3)C4)Nc2c1,training,0.0
O=C(N[C@@H]1C(=O)N2C(C(=O)O)=C(C)CS[C@H]12)[C@H](N)c1ccc(O)cc1,training,0.0
O=C(O[C@@]1(C(=O)CO)[C@]2(C)[C@H]([C@H]3[C@H]([C@@H](O)C2)[C@]2(C)C(=CC(=O)C=C2)CC3)CC1)CCCC,training,1.0
O=C(O)c1ccc(-n2c(-c3c(O)cccc3)nc(-c3c(O)cccc3)n2)cc1,training,0.0
S(=O)(=O)(NC(=O)NN1C[C@H]2[C@@H](C1)CCC2)c1ccc(C)cc1,training,0.0
O=C1C=C2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)(OC(=O)CC4)CC3)CC2)C=C1,training,0.0
N(c1c(C)cccc1C)C=1SCCCN=1,training,1.0
OC([C@@H](/C=C/[C@@H](C)[C@@H]1C2(C)[C@@H](/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)/CCC2)CC1)C)(C)C,training,0.0
S(=O)(=O)(N(C)c1nc(C(C)C)c(/C=C/[C@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)n1)C,training,0.0
S(=O)(=O)(C)c1cc2N(CCCN3CCC(C(=O)N)CC3)c3c(Sc2cc1)cccc3,training,1.0
Oc1c2OC3C(O)C=CC4C53c2c(cc1)CC4N(C)CC5,training,1.0
O=CC(N)(CO)CCCCCC/C=C/CCCCCCCC,training,0.0
O(C)c1cc2N(CCCN(C)C)c3c(Sc2cc1)cccc3,training,1.0
N(CC=1c2c(Sc3c(cccc3)C=1)cccc2)(C)C,training,1.0
N(CCC1(C)SCCc2c3c(n(CC)c12)cccc3)(C)C,training,1.0
O(C)c1c2O[C@H]3C(=O)CC[C@@]4(O)[C@@H]5N(C)CC[C@]34c2c(cc1)C5,training,1.0
Clc1c2C(=C)[C@H]3[C@H](O)[C@H]4[C@H]([N+](C)C)C(=O)C(C(=O)N)C(=O)[C@@]4(O)C([O-])=C3C(=O)c2c(O)cc1,training,0.0
F[C@]12[C@@H](O)C[C@]3(C)[C@]4(C(=O)C)OC(C)(C)O[C@@H]4C[C@H]3[C@@H]1CCC=1[C@]2(C)C=CC(=O)C=1,training,1.0
Clc1ccc(OC(C(=O)NC(C(=O)N[C@H]2C(=O)N3[C@H](C(=O)O)C(C)(C)S[C@@H]23)c2ccccc2)(C)C)cc1,training,0.0
Clc1cc2C(c3c(F)cccc3)=NCC(=O)N(CCS(=O)(=O)CC)c2cc1,training,1.0
O=C(OCC)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@](OC)(C)C3)[C@@H](C)C(=O)O[C@H](CC)[C@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@]2(O)C)O[C@H](C)C[C@@H]1N(C)C,training,0.0
Clc1c(OCCCN(CC#C)C)ccc(Cl)c1,training,1.0
O=C(C)c1cc2N(CCCN3CCC(CCO)CC3)c3c(Sc2cc1)cccc3,training,1.0
S(/C(=C(\N(C=O)Cc1c(N)nc(C)nc1)/C)/CCOP(=O)(O)O)C(=O)c1ccccc1,training,1.0
ClC1=CC2=C(N(O)C/C(=N\C)/N=C2C=C1)c1ccccc1,training,1.0
ClC1=CC2=C(N(O)C/C(=N/C)/N=C2C=C1)c1ccccc1,training,1.0
O=C(Nc1c(C)cccc1C)C(N)C,training,0.0
ClC(Cl)(Cl)C(O)NC(=O)NC,training,1.0
O=C(O)C(C(=O)N[C@]1(OC)C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)c1cscc1,training,0.0
O=C1N(CCNCC2Oc3c(OC2)cccc3)C(=O)CC2(C1)CCCC2,training,1.0
Clc1c(N)cc(OC)c(C(=O)NC2CCN(Cc3ccccc3)CC2)c1,training,1.0
O=C(Nc1cc(-c2nc(N=C(N)N)sc2)ccc1)C,training,0.0
N(CCCC1c2c(cccc2)C=Cc2c1cccc2)C,training,1.0
O=C(O)[C@H]1C(C)(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N12,training,0.0
O=C(N(CC)CC)[C@H]1[C@H](C(=O)N(CC)CC)C2C=CC1C2,training,1.0
O(C)c1c(N2CCN(CCCCN3C(=O)C4C(=O)N(CCCC)C(=O)C(C3=O)C4(C)C)CC2)cccc1,training,1.0
Clc1c2[C@](O)(C)[C@@H]3C(C(=O)[C@]4(O)C(=O)/C(=C(\O)/NCO)/C(=O)[C@@H](N(C)C)[C@@H]4C3)=C(O)c2c(O)cc1,training,0.0
OCCCCCCCCCCCCCCCC,training,0.0
OC[C@H]1O[C@@H](n2c3ncnc(O)c3nc2)CC1,training,0.0
S(=O)(=O)(N[C@H](C(=O)N(CC(=O)O)C1CC1)CC(=O)NCC1CN(C(=N)N)CCC1)c1cc2c(cc1)cccc2,training,0.0
O=C(CCCCN1C(=O)N(C)c2ncn(C)c2C1=O)C,training,0.0
Clc1c(C(=O)c2c(N(C(=O)CN(CCO)CCO)C)ccc(Cl)c2)cccc1,training,1.0
F[C@]12[C@@H](O)C[C@]3(C)[C@]4(C(=O)COC(=O)C)N=C(C)O[C@@H]4C[C@H]3[C@@H]1CCC=1[C@]2(C)C=CC(=O)C=1,training,1.0
S(=O)(=O)(N)c1sc(NC(=O)C)nn1,training,1.0
O=C(O)C(CC(=O)Nc1cc(/C=C/c2scc(C3CCC3)n2)ccc1)(CC)CC,training,0.0
O=C(OC)CCC1=C(C)C2=[N+]C1=Cc1c(CCC(=O)[O-])c(C)c([nH]1)C=C1C3(C)[C@@H](C(=O)OC)C(C(=O)OC)=CC=C3C(=N1)C=[cH0]1c(C)c(C=C)[cH0]([nH]1)=C2,training,0.0
O(C)[C@]12C([C@@](O)(CCC)C)C[C@@]3([C@@H]4N(C)CC[C@@]53[C@H]1Oc1c(O)ccc(c51)C4)C=C2,training,1.0
O=C(OCCCc1ccccc1)N,training,1.0
O=C(OCC(C(CC)C)(COC(=O)N)C)NC(C)C,training,1.0
C(=C\CN1CCCC1)(\c1ncccc1)/c1ccc(C)cc1,training,1.0
ClCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@@H]2[C@]1(C)C[C@H](O)[C@]1(F)[C@]3(C)C(=CC(=O)C=C3)CC[C@@H]21,training,1.0
C(N1c2c(Sc3c1cccc3)cccc2)C1CN(C)CCC1,training,1.0
O(C(c1ccccc1)C1OCCNC1)c1c(OCC)cccc1,training,1.0
Clc1cc2c(cc1)CCN1C(=O)C(c3ccccc3)=CC(C(=O)N3C[C@@H](OCC)CC3)=C21,training,1.0
O=C(N[C@@H]1[C@H](O)Cc2c1cccc2)[C@@H](C[C@H](O)CN1[C@H](C(=O)NC(C)(C)C)CN(Cc2cnccc2)CC1)Cc1ccccc1,training,1.0
FC(F)(F)c1cc2/C(=C/CCN3CCC(CCO)CC3)/c3c(Sc2cc1)cc(F)cc3,training,1.0
FC(F)(F)c1cc2/C(=C\CCN3CCC(CCO)CC3)/c3c(Sc2cc1)cc(F)cc3,training,1.0
ClC1=CC2=C(N(O)C/C(=N\CC3CC3)/N=C2C=C1)c1ccccc1,training,1.0
ClC1=CC2=C(N(O)C/C(=N/CC3CC3)/N=C2C=C1)c1ccccc1,training,1.0
O=C1C(O)=C(C)N(CCCCC)C=C1,training,1.0
S(CCC)c1c(N2CCN(CCCCN3C(=O)Nc4c(C3=O)cccc4)CC2)cccc1,training,1.0
N(C(CN1c2c(Sc3c1cccc3)cccc2)C)(CC)CC,training,1.0
O(C1C(O)C(OC2C(O)C(NC)C(O)(C)CO2)C(N)CC1N)C1C(N)CCC(C(NC)C)O1,training,0.0
O=C1N(CCCCN2CCN(c3ncccn3)CC2)C(=O)[C@@H]2[C@H]1[C@H]1C[C@@H]2CC1,training,1.0
S(=O)(=O)(C(S(=O)(=O)CC)(C)C)CC,training,1.0
ClCC1N(C)S(=O)(=O)c2c(N1)cc(Cl)c(S(=O)(=O)N)c2,training,0.0
Clc1c(Cl)cccc1N1CCN(CCCCOc2cc3NC(=O)CCc3cc2)CC1,training,1.0
Oc1cc2c(cc1)C[C@H]1N(CCc3ccccc3)CC[C@@]32[C@H]1CCCC3,training,1.0
Oc1c([C@H](CCN(C(C)C)CC)c2ccccc2)cc(C)cc1,training,1.0
Clc1cc2N(CCCN3CCC4(SCC(=O)N4)CC3)c3c(Sc2cc1)cccc3,training,1.0
S=C1N(C(=O)OCC)C=CN1C,training,0.0
Clc1ccc(C(=O)n2c(C)c(CC(=O)O)c3c2ccc(OC)c3)cc1,training,0.0
Clc1c(C2=NCC(=O)N(C)c3sc(CC)cc23)cccc1,training,1.0
Clc1c(C2=NCc3n(c(C)nc3)-c3c2cc(Cl)cc3)cccc1,training,1.0
O=C(N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)C(Oc1ccccc1)(C)C,training,0.0
Clc1c([N+](=O)[O-])c2NC(=O)C(=O)Nc2cc1Cl,training,1.0
Clc1c(C2=NCC(=O)Nc3c2cc(Cl)cc3)cccc1,training,1.0
S=C1N(CC(=O)O)C(=O)/C(=C/C(=C/c2ccccc2)/C)/S1,training,0.0
S(CCNC)C=1c2c(Oc3c(cc(F)cc3)C=1)cccc2,training,1.0
FC(F)(F)c1cc(N2CCN(CCNC(=O)N)CC2)ccc1,training,1.0
O([C@H]1[C@H](O)[C@@H](O[C@@H]2[C@H](O)[C@@H](NC)[C@](O)(C)CO2)[C@H](NCC)C[C@@H]1N)[C@@H]1[C@H](N)CC=C(CN)O1,training,0.0
F[C@]12[C@@H](O)C[C@]3(C)[C@@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@H](C)C[C@H]3[C@@H]1CCC=1[C@]2(C)C=CC(=O)C=1,training,1.0
O=C1C(O)=C(O)[C@@H]([C@@H](O)CO)O1,training,1.0
Clc1cc2C(c3c(F)cccc3)=NCCN(CC(F)(F)F)c2cc1,training,1.0
S(=O)(=O)(N(C[C@H](O)[C@@H](NC(=O)O[C@H]1[C@@H]2[C@H](OC1)OCC2)Cc1ccccc1)CC(C)C)c1ccc(N)cc1,training,0.0
O=C(O)C(N)(Cc1cc(O)c(O)cc1)C,training,0.0
Clc1cc(C2=NCCN=C3N(C)NC(C)=C23)ccc1,training,1.0
Clc1c(Cl)ccc(CC(=O)N2[C@H](CN3CCCC3)c3nc[nH]c3CC2)c1,training,0.0
FC(F)(F)c1ccc(/C(=N/OCCN)/CCCCOC)cc1,training,1.0
BrC(C(=O)NC(=O)N)C(C)C,training,1.0
