smiles,group,SR-HSE
O=C(O[C@H]1[C@@H]([N+]2(CC=C)CCCCC2)C[C@@H]2[C@]1(C)CC[C@@H]1[C@]3(C)[C@H](C[C@H](OC(=O)C)[C@@H](N4CCCCC4)C3)CC[C@@H]21)CC,training,0.0
Fc1c(N2c3c(C(=O)C(C(=O)O)=C2)cc(F)c(N2CC(C)NCC2)c3)ccc(F)c1,training,0.0
O=C(OCCC)Cc1cc(OC)c(OCC(=O)N(CC)CC)cc1,training,0.0
O=[N+]([O-])c1nc(C)n(-c2ccc([N+](=O)[O-])cc2)c1,training,0.0
Clc1ccc(C(=O)c2c(C)n(CC(=O)O)c3c2ccc(OC)c3)cc1,training,0.0
O=C(COc1ccc(/C(=N/O)/C)cc1)N1CCCCC1,training,0.0
O=C(COc1ccc(C(=O)C)cc1)N1CCCCC1,training,0.0
Clc1c(Oc2c(CC(=O)O)cccc2)ccc(Cl)c1,training,0.0
O=C(O)CCCCCCNC1c2c(cccc2)CCc2c1cccc2,training,0.0
[SH0](=O)(C)C=1C(=O)c2c(N(C)C=1)cc(F)cc2,training,0.0
S=C(N(CC(=O)O)C)c1c2c(c(C(F)(F)F)c(OC)cc2)ccc1,training,0.0
O(CC(NN)C)c1ccccc1,training,0.0
O=C(OC(COCCC(C)C)CN1CCOCC1)c1cc(OC)c(OC)c(OC)c1,training,0.0
O=C(Oc1ccc(C2(c3ccc(OC(=O)C)cc3)C(=O)Nc3c(O2)cccc3)cc1)C,training,0.0
N(N)C(CCc1cc2OCOc2cc1)C,training,0.0
Clc1c(S(=O)(=O)N)cc(S(=O)(=O)N(CC2(C)OCCC2)C)cc1,training,0.0
S(C(F)F)CC(=O)N[C@@]1(OC)C(=O)N2C(C(=O)O)=C(CSc3n(CCO)nnn3)CO[C@@H]12,training,0.0
Clc1cc2N(CCCN3CCC4(C(=O)NC5N4CCCC5)CC3)c3c(cccc3)CCc2cc1,training,0.0
O=[N+](OCCN(CCO[N+](=O)[O-])CCO[N+](=O)[O-])[O-],training,0.0
O=C(O[C@H]1C(=O)O[C@H]2[C@H](OC(=O)C)C(=O)O[C@@H]12)C,training,0.0
O(C(c1ccccc1)c1ccccc1)CCN(C(C(O)c1ccccc1)C)C,training,0.0
O=C(N(C)C)CNC(=O)Cc1ccccc1,training,0.0
O=C(OCC(=O)N(C)C)C(C)c1cc2c(Oc3nc(C)ccc3C2)cc1,training,0.0
Clc1cc(OCC=C)c(C(=O)NCCN(CC)CC)cc1,training,0.0
O=C(N1CCCCC1)[C@@H]1NC(=O)CC1,training,0.0
FC(F)(F)c1ccc(C(=O)[C@@H](CN2CCCC2)C)cc1,training,0.0
O[C@@H]1C[C@H]2[C@@](C)([C@@H]3[C@H]([C@H]4[C@](C)(CC3)CCC4)CC2)CC1,training,0.0
O=[N+]([O-])c1cc([C@@H]2C(C(=O)OC)=C(C)NC(C)=C2C(=O)O[C@H]2CN(Cc3ccccc3)CCC2)ccc1,training,0.0
O(CC[N+](Cc1sccc1)(C)C)c1ccccc1,training,0.0
O=C1N(C)C(=O)CC1(C)c1ccccc1,training,0.0
OC(C(C)(C)C)/C=C/c1cc2OCOc2cc1,training,0.0
[SH0](=O)(OC[C@@H]1[C@@H](O[SH0](=O)[O-])[C@H](O[SH0](=O)[O-])[C@@H](O[SH0](=O)[O-])[C@@H](O[C@@]2(CO[SH0](=O)[O-])[C@@H](O[SH0](=O)[O-])[C@H](O[SH0](=O)[O-])[C@@H](CO[SH0](=O)[O-])O2)O1)[O-],training,0.0
O=C(O)[C@@H](NC(=O)c1sc(N(Cc2cc3C(=O)NC(C)=Nc3cc2)C)cc1)CCC(=O)O,training,0.0
S(C)c1ccc(C=O)cc1,training,0.0
O=C(OCC1OC1)C1C(C(=O)OCC2OC2)CCCC1,training,0.0
S(=O)(=O)(OCC)C,training,0.0
O=C1C=CCCC1,training,0.0
S=P(Sc1ccccc1)(OCC)CC,training,0.0
OC1C(C(C)C)CCC(C)C1,training,0.0
O=C(OC)CCCCCCCCCCCCC,training,0.0
ClCCC[Si](OC)(OC)OC,training,0.0
ClCCN(CC)CC,training,0.0
S(C#N)Cc1ccccc1,training,0.0
N(C)c1ncnc2[nH]cnc12,training,0.0
O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,training,0.0
BrCc1ccccc1,training,0.0
ClC/C=C/CCl,training,0.0
O=[N+]([O-])c1cc(O)ccc1,training,0.0
Clc1cc(Cl)cc(N)c1,training,0.0
O=[N+]([O-])c1c2c(C(=O)[O-])cc3OCOc3c2c2c(c(OC)ccc2)c1,training,0.0
ClCC(=O)C,training,0.0
C=C1C2C(C)(C)C(C2)CC1,training,0.0
SCCC(=O)OC,training,0.0
Brc1ccc(CC)cc1,training,0.0
C(=C)c1ncccc1,training,0.0
NCCCCCC,training,1.0
C(=C)CCCCCCC=C,training,1.0
ClC(Cl)(Cl)Cl,training,0.0
Clc1c(Cl)ccc(C=O)c1,training,0.0
O=C(CC)C,training,0.0
Clc1c(N)c(Cl)c(C(=O)O)nc1Cl,training,0.0
Clc1cc2C(c3ccccc3)=NC(O)C(=O)N(C)c2cc1,training,0.0
O=C1OC(=O)c2c3c(ccc2)cccc13,training,0.0
N(CCCCCCN)CCCCCCN,training,0.0
OCC(CO)C,training,0.0
O=C(NNc1ccccc1)N,training,0.0
ClC(Cl)C(=O)N,training,0.0
NCCCCCCCC,training,0.0
[nH]1ncnc1,training,0.0
O=C(OC)C,training,0.0
O(C)c1c(OC)ccc2c1c[n+]1c(-c3c(cc(OC)c(OC)c3)CC1)c2,training,0.0
O(C)C1OC=CCC1,training,0.0
O=C(OC[C@@H](O)[C@@H]1[C@H](OCCO)[C@@H](OCCO)CO1)CCCCCCCCCCC,training,0.0
C(C=C)(=C)C,training,0.0
O=C(NNc1ccccc1)C,training,0.0
Brc1c(N)c([N+](=O)[O-])cc([N+](=O)[O-])c1,training,0.0
O=[N+]([O-])c1c(C(=O)C)cccc1,training,0.0
Clc1c([N+](=O)[O-])cc(O)c(N)c1,training,0.0
ClC(Cl)C(Cl)Cl,training,0.0
Clc1cc(N)c(C)cc1,training,0.0
NC(CC(C)(C)C)(C)C,training,0.0
S(=O)(=O)(O)c1cc(O)c2c(c1)ccc(N)c2,training,0.0
ClC(Cl)(Cl)C(F)(F)F,training,0.0
S(=O)(=O)([O-])c1c(-c2c3c([o+]c4c2cc(C)c(N(CC)CC)c4)cc(N(CC)CC)c(C)c3)ccc(S(=O)(=O)[O-])c1,training,0.0
[P+](CCCC)(CCCC)(CCCC)C,training,0.0
O=C(O)c1c(C)cccc1,training,0.0
Clc1c2nc(N)sc2ccc1,training,0.0
N#CCC=CC,training,0.0
OCc1ccc(C)cc1,training,0.0
O=[N+]([O-])c1cc(C(=O)N)ccc1,training,0.0
S(=O)(=O)(NC1CCCCC1)c1ccc(C)cc1,training,0.0
ClC=C(OP(=O)(OC)OC)c1c(Cl)cc(Cl)c(Cl)c1,training,0.0
O(CCOCCC)CCO,training,0.0
O=C(NNC(=O)C)C,training,0.0
C(CCC)CCn1c[n+](C)cc1,training,0.0
BrCCc1ccccc1,training,0.0
O=[N+]([O-])c1c(C)ccc(N)c1,training,0.0
Clc1c(Cl)c(Cl)cc(O)c1Cl,training,1.0
BrC=1C(=O)NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2)C=1,training,0.0
CC1(C)C2C(C)=CCC1C2,training,0.0
OC1CCCC1,training,0.0
OCCCCCCCC/C=C\CCCCCCCC,training,0.0
OC(C)(C)C1CC=C(C)CC1,training,0.0
O=C(OC(OC(=O)C)C)C,training,0.0
O=C(N(C)C)CCCCCCCCC,training,0.0
C(CCCCCc1ccccc1)CCCCC,training,0.0
OCCn1c[n+](C)cc1,training,0.0
O=C(Nc1ccc(C)cc1)C,training,0.0
O=Cc1cc2OCOc2cc1,training,0.0
Brc1cc(-c2ccccc2)ccc1,training,0.0
F[C@]12[C@@H](O)C[C@]3(C)[C@@](O)(C(=O)CO)[C@H](C)C[C@H]3[C@@H]1CCC=1[C@]2(C)C=CC(=O)C=1,training,0.0
O=C(O)C(O)(C)C,training,0.0
Cc1ncsc1,training,0.0
Nc1c(C)c(N)ccc1,training,0.0
O=[N+]([O-])c1c(N)ccc([N+](=O)[O-])c1,training,0.0
S(=O)(=O)(Nc1ccc(C(O)CNC(C)C)cc1)C,training,0.0
N(C)(C)C,training,0.0
ClC(Cl)C(=O)C(C)(C)C,training,0.0
OC(CCCC(C=C)C)(C)C,training,0.0
O=CNNC=O,training,0.0
Clc1ccc(C=O)cc1,training,0.0
OC(C=C)(CCCC(CCCC(CCCC(C)C)C)C)C,training,0.0
BrC(C(=O)O)CBr,training,0.0
O=C(O[C@@]1(C(=O)C)[C@]2(C)[C@H]([C@H]3[C@@H]([C@]4(C)C([C@@H](C)C3)=CC(=O)CC4)CC2)CC1)C,training,0.0
ClS(=O)(=O)c1ccccc1,training,0.0
O=C=Nc1c(C)ccc(N=C=O)c1,training,0.0
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)C(O)O1,training,0.0
C(C)c1ccc(CC)cc1,training,0.0
O=C(OCC(C(O)C(C)C)(C)C)C(C)C,training,0.0
O=CC=C(C)C,training,0.0
O=C(Oc1ccccc1)Oc1ccccc1,training,0.0
O=C(Nc1ncccc1)C=1N(C)S(=O)(=O)c2c(C=1O)cccc2,training,0.0
BrC(Br)Cl,training,0.0
Cc1c2c3c4c(cc2)cccc4ccc3cc1,training,0.0
Clc1cc(Cl)cc(C(=O)O)c1,training,0.0
Brc1c(Br)cc(Oc2c(Br)cc(Br)cc2)c(Br)c1,training,0.0
O(C)c1c(OC)cc(Cc2c(N)nc(N)nc2)cc1OC,training,0.0
Nc1c(C)c(C)ccc1,training,0.0
O=C(OCCCC)C(=C)C,training,0.0
O=C(OC)CC(=O)C,training,0.0
n1ccccc1,training,0.0
OC1CC(C)(C)NC(C)(C)C1,training,0.0
ClC(F)C(F)(F)OC(F)F,training,0.0
O=C(O)c1cc(O)c(O)cc1,training,0.0
Clc1c(Oc2ccc(Oc3c(Cl)cc(Cl)cn3)cc2)ncc(Cl)c1,training,0.0
O=C(Nc1[nH]c2c(n1)cccc2)N,training,0.0
Nc1scc(-c2ccccc2)n1,training,0.0
O(C)c1c2OCOc2cc(CC=C)c1,training,0.0
O=C(OCC=C)CCCCCCCC,training,0.0
O=[N+]([O-])c1c(C)ccc2c1cccc2,training,0.0
OC1C(C)=CCC(C(=C)C)C1,training,0.0
O(CCCCCCCCC)CC1OC1,training,0.0
N(CC(C)C)CC(C)C,training,0.0
O=C(OC)CCCCCCCCC(=O)OC,training,0.0
FC(F)(F)c1ccc(OC(CCNC)c2ccccc2)cc1,training,0.0
O=C(OCC(C)C)C=C,training,0.0
N#CC=CCC,training,0.0
C(=C)c1cc(C)ccc1,training,0.0
O=C(N)c1c(C)cccc1,training,0.0
Clc1c(Cl)cc(O)cc1Cl,training,1.0
BrC(Br)Br,training,0.0
O=[N+]([O-])c1cc2C(=O)NC(=O)c2cc1,training,0.0
N(C)(C)c1ccc(N)cc1,training,0.0
ClC(C)(C)C,training,0.0
SCCC(=O)O,training,0.0
C(=C)CCCCCCCC,training,0.0
O=[N+]([O-])c1cc2C(=O)N(C)C(=O)c2cc1,training,0.0
O=C(O)c1ccc(NN)cc1,training,0.0
Clc1c(Oc2c(OC)cc(Cl)cc2)ccc(Cl)c1,training,0.0
OCC=C,training,0.0
O=[N+]([O-])c1c(C(=O)O)c(C)ccc1,training,0.0
C1CCCC1,training,0.0
Cc1occc1,training,0.0
ClC(Cl)C,training,0.0
O=C1C(=C(C)C)CC[C@@H](C)C1,training,0.0
C(C)C1OC1,training,0.0
FC(F)(F)COc1c(C(=O)NCC2NCCCC2)cc(OCC(F)(F)F)cc1,training,0.0
O=C(OCc1ccccc1)N[C@H](C(=O)O)CC(=O)O,training,0.0
O=C(OC(OCCCOC)CC)C,training,0.0
ICC(=O)N,training,0.0
Nc1cc(C)ccc1,training,0.0
N(C(C)C)C(C)C,training,0.0
N#CCc1ccccc1,training,0.0
ClC(Cl)C#N,training,0.0
O=C(NC)c1ccccc1,training,0.0
Cl[Si](C)(C)C,training,0.0
C12C(CCCC1)CCCC2,training,0.0
C(C)[n+]1ccccc1,training,0.0
O=C(OCCOC(=O)CCCCCCC/C=C\CCCCCCCC)CCCCCCC/C=C\CCCCCCCC,training,0.0
O=C(OC)CCCCCCC/C=C\CCCCCCCC,training,0.0
S(CCC#N)CCC#N,training,0.0
O=C(C)c1ccc(O)cc1,training,0.0
O(C(OCC)C=C)CC,training,0.0
O=C(N)c1ccncc1,training,0.0
O=C1N(C)C(=O)OC1(C)C,training,0.0
O=C=NC1CCCCC1,training,0.0
ClC=CCCl,training,0.0
O=C(OCC(CCCC)CC)C(C#N)=C(c1ccccc1)c1ccccc1,training,0.0
O=C1C2(C)C(C)(C)C(C1)CC2,training,0.0
Oc1cc(N(CC)CC)ccc1,training,0.0
O(CCO)CCN(C)C,training,0.0
O=C1CCCC1,training,0.0
C(CCCCCC)CCCCCC1OC1,training,0.0
O(C)c1c2nc(N)sc2ccc1,training,0.0
O=C(Nc1cc(O)ccc1)C,training,0.0
O(C(C)(C)C)CC1OC1,training,0.0
Brc1ccc(-c2ccccc2)cc1,training,0.0
Clc1c(S(=O)(=O)NC(=O)Nc2nc(OC)nc(C)n2)cccc1,training,0.0
O=C1NC(=O)CN(C(CN2CC(=O)NC(=O)C2)C)C1,training,0.0
O(C)c1c(N)cc2oc3c(c2c1)cccc3,training,1.0
S=C(S)N(CC)CC,training,1.0
ON(CC)CC,training,0.0
ClCc1ccccc1,training,0.0
O=NN1CCCCC1,training,0.0
O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,training,0.0
S=C(Nc1ccccc1)Nc1ccccc1,training,1.0
O=CC=Cc1ccccc1,training,0.0
ON=C1C=CC(=NO)C=C1,training,0.0
O(C(OCC)C)CC,training,0.0
ClCC1OC1,training,0.0
Clc1cc(Cl)cc(Cl)c1,training,0.0
C(=C)CCC,training,0.0
OC(CCC(O)(C)C)(C)C,training,0.0
O=NN(CCO)CCO,training,0.0
ClCCOCOCCCl,training,0.0
O=[N+]([O-])c1ccc(CCO)cc1,training,0.0
Clc1c(C(=O)O)cccc1,training,0.0
O=C1NN=Cc2c1cccc2,training,0.0
O=C(Nc1c(C)cccc1)C,training,0.0
O(CC1OC1)c1ccccc1,training,0.0
Ic1c(O)c2ncccc2c(Cl)c1,training,1.0
Clc1c(Cl)c(C(=O)C)ccc1Cl,training,0.0
ClC(=O)CCC,training,0.0
O=[N+]([O-])c1c(CCO)cccc1,training,0.0
O(C)C=1C=C(/C=C/c2ccccc2)OC(=O)C=1,training,0.0
Clc1c(Cl)c(O)ccc1Cl,training,0.0
N(C)c1ccccc1,training,0.0
Nc1c2c(nc3c1CCCC3)cccc2,training,0.0
NC1CCC(CC2CCC(N)CC2)CC1,training,0.0
C(Cc1sccn1)(C)C,training,0.0
Clc1c(OCC(=O)O)ccc(Cl)c1,training,0.0
O=C(CCc1cc(O)c(OC)cc1)c1c(O)cc(O[C@H]2[C@H](O[C@H]3[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O3)[C@@H](O)[C@H](O)[C@@H](CO)O2)cc1O,training,0.0
O=[N+]([O-])c1ccc(N=Nc2cc(C(=O)O)c(O)cc2)cc1,training,0.0
C(CCCC)CCCC1OC1,training,0.0
O=C(OCCN(C)C)C=C,training,0.0
O(CC1OC1)c1ccc(C(C)(C)C)cc1,training,0.0
O=C(O)/C(=C/[C@H]1C2=C(C)CC[C@@H]2[C@H](C)CC1)/C,training,1.0
O=C1/C(=C/C)/[C@]2(C)[C@H]([C@H]3[C@@H]([C@]4(C)C(=CC(=O)CC4)CC3)CC2)C1,training,1.0
O=C(NCc1cc(OC)c(O)cc1)CCCC/C=C/C(C)C,training,0.0
O=CC=CC,training,0.0
N#C/C(=C\C)/C,training,0.0
ClC(=O)c1c(Cl)cccc1Cl,training,0.0
Clc1c(Cl)cc(OCC(=O)OCC(C)C)c(Cl)c1,training,0.0
Clc1c(C(=O)O)c(Cl)ccc1,training,0.0
Clc1c(C(=O)O)cc(Cl)cc1,training,0.0
Clc1c(Cl)ccc(C(=O)O)c1,training,0.0
N#Cc1c(C)cccc1,training,0.0
S(Cc1ccccc1)Cc1ccccc1,training,0.0
Brc1c(Oc2c(Br)cc(Br)cc2)ccc(Br)c1,training,0.0
O=[N+]([O-])c1cc2C(=O)OC(=O)c2cc1,training,0.0
O=C(Nc1ccc(C(=O)O)cc1)C,training,0.0
ClC(Cl)=CC,training,0.0
ClC([N+](=O)[O-])(C)C,training,0.0
ClC([N+](=O)[O-])CC,training,0.0
O=C(Oc1ccc(C(c2ncccc2)c2ccc(OC(=O)C)cc2)cc1)C,training,0.0
Brc1c(Br)c(Br)c(O)c(Br)c1Br,training,1.0
ClC(=O)c1c([N+](=O)[O-])cccc1,training,0.0
ClC(CCl)CO,training,0.0
O=[N+]([O-])c1ccc(C(=O)N)cc1,training,0.0
Oc1ccc(Nc2cc(C)c(N)cc2)cc1,training,1.0
Nc1ccccc1,training,0.0
O=[N+]([O-])CCCC,training,0.0
O=C(N)CCCCC(=O)N,training,0.0
