smiles,group,EC
O=C(O)C#C,training,1.0
N#CCCN,training,1.0
NC(C)(C)C,training,1.0
NC(CC)C,training,1.0
N(CC)(C)C,training,1.0
O=C(O)C=O,training,1.0
NC(CN)C,training,1.0
NCCCN,training,1.0
ClCC#C,training,1.0
O(CCN)C,training,1.0
OCC(N)C,training,1.0
O=C(O)CO,training,1.0
SC(=O)C,training,1.0
ClCC=C,training,1.0
n1ccccc1,training,1.0
Cc1[nH]ccn1,training,1.0
Cn1cncc1,training,1.0
O=C(O)C#CC,training,1.0
NC1CCCC1,training,1.0
OCC#CCO,training,1.0
O=C(O)C1CC1,training,1.0
O=C(OC)C=C,training,1.0
O=C(O)C=CC,training,1.0
O=C(O)C(=C)C,training,1.0
O1CCNCC1,training,1.0
OCCN1CC1,training,1.0
NCCCCC,training,1.0
NCC(C)(C)C,training,1.0
NCC(CC)C,training,1.0
N(C(C)C)CC,training,1.0
N(C(C)C)(C)C,training,1.0
N(CCCC)C,training,1.0
O=C(O)C(=O)C,training,1.0
N(CCN)CC,training,1.0
N(CCCN)C,training,1.0
NC(CN)(C)C,training,1.0
OC(CN)CC,training,1.0
O(CCN)CC,training,1.0
OCCNCC,training,1.0
OCCCCN,training,1.0
O=C(O)C(O)C,training,1.0
OC(CN)CN,training,1.0
ClC(=O)C=C,training,1.0
ClCC(=C)C,training,1.0
SCC(=O)O,training,1.0
ClCC1OC1,training,1.0
Cc1cnccc1,training,1.0
Oc1ccccc1,training,1.0
C(=C)n1cncc1,training,1.0
ClCOCC,training,1.0
O=CC=CC=CC,training,1.0
NCc1occc1,training,1.0
O=C(OCC)C#N,training,1.0
N1CCCCCC1,training,1.0
O=C(O)C=CCC,training,1.0
O=CCCCC=O,training,1.0
O=C(O)CCC=C,training,1.0
O=C(O)CC=CC,training,1.0
CC1NCCNC1,training,1.0
CN1CCOCC1,training,1.0
NCCCCCC,training,1.0
N(C(C)C)C(C)C,training,1.0
N(CC)(CC)CC,training,1.0
N(CCCC)(C)C,training,1.0
NC(C(C)(C)C)C,training,1.0
O=C(O)C(CC)C,training,1.0
O=C(O)CCCC,training,1.0
O=C(O)CC(C)C,training,1.0
N(CCCN)(C)C,training,1.0
N(CCCNC)C,training,1.0
N(CCNC)(C)C,training,1.0
N(CN(C)C)(C)C,training,1.0
OC(CN(C)C)C,training,1.0
OCCCN(C)C,training,1.0
N(CCN)CCN,training,1.0
S1CCNCC1,training,1.0
OCCNCCN,training,1.0
O(CCN)CCN,training,1.0
ClC(=O)C=CC,training,1.0
O(CCO)CCN,training,1.0
O(C(OC)CN)C,training,1.0
C(=C)c1ncccc1,training,1.0
FCC(=O)OCC,training,1.0
S(CCO)CC,training,1.0
ClCC1(C)OC1,training,1.0
ClC(=O)CCC,training,1.0
ClC(=O)C(C)C,training,1.0
NCc1ccccc1,training,1.0
ClC(=O)N(C)C,training,1.0
P(=O)(O)(O)C=C,training,1.0
Oc1c(C)cccc1,training,1.0
Oc1ccc(C)cc1,training,1.0
Oc1cc(C)ccc1,training,1.0
Nc1ccc(N)cc1,training,1.0
ClCC(=O)OC,training,1.0
ClC(C(=O)O)C,training,1.0
ClC(=O)COC,training,1.0
ClOC(C)(C)C,training,1.0
Cl[Si](C)(C)C,training,1.0
S(=O)(=O)(O)CC,training,1.0
Fc1ccc(N)cc1,training,1.0
N12CCN(CC1)CC2,training,1.0
N1CCCCCCC1,training,1.0
CC1NC(C)CCC1,training,1.0
NC1CC(C)CCC1,training,1.0
NC1C(C)CCCC1,training,1.0
FC(F)(F)C(=O)O,training,1.0
O=C(O)C#CC(=O)O,training,1.0
O=C(O)CC=CCC,training,1.0
O=C(O)C=CCCC,training,1.0
O=C(O)C=CC(C)C,training,1.0
O=C(O)CCCC=C,training,1.0
NC1CC(N)CCC1,training,1.0
C(C)N1CCNCC1,training,1.0
NCC1CCNCC1,training,1.0
CN1CCN(C)CC1,training,1.0
NC1CCC(N)CC1,training,1.0
NC1C(N)CCCC1,training,1.0
Cl[Si](Cl)C,training,1.0
C(C)N1CCOCC1,training,1.0
OCC1NCCCC1,training,1.0
OCC1CNCCC1,training,1.0
OC1C(N)CCCC1,training,1.0
N(C(N(C)C)=N)(C)C,training,1.0
NC(CCC)CCC,training,1.0
N(C(CC)C)CCC,training,1.0
O=C(O)C=CC(=O)O,training,1.0
O=C(O)C1OCCC1,training,1.0
O=C(OCCO)C=C,training,1.0
O=C(O)C(CCC)C,training,1.0
O=C(O)CC(C)(C)C,training,1.0
NCC(CCCN)C,training,1.0
N(CCN)(CC)CC,training,1.0
N(CCNCC)CC,training,1.0
OCC(N(C)C)(C)C,training,1.0
[Si](N(C)C)(C)(C)C,training,1.0
OCCCNCCN,training,1.0
OC(CNCCN)C,training,1.0
ClC(C(=O)OC)=C,training,1.0
ClC(=O)OCC=C,training,1.0
ClC(=O)CC(C)C,training,1.0
ClC(=O)C(C)(C)C,training,1.0
Cl[Si](C=C)(C)C,training,1.0
NCCc1ccccc1,training,1.0
NCc1cc(C)ccc1,training,1.0
Oc1c(C)cc(C)cc1,training,1.0
Oc1ccc(CC)cc1,training,1.0
Oc1c(C)ccc(C)c1,training,1.0
Oc1c(CC)cccc1,training,1.0
Oc1cc(CC)ccc1,training,1.0
NCCc1ncccc1,training,1.0
NCCc1cnccc1,training,1.0
NCCc1ccncc1,training,1.0
ClC(=O)C(=O)OC,training,1.0
ClC(C(=O)O)CC,training,1.0
ClC(=O)OC(C)C,training,1.0
ClC(=O)OCCC,training,1.0
ClC(CC(=O)O)C,training,1.0
ClCCCC(=O)O,training,1.0
ClC[Si](C)(C)C,training,1.0
BrC(=O)C,training,1.0
BrCCO,training,1.0
ClC(C=C)CCl,training,1.0
Fc1cc(CN)ccc1,training,1.0
Fc1ccc(CN)cc1,training,1.0
NCCCn1cncc1,training,1.0
Sc1c(N)cccc1,training,1.0
Sc1cc(N)ccc1,training,1.0
O=C(O)C#CCCCC,training,1.0
O=C(O)C1CC=CCC1,training,1.0
Sc1c(O)cccc1,training,1.0
ClCc1ccccc1,training,1.0
ClC(=O)C(Cl)=O,training,1.0
ClCC(=O)CCl,training,1.0
ClC(=O)CCCl,training,1.0
NCCc1sccc1,training,1.0
N(C)(C)C1CCCCC1,training,1.0
N1CCCCCCCC1,training,1.0
NC1CCCCCCC1,training,1.0
FC(F)(F)CC(=O)O,training,1.0
NCC1N(CC)CCC1,training,1.0
NCCN1CCCCC1,training,1.0
Clc1ccc(O)cc1,training,1.0
ClC(=O)OCCl,training,1.0
NCCN1CCNCC1,training,1.0
N1CCNCCNCC1,training,1.0
N(CC(C)C)CC(C)C,training,1.0
NC(CC(C)(C)C)(C)C,training,1.0
N(C(C)C)(C(C)C)CC,training,1.0
NC(CCCC(C)C)C,training,1.0
O=C(O)C(CCC)(C)C,training,1.0
O=C(O)CCCC(C)C,training,1.0
S(C#N)CSC#N,training,1.0
N(CCCN(C)C)(C)C,training,1.0
NCCCCCCCN,training,1.0
N(CCCN)(CC)CC,training,1.0
ClC(=O)c1occc1,training,1.0
N(CCCN)CCCN,training,1.0
O=C(O)C(=O)CC(=O)O,training,1.0
O=C=Nc1cc(C)ccc1,training,1.0
NC1Cc2c(cccc2)C1,training,1.0
ClN1C(=O)CCC1=O,training,1.0
ClC(=O)CC(C)(C)C,training,1.0
ClC(=O)C(CC)(C)C,training,1.0
BrCC(=C)C,training,1.0
S=C=Nc1ccccc1,training,1.0
NCCc1ccc(C)cc1,training,1.0
N(Cc1ccccc1)(C)C,training,1.0
N(CC)Cc1ccccc1,training,1.0
NCCCc1ccccc1,training,1.0
Oc1c(C)cc(C)cc1C,training,1.0
Oc1ccc(CCC)cc1,training,1.0
Oc1c(C)c(C)ccc1C,training,1.0
Oc1c(CCC)cccc1,training,1.0
Oc1c(C(C)C)cccc1,training,1.0
NCc1ccc(CN)cc1,training,1.0
ClC(=O)OCCCC,training,1.0
ClC(=O)OCC(C)C,training,1.0
ClCC(C(=O)O)(C)C,training,1.0
OC(CN)c1ccccc1,training,1.0
O(C)c1c(CN)cccc1,training,1.0
N(CC=C)(CC=C)CC=C,training,1.0
BrNC(=O)C,training,1.0
BrCC(=O)N,training,1.0
Oc1c(C)c(O)cc(C)c1,training,1.0
C12C(CCCC1)CCCC2,training,1.0
BrCC(O)C,training,1.0
FC(F)(F)C(C(=O)O)=C,training,1.0
ClC(F)C(=O)OCC,training,1.0
Clc1c(C=O)cccc1,training,1.0
ClCc1ccc(C)cc1,training,1.0
ClCc1c(C)cccc1,training,1.0
ClCc1cc(C)ccc1,training,1.0
P(=O)(OCCN)(O)O,training,1.0
Cl[Si](Cl)(C=C)C,training,1.0
S=C=NC1CCCCC1,training,1.0
N(C(C)C)C1CCCCC1,training,1.0
Clc1ccc(CN)cc1,training,1.0
FC(F)(F)C(=O)OCC,training,1.0
FC(F)(F)CCC(=O)O,training,1.0
P(O)(O)c1ccccc1,training,1.0
O=C(OC)C#CC(=O)OC,training,1.0
O=C(OCC1OC1)C(=C)C,training,1.0
O=C(O)Cc1sccc1,training,1.0
O=C(O)Cc1cscc1,training,1.0
NCC1CC(CN)CCC1,training,1.0
N(CC=CCN(C)C)(C)C,training,1.0
Clc1cc(C)c(O)cc1,training,1.0
ClS(=O)(=O)C(C)C,training,1.0
ClC(C(=O)O)CCl,training,1.0
Cl[Si](CCl)(C)C,training,1.0
O=C(OCCN(C)C)C=C,training,1.0
N(CCC)(CCC)CCC,training,1.0
O=C(O)CCCCCCC,training,1.0
NCCCN1CCOCC1,training,1.0
N(CCCCN(C)C)(C)C,training,1.0
NCCCCCCCCN,training,1.0
ClCc1ccc(F)cc1,training,1.0
ClCc1c(F)cccc1,training,1.0
ClCc1cc(F)ccc1,training,1.0
N(CCCN)(CCCN)C,training,1.0
O(CCO)CCCCCC,training,1.0
N(CCNCCN)CCN,training,1.0
N(CCN)(CCN)CCN,training,1.0
ClC(=O)C(Cl)Cl,training,1.0
Clc1ncnc(Cl)c1,training,1.0
Cl[Si](Cl)(Cl)C,training,1.0
Oc1ccc(C(CC)C)cc1,training,1.0
Oc1c(C(C)(C)C)cccc1,training,1.0
Oc1ccc(CCCC)cc1,training,1.0
Oc1c(C(C)C)ccc(C)c1,training,1.0
Oc1c(C(CC)C)cccc1,training,1.0
N(CCN)Cc1ccccc1,training,1.0
ClC(C(=O)OC)C(=O)C,training,1.0
ClCC(=O)CC(=O)OC,training,1.0
Cl[Si](CC)(CC)CC,training,1.0
NCc1cc2OCOc2cc1,training,1.0
O(C)c1ccc(CCN)cc1,training,1.0
O(C)c1cc(CCN)ccc1,training,1.0
Oc1c(CN(C)C)cccc1,training,1.0
ClCc1ccc(C#N)cc1,training,1.0
ClCc1c(C#N)cccc1,training,1.0
O=C1OC(=O)C2=C1CCCC2,training,1.0
O(O)C(C)(C)c1ccccc1,training,1.0
N1=C2N(CCC1)CCCCC2,training,1.0
ClCC=Cc1ccccc1,training,1.0
BrC(C(=O)O)C,training,1.0
BrCC(=O)OC,training,1.0
S=C=Nc1cc(F)ccc1,training,1.0
Clc1cc(N=C=O)ccc1,training,1.0
Clc1c(N=C=O)cccc1,training,1.0
S(=O)(=O)(OCC)OCC,training,1.0
ClC(=O)Cc1ccccc1,training,1.0
ClCc1c(C)cc(C)cc1,training,1.0
ClC(=O)CCC(Cl)=O,training,1.0
N(=C=NCC)CCCN(C)C,training,1.0
N(CC)(CC)C1CCCCC1,training,1.0
O=C(O)C=CCCCCCC,training,1.0
NC1CC(C)(C)NC(C)(C)C1,training,1.0
ClP(OCC)OCC,training,1.0
ClS(=O)(=O)CCCC,training,1.0
ClC(=O)OCCCCl,training,1.0
Cl[Si](Cl)(CC)CC,training,1.0
O=C(OCCN(C)C)C(=C)C,training,1.0
N(CCCCCCCC)(C)C,training,1.0
NCCCCCCCCCC,training,1.0
S(=O)(=O)(O)c1ccccc1,training,1.0
O=C(OC(=O)C(C)C)C(C)C,training,1.0
O=C(OC(=O)CCC)CCC,training,1.0
NCC(CC(CCN)C)(C)C,training,1.0
ClC(=O)c1c(F)cccc1,training,1.0
ClC(=O)c1cc(F)ccc1,training,1.0
S(=O)(=O)(O)c1cnccc1,training,1.0
O(CCN(C)C)CCN(C)C,training,1.0
ClCc1cc(Cl)ccc1,training,1.0
OCCN(C(C)(C)C)CCO,training,1.0
[Si](N[Si](C)(C)C)(C)(C)C,training,1.0
Cl[Si](Cl)(Cl)C=C,training,1.0
OCCN(CCO)CCCN,training,1.0
ClC(=O)CCCCCCC,training,1.0
ClP(Cl)(=O)OCC,training,1.0
ClS(=O)(=O)CCCl,training,1.0
S=C=NCCc1ccccc1,training,1.0
N(CCCC)Cc1ccccc1,training,1.0
ClC(Cl)(Cl)C(=O)O,training,1.0
Cl[Si](Cl)(CCl)C,training,1.0
FC(F)(F)C(F)(F)C(=O)O,training,1.0
S(=O)(=O)(OC)C(F)(F)F,training,1.0
Oc1c(C(C)(C)C)cc(C)cc1,training,1.0
Oc1ccc(C(CC)(C)C)cc1,training,1.0
Oc1c(C(C)(C)C)ccc(C)c1,training,1.0
Oc1c(C(C)(C)C)cccc1C,training,1.0
N(CC)(CC)c1ccc(N)cc1,training,1.0
ClC(C(=O)OCC)C(=O)C,training,1.0
ClCC(=O)CC(=O)OCC,training,1.0
BrCC=CC(=O)O,training,1.0
S=C=Nc1ccc(OC)cc1,training,1.0
ICC#N,training,1.0
BrC(C(=O)O)(C)C,training,1.0
BrC[Si](C)(C)C,training,1.0
O(C)c1c(OC)cccc1CN,training,1.0
O(C)c1c(OC)ccc(CN)c1,training,1.0
ICC=C,training,1.0
O=C=NCCCCCCN=C=O,training,1.0
ClS(=O)(=O)C(F)(F)F,training,1.0
O=C(OCC)C#CC(=O)OCC,training,1.0
NCC1(C)CC(C)(C)CC(N)C1,training,1.0
ClC(=O)OCc1ccccc1,training,1.0
ClCc1ccc(C(=O)O)cc1,training,1.0
Cl[Si](C)(C)c1ccccc1,training,1.0
NCCCCCCCCCCC,training,1.0
BrC(C(Cl)=O)C,training,1.0
ClCc1ccc([N+](=O)[O-])cc1,training,1.0
ClCc1cc([N+](=O)[O-])ccc1,training,1.0
N1CCNCCNCCNCC1,training,1.0
N(CCCCCCN(C)C)(C)C,training,1.0
N(C(C)(C)C)CCNC(C)(C)C,training,1.0
NCCCCCCCCCCN,training,1.0
N(CCN(C)C)(CCN(C)C)C,training,1.0
O(C)b1ob(OC)ob(OC)o1,training,1.0
S(F)(=O)(=O)Cc1ccccc1,training,1.0
N(CCNCCCN)CCCN,training,1.0
Clc1c(C=O)ccc(Cl)c1,training,1.0
Clc1c(C=O)c(Cl)ccc1,training,1.0
ClC(=O)c1cc(Cl)ccc1,training,1.0
ClCc1cc(CCl)ccc1,training,1.0
FC(F)(F)c1ccc(CN)cc1,training,1.0
[Si](OC(=O)C)(OC(=O)C)(C)C,training,1.0
ClS(=O)(=O)c1ccccc1,training,1.0
ClCc1c2c(ccc1)cccc2,training,1.0
BrN1C(=O)CCC1=O,training,1.0
FC(C(=O)OCC)C(=O)OCC,training,1.0
ClP(Cl)c1ccccc1,training,1.0
