smiles,group,CYP3A4-inh
Clc1c(Cl)ccc(CC(=O)N(C)C2C(N3CCCC3)CCCC2)c1,training,1.0
S(=O)(=O)(N(CCOC)CCOC)c1ccc(C(=O)c2n(CCCC)ccn2)cc1,training,1.0
S(=O)(=O)(NC1C(C)C=CCC(=O)C(C)NC(=O)OCC(C)C=CCC(=O)OC1)c1ccc(C)cc1,training,1.0
N#Cc1c(-c2nc(NCCN3CCOCC3)c3c(n2)cccc3)cccc1,training,1.0
S(CCC(NC(=O)NCc1c(F)cccc1)C(=O)OC)C,training,1.0
O=C(OCC)C[n+]1c(C)sc2c1cc(OC)cc2,training,1.0
Fc1cc(F)cc(C=2C(=O)N(Cc3cc(OC)ccc3)c3ncncc3N=2)c1,training,1.0
O(C)c1cc2c(CCNc3c(-c4ccc(N(C)C)cc4)cncn3)c[nH]c2cc1,training,1.0
Clc1ccc(CCn2c(CCC)cc3c2C(C)C2C3C(C(=O)OC)(C)N(C(=O)c3ccccc3)C2)cc1,training,1.0
N(Cc1occc1)(C)c1nc(-c2c(C)onc2C)nc2c1cccc2,training,1.0
Clc1ccc(CCNC(=S)N2Cc3c(cc(O)c(O)c3)CCC2)cc1,training,1.0
Clc1c(C=CC(=O)N2C(C(=O)NC(C(=O)N)Cc3sc4c(c3)cccc4)CC3(ON=C(c4cc(NC(=O)C5NC(=O)CC5)ccc4)C3)C2)c(F)ccc1,training,1.0
O(C)c1c(OC)ccc(Cc2nccc3c2cc(OC)c(OC)c3)c1,training,1.0
N#Cc1cc(-c2cc3c(NCc4cnccc4)ncnc3cc2)ccc1,training,1.0
Clc1ccc(CC(=O)Nc2cc(-c3oc(-c4occc4)nn3)ccc2)cc1,training,1.0
CN1CCN(c2ncnc3c2cc(-c2c(C)onc2C)cc3)CC1,training,1.0
S(CC(=O)Nc1scc(-c2ccccc2)n1)c1n-2c(C(C)=Cc3c-2cc(OC)cc3)nn1,training,1.0
O=C1C(Cc2ccccc2)NC(=O)CC=CC(C)C(OC)COC(=O)CCCC(C)C(OC)CO1,training,1.0
Clc1cc2N(C(=O)CSc3oc(COc4ccc(OC)cc4)nn3)c3c(Sc2cc1)cccc3,training,1.0
S(=O)(=O)(NC1C(C)C=CCC(=O)OCC(NS(=O)(=O)c2ccc(C)cc2)C(C)C=CCC(=O)OC1)c1ccc(C)cc1,training,1.0
Fc1ccc(Oc2c(C#N)c(C)cc(C)n2)cc1,training,1.0
S(=O)(=O)(NC(C)(C)C)c1ccc(NC(=S)NC(=O)Cc2ccc(OC)cc2)cc1,training,1.0
O=C(NCCc1cc(OC)c(OC)cc1)c1oc2nc3c(cc2c1)ccc(OC)c3,training,1.0
O(N=C1C(O)C(c2cc(OC)ccc2)Oc2c1cc(OC)cc2)C(CN1c2c(nc(C)c(C)c2)CCCC1)C,training,1.0
O=C(NC1CCCC1)C(N(C(=O)c1ncccc1)c1ccccc1)(CC)C,training,1.0
S(=O)(=O)(c1c(OC(=O)C)n(C(C)(C)C)nc1C)c1ccc(C)cc1,training,1.0
N(Cc1cnccc1)c1nc(-c2c(C)onc2C)nc2c1cccc2,training,1.0
S(CCOc1ccc(C)cc1)c1nc(NC(C)C)nc(NCC)n1,training,1.0
Clc1c(-c2nc(NN=Cc3cnccc3)c3c(n2)cccc3)cccc1,training,1.0
S(=O)(=O)(N(C(C(=O)Nc1c(Sc2ccccc2)cccc1)C)c1ccccc1)C,training,1.0
O=[N+]([O-])c1cc(C=C(NC(=O)c2sccc2)C(=O)Nc2ccc(C)cc2)ccc1,training,1.0
O=[N+]([O-])c1c(C(=O)NCCC(C)C)cc(OC)c(OC)c1,training,1.0
FC(F)(F)c1c(OC)cc2c(N(C(=O)Nc3cc(F)cc(-c4cnccc4)c3)CC2)c1,training,1.0
Clc1c(CNC(=O)C2CCN(S(=O)(=O)N3CCC4(OCCO4)CC3)CC2)cccc1,training,1.0
O(CC(O)CN1CCC(CN2C(=O)c3c4c(ccc3)cccc4C2=O)CC1)c1cc2c(cc1)cccc2,training,1.0
N#Cc1c(NCc2ccccc2)oc(-c2sccc2)n1,training,1.0
S(Cc1c(C)cccc1)C=1N(Cc2ccc(OC)cc2)C(=N)c2c(N=1)cc(OC)c(OC)c2,training,1.0
S(=O)(=O)(NCC(=O)N(CC(=O)NCC1OCCC1)c1c(OC)cccc1)c1ccc(C)cc1,training,1.0
O=[N+]([O-])c1c(N2CCCCC2)ccc(C(=O)N(Cc2ccccc2)c2ncccc2)c1,training,1.0
S(c1c(N)cccc1)c1c(C#N)cccc1,training,1.0
Clc1ccc(NC(=O)c2c(OS(=O)(=O)N(C)C)ccs2)cc1,training,1.0
S=C(Nc1ccc(C(=O)OC)cc1)N1CCN(Cc2cc(C)ccc2)CC1,training,1.0
O=C1N(CC2OCCC2)c2nc(N3CCN(C)CC3)ncc2N=C1c1c2c(n(C)c1)cccc2,training,1.0
O=C(N1CC2(CN(C(c3ccccc3)c3ccccc3)CC2)CCC1)c1nnsc1,training,1.0
O=C1N(CC2OCCC2)c2nc(NCC)ncc2N=C1c1ccccc1,training,1.0
CN1CCN(c2c(-c3c(C)onc3C)cncn2)CC1,training,1.0
O(C)c1c(CNc2nc(-c3cocc3)ncc2)ccc(OC)c1,training,1.0
O=C(N1CCN(C)CC1)C1C(N(C(=O)c2c1cccc2)C1CCCCC1)c1ccc(OC)cc1,training,1.0
O=C(OC)c1oc(COc2c(OC)cc(C=C(C#N)c3[nH]c4c(n3)cccc4)cc2)cc1,training,1.0
O=C(Nc1cc2c(cc1)CCC2)CC1CCCC1,training,1.0
S(=O)(=O)(CCC(N)C(=O)NC1C2(CS(=O)(=O)N3CCN(c4c(C)cccc4)CC3)C(C)(C)C(C1)CC2)C,training,1.0
Clc1cc(NN=C2N=CC=N2)c(OC)cc1,training,1.0
Clc1nc(NN=Cc2c([N+](=O)[O-])cccc2)nc(N)c1,training,1.0
S(=O)(=O)(C)c1ccc(Cn2c3c(F)cc(F)cc3c3c2C(CC(=O)O)CCC3)cc1,training,1.0
S(=O)(=O)(N1CCC(C(=O)NCc2cnccc2)CC1)c1ccc(C)cc1,training,1.0
O=C(NC1CCCCC1)CCCc1ccc(OC)cc1,training,1.0
N(C)=C1SN(c2ccccc2)C(c2ccccc2)=N1,training,1.0
Fc1cc(C(=O)N2CC3(CN(Cc4ccncc4)CC3)CCC2)ccc1,training,1.0
BrC1(Br)C(C(=O)NC(CC)c2ccc(C)cc2)(C)C1,training,1.0
O=C(N(C)C)c1ccc(-c2nc(NCc3sccc3)ccn2)cc1,training,1.0
N(c1c(-c2c(C)cccc2)cncn1)c1ccccc1,training,1.0
S(=O)(=O)(C=CC#N)c1ccc(C(C)(C)C)cc1,training,1.0
Clc1c(Cl)ccc(CC(=O)N2C(CN3CCCC3)CCCC2)c1,training,1.0
Clc1cc(C)c(OCCCC(=O)N2CCN(C)CC2)cc1,training,1.0
S(=O)(=O)(Nc1cc(-c2cc3c(Nc4ccc(F)cc4)ncnc3cc2)ccc1)C,training,1.0
O=[N+]([O-])CCc1c(C(=O)Nc2ccc(NC(=O)C)cc2)cccc1,training,1.0
O=C(NC1CCCCC1)C(N(C(=O)c1c(C)nc(C)s1)c1ccc(C(=O)C)cc1)c1ccc(OC)cc1,training,1.0
O(N=C1C2C(C(O)C(O)C1)C1C(=O)N(c3cc(Oc4ccccc4)ccc3)C(=O)C1CC2)CCCC#C,training,1.0
O=C(OCc1ccccc1)NN=C1C2C(C(O)C(O)C1)C1C(=O)N(Cc3cc4OCOc4cc3)C(=O)C1CC2,training,1.0
FC(F)(F)C1(O)N(C(=O)c2cc(OC)ccc2)N=C(c2cc(OC)ccc2)C1,training,1.0
S(=O)(=O)(N1CCOCC1)c1cc(-c2n(c(SCC(=O)NCc3ccccc3)nn2)C2CCCCCC2)ccc1,training,1.0
S(=O)(=O)(N(CC(=O)NN=C1CCCC1)c1ccc(OC)cc1)c1ccccc1,training,1.0
O=C(NC(C(=CCCC)CCC)c1ccc(C(=O)OC)cc1)C(C)(C)C,training,1.0
S(=O)(=O)(NCc1ccc(F)cc1)c1c2c(c(OCC)cc1)nccc2,training,1.0
O=C(Nc1c(-c2ccccc2)cccc1)C(NC1CCCC1)C,training,1.0
Clc1c(C(ON=Cc2c(SCc3ccc(Cl)cc3)n(C)nc2C(F)(F)F)=O)cccc1,training,1.0
Brc1cc(Cn2c(NCC3OCCC3)nc3N(C)C(=O)N(C)C(=O)c23)ccc1,training,1.0
O=C(NC1(C(C)C)C(=O)N2C(O)(O1)C1N(C(=O)C2Cc2ccccc2)CCC1)C1CN(C)C2C(c3c4c([nH]cc4C2)ccc3)C1,training,1.0
Clc1c(C(=O)NCCOc2cc(C)c(C)cc2)cc(-n2cnnc2)cc1,training,1.0
ClC(Cl)(Cl)C(NC(=O)CCC)Nc1c(OC)cccc1,training,1.0
O=C(NCCc1ccccc1)CCCc1onc(-c2cc(OC)c(OC)cc2)n1,training,1.0
S(=O)(=O)(NC(C(=O)NCc1ccc(F)cc1)C(C)C)c1cc2c(N(C(=O)CC)CC2)cc1,training,1.0
O=C(OCCCC)c1ncc2[nH]c3c(c2c1)cccc3,training,1.0
Clc1ccc(C(=NS(=O)(=O)c2ccc(C)cc2)N2CCOCC2)cc1,training,1.0
S(=O)(=O)(N1CC2C(C3C=CC2C3)C1)c1ccc(OC)cc1,training,1.0
O=C1N(C2CCCC2)c2nc(N)c3c(N)nc(N(CCO)C)c(C#N)c3c2C1,training,1.0
Clc1ccc(CC(=O)N2C(C(=O)NC3(C(=O)N)CC3)CC3(ON=C(c4cc(NC(=O)C5NC(=O)CC5)ccc4)C3)C2)cc1,training,1.0
O=C(Nc1c(OC)cccc1)CN1CCN(C2c3c(-c4c2cccc4)cccc3)CC1,training,1.0
S(CC(=O)NC1CCCCC1)c1n(CC=C)c(C2CCCCC2)nn1,training,1.0
S(Cc1c(O)c(OC)cc(C=C(C#N)C(=O)N)c1)c1sc2c(n1)cccc2,training,1.0
O=C(NCCCN1CCOCC1)c1oc2nc3c(cc2c1)ccc(OC)c3,training,1.0
O=C(Nc1cc2OCCOc2cc1)Cn1nc(-c2c(NC(=O)c3c(C)cccc3)cccc2)nn1,training,1.0
O=C(NN=C1c2c(c(C)ccc2)OCC1)COc1ccccc1,training,1.0
O=C(O)C(NCCC(=O)c1ccc(OCC)cc1)Cc1[nH]cnc1,training,1.0
S(Cc1cc(C)ccc1)c1n(C)c(CO)cn1,training,1.0
O=[N+]([O-])c1cc(C2N(C)c3c(OC=4N(C)C(=O)N(C)C(=O)C2=4)cccc3)ccc1,training,1.0
CN1CCN(c2ncnc3c2cc(-c2cnccc2)cc3)CC1,training,1.0
O=C1N(Cc2sccc2)c2nc(NCC)ncc2N=C1c1ccccc1,training,1.0
O=C(NCc1occc1)C(N(C(=O)CNC(=O)c1sccc1)c1c(C)cc(C)cc1)c1ccc(C)cc1,training,1.0
Fc1c(N2C(=O)C(=Cc3c(-c4cnccc4)nn(-c4ccccc4)c3)SC2=C(C#N)C#N)cccc1,training,1.0
N(c1ncnc2c1cc(-c1c(C)onc1C)cc2)C1CC1,training,1.0
S(=O)(=O)(NC(C(=CCCC)CCC)c1ccccc1)c1ccc(C(F)(F)F)cc1,training,1.0
Clc1ccc(S(=O)(=O)NC(C(=CCCC)CCC)c2ccccc2)cc1,training,1.0
S(CC(=O)Nc1ccc(OC)cc1)C=1N(CCC(=O)N2CCCCC2)C(=O)c2c(N=1)cccc2,training,1.0
Clc1c(C(=O)NCCC=2N(CC)C(=S)NN=2)ccc(Cl)c1,training,1.0
Clc1ccc(SCC(=O)Nc2cc(-c3oc4c(n3)nccc4)ccc2)cc1,training,1.0
O=C(NCc1cnccc1)c1[nH]cc(C(=O)c2ccccc2)c1,training,1.0
S(CC(=O)Nc1sc2c(n1)CCCC2)c1nc(CCC)nc2c1cccc2,training,1.0
N(Cc1cc(C)ccc1)c1ncnc(-c2cnccc2)c1,training,1.0
Fc1ccc(CN2C(=O)C=Nc3c2nc(Nc2ccccc2)nc3)cc1,training,1.0
O(C)c1cc(CN2C(=O)C(C)=Nc3c2nc(Oc2ccc(OC)cc2)nc3)ccc1,training,1.0
S(=O)(=O)(Nc1cc(-c2nc(NCc3c(OC)cccc3)ccn2)ccc1)C,training,1.0
Clc1c(S(=O)(=O)N(CC)CC)cc(C(=O)Nc2ccncc2)cc1,training,1.0
Fc1ccc(Nc2c(-c3c(CN(C)C)cccc3)cncn2)cc1,training,1.0
S(=O)(=O)(N1CC2(CN(C(=O)Nc3cc(F)ccc3)CC2)CCC1)c1ccccc1,training,1.0
O=C(N(CCN1CCOCC1)Cc1cc2c(N(CC)CCC2)cc1)Nc1ccc(OCC)cc1,training,1.0
Nc1sc(c(-c2ccccc2)n1)-c1ccc(N)cc1,training,1.0
O=C(NCc1cc2OCOc2cc1)C1C2C(=O)N(Cc3ccc(C)cc3)CC32OC1C=C3,training,1.0
S(Cc1cc(C)c(NC(=O)c2cc([N+](=O)[O-])ccc2)cc1)c1ccccc1,training,1.0
S(C)C1=NC(=O)C=2C(c3ccncc3)C(C(=O)OC(C)C)=C(C)NC=2N1,training,1.0
Fc1ccc(C=2C(=O)N(Cc3cc(OC)ccc3)c3nc(OC)ncc3N=2)cc1,training,1.0
Clc1c(Cl)ccc(NC(=O)CC(=O)NN=Cc2c(OC)cccc2)c1,training,1.0
Fc1ccc(CN2C(=O)C(c3c4c(n(C)c3)cccc4)=Nc3c2nc(NCC)nc3)cc1,training,1.0
S(=O)(=O)(NCc1cc2OCOc2cc1)c1cc2c(C)c(C(=O)O)oc2cc1,training,1.0
S(=O)(=O)(CC)N1C2C(CN3C(c4c(cc(OC)cc4)CC3)C2)CCC1,training,1.0
FC(F)(F)c1cc(CC(NCCOC(=O)c2ccccc2)C)ccc1,training,1.0
O=[N+]([O-])c1ccc(C=C(NC(=O)c2ccccc2)C(=O)Nc2c3c(ccc2)cccc3)cc1,training,1.0
Clc1ccc(-c2c(N)nc(N)nc2COc2cc(N)ccc2)cc1,training,1.0
Clc1c(C(N)C(=O)O)cc(O)cc1,training,1.0
O=C(N1CCCC1)c1n(Cc2ncccc2)c2c(c1)C1C(C(=O)OC)(Cc3ccccc3)N(C(=O)c3ccccc3)CC1C2,training,1.0
O(C)c1c(OC)ccc(C(C#N)(C(C)C)CCCN(CCc2cc(OC)c(OC)cc2)C)c1,training,1.0
O=C(N(CCCC)CC)Cc1c(OC)cccc1,training,1.0
O(C)c1c(OC)ccc(C2N(Cc3ccccc3)C(=O)CN(C2=O)C2CCCCCC2)c1,training,1.0
O=C1C(CN(C(C(C)C)c2n(C(CC)(C)C)nnn2)Cc2occc2)=Cc2c(N1)cc1OCOc1c2,training,1.0
Brc1cc2C3(C(C(OC(C)(C)C)=O)=C(N)Oc2cc1)C(=O)NC1=C3C(=O)CC(C)(C)C1,training,1.0
Clc1c(NC(=O)N(C)C2C(CO)COc3c(OC)cccc23)ccc(Cl)c1,training,1.0
S(=O)(=O)(Nc1cc(-c2cc3c(NCc4cc(C)ccc4)ncnc3cc2)ccc1)C,training,1.0
S(CC=C)c1nc(Oc2ccccc2)c2sccc2n1,training,1.0
S(=O)(=O)(CC(=O)NCCCN(C)C1CCCCC1)Cc1c(C)oc(-c2c(F)cccc2)n1,training,1.0
S=C(NC(=O)C=Cc1ccc(C)cc1)Nc1c(C(=O)NC2CCCCC2)cccc1,training,1.0
S(Cc1c(F)cccc1)c1nnc-2c(OC3(C(=O)Nc4c3cc(F)cc4)Nc3c-2cccc3)n1,training,1.0
O(CCN1C(=O)C(c2sccc2)=Nc2c1nc(N(C)C)nc2)C,training,1.0
S(=O)(=O)(Nc1c(C)n(-c2ccc(F)cc2)nc1C)c1cc2c(cc1)cccc2,training,1.0
Fc1ccc(CC2(C(=O)OC)N(C(=O)c3ccccc3)CC3C2c2c(n(CCc4c5c([nH]c4)ccc(OC)c5)c(C(=O)N(C)C)c2)C3)cc1,training,1.0
[SH0](=O)(CC(=O)NCCCN(CCCC)C)Cc1c(C)oc(-c2cc(OC)c(OC)cc2)n1,training,1.0
O(C)c1ccc(Oc2nc3N(C)C(=O)C(C)=Nc3cn2)cc1,training,1.0
Fc1ccc(C2N(c3ccc(OC)cc3)C(=O)CCC2C(=O)NCCCN(CC)CC)cc1,training,1.0
FC(F)(F)c1ncc(Cn2c(C(=O)N(C)C)cc3c2CC2C3C(C(=O)OC)(Cc3ccc(F)cc3)N(C(=O)c3ccccc3)C2)cc1,training,1.0
Clc1c(C(F)(F)F)cc(Cn2c(C(=O)N(C)C)cc3c2CC2C3C(C(=O)OC)(Cc3ccc(F)cc3)N(C(=O)c3ccccc3)C2)cc1,training,1.0
Brc1c(Cn2c(C(=O)N(C)C)cc3c2CC2C3C(C(=O)OC)(Cc3ccc(F)cc3)N(C(=O)c3ccccc3)C2)ccs1,training,1.0
CN1CCN(c2nc(-c3cc4OCOc4cc3)nc3c2cccc3)CC1,training,1.0
Fc1ccc(CC2(C(=O)OC)N(C(=O)c3ccccc3)CC3C2c2c(n(Cc4[nH]c5c(n4)cccc5)c(C(=O)N(C)C)c2)C3)cc1,training,1.0
O(C)c1c(CNc2ncnc(-c3cocc3)c2)cccc1,training,1.0
O(C)c1c(CNc2nc(-c3cc4OCOc4cc3)ncc2)ccc(OC)c1,training,1.0
S(CC(=O)Nc1c(C)c(C)ccc1)c1nc(c(-c2occc2)nn1)-c1occc1,training,1.0
ClC(Cl)(Cl)C(NC(=O)Oc1ccc(OCC)cc1)c1ccccc1,training,1.0
O(C)c1ccc(Oc2nc3N(CCC#N)C(=O)C=Nc3cn2)cc1,training,1.0
O=C(N(C)C)c1ccc(-c2c(NCc3c(OC)cc(OC)cc3)ncnc2)cc1,training,1.0
O=C(N1CCC2(CN(Cc3ccccc3)CCC2)CC1)c1ccncc1,training,1.0
O=[N+]([O-])c1ccc(C(=NNc2nc(-c3ccc(C)cc3)nc3c2cccc3)C)cc1,training,1.0
Clc1cc(Oc2nc3N(CC4OCCC4)C(=O)C(CCc4ccccc4)=Nc3cn2)ccc1,training,1.0
O(C)c1nc2N(Cc3cc(OC)ccc3)C(=O)C(c3cc(C#N)ccc3)=Nc2cn1,training,1.0
Brc1c([N+](=O)[O-])nn(Cc2cc(C(=O)Nc3c(C)cccc3)ccc2)c1,training,1.0
N#Cc1c(-c2cc3c(NCc4ncc(C)nc4)ncnc3cc2)cccc1,training,1.0
FC(F)(F)c1cc(C(F)(F)F)cc(C(=O)N2CCC3(CN(c4ccccc4)CCC3)CC2)c1,training,1.0
O=C1N(CCNCC2Oc3c(OC2)cccc3)C(=O)CC2(C1)CCCC2,training,1.0
O(CCCN1C(=O)Sc2c1cccc2)c1ccc(C)cc1,training,1.0
O(C)c1c(CNc2c(-c3cc4OCOc4cc3)cncn2)cccc1,training,1.0
Clc1c(-c2nc(NCc3c(OC)cc(OC)cc3)ccn2)cccc1,training,1.0
Clc1c(C(=O)N2CCN(c3ccc(F)cc3)CC2)sc2c1cccc2,training,1.0
O=C(Oc1ccccc1)N1CC2(CN(C)CC2)CCC1,training,1.0
Fc1cc(C(=O)N2CC3(CN(Cc4ccc(C#N)cc4)CC3)CCC2)ccc1,training,1.0
O=C(NCCNc1ncnc2c1cc(-c1cc3OCOc3cc1)cc2)C,training,1.0
Clc1c(NN2C(=O)C(=Cc3ncccc3)SC2=S)ncc(C(F)(F)F)c1,training,1.0
O=C(OC)CC1C(C(C(OC)C(C)C)C)O1,training,1.0
FC(F)(F)c1cc(C(F)(F)F)cc(C(=O)N2CC3(CN(c4ccncc4)CC3)CCC2)c1,training,1.0
O(C)c1cc(-c2cc3c(Nc4ccccc4)ncnc3cc2)ccc1,training,1.0
O=C(Nc1sc2c(n1)-c1c(cc(OC)cc1)C2)c1ccc(OC)cc1,training,1.0
N#Cc1c(N)nc2c(c1-c1c(C)n(C)nc1)CCCCCC2,training,1.0
O=C(Nc1nc(OC)nc(OC)c1)CCCC#CC,training,1.0
O=C(N(C)C)c1n(Cc2cc(OC)c(O)cc2)c2c(c1)C1C(C(=O)OC)(Cc3ccc(OC)cc3)N(C(=O)c3ccccc3)CC1C2,training,1.0
O=C(Nc1ccc(OC)cc1)N1CC2(CCNCC2)CCC1,training,1.0
N(Cc1cnccc1)c1nc(-c2cnccc2)ncc1,training,1.0
O(C)c1nc2N(c3ccc(OC)cc3)C(=O)C(c3sccc3)=Nc2cn1,training,1.0
S(=O)(=O)(N1C(C(C)C)N(C(=O)c2ccccc2)CC1)c1ccc(C)cc1,training,1.0
O(C)c1ccc(C2N(CC3Oc4c(OC3)cccc4)C(=O)CN(C2=O)C2CCCCC2)cc1,training,1.0
O(C)c1c(CNc2c(-c3cc(C#N)ccc3)cncn2)ccc(OC)c1,training,1.0
O=C(NCCCn1cncc1)c1c2c(nc(-c3ccccc3)c1)ccc(C)c2,training,1.0
O=[N+]([O-])c1c(C=C(NC(=O)c2ccccc2)C(=O)Nc2ccccc2)cc(OC)c(OC)c1,training,1.0
[O-][n+]1c(C#N)c(-c2ccccc2)no1,training,1.0
FC(F)(F)c1cc(C(F)(F)F)cc(COC(=O)C(NC(=O)C)Cc2c3c([nH]c2)cccc3)c1,training,1.0
O=[N+]([O-])c1cc(C2C(C(=O)OCC)=C(C)NC(C)=C2C(=O)OC)ccc1,training,1.0
ClC(Cl)(Cl)C(NC(=S)Nc1ccc(S(=O)(=O)N)cc1)NC(=O)c1ccc(OC)cc1,training,1.0
S(=O)(=O)(Nc1cc(-c2nc(NCc3c(OC)cccc3)c3c(n2)cccc3)ccc1)C,training,1.0
S=C(Nc1c(C(=O)OC)ccc(C(=O)OC)c1)N1CCN(c2ccccc2)CC1,training,1.0
Clc1c(CNC(=O)c2nccnc2)cccc1,training,1.0
O=C(Nc1c(C(=O)OC)c(-c2cc3c(cc2)cccc3)cs1)Cc1cc(OC)c(OC)cc1,training,1.0
Cc1cc2c([nH]c3nc4c(nccc4)cc23)cc1,training,1.0
OC(CNC(C)C)c1cc(C#N)c(N)cc1,training,1.0
S(=O)(=O)(NN=Cc1c(-c2ccccc2)nn(-c2ccccc2)c1)c1ccccc1,training,1.0
O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1,training,1.0
O(C)c1cc2[nH]c3c(N4CCN(Cc5cc6OCOc6cc5)CC4)ncnc3c2cc1,training,1.0
S(=O)(=O)(Nc1ccc(C)cc1)c1ccc(NC(=O)c2cc(NC(=O)C(C)C)ccc2)cc1,training,1.0
S(C(C(=O)Nc1cc(OC)ccc1)CC)C=1N(Cc2occc2)C(=O)c2c(N=1)cc1OCOc1c2,training,1.0
O=C(Nc1c(C)cc(C)cc1C)CCN(CCc1cc(OC)c(OC)cc1)C,training,1.0
O(CC)c1ccc(C2=Nn3c(-c4c(OC)cccc4)nnc3SC2)cc1,training,1.0
O=C1OC2C3(C)C(O)(C4C(=O)OC2C4C(O)(C)C)CC2OC132,training,1.0
O=C(C=C1N(C)C(C)(C)Cc2c1cccc2)c1ccc(OC)cc1,training,1.0
S(=O)(=O)(N1CCOCC1)c1cc2[nH]c(Cc3cc(OC)c(OC)cc3)nc2cc1,training,1.0
O=C(N1CCOCC1)c1c(-c2sccc2)nn(-c2ccccc2)c1,training,1.0
BrC1C2(C(=O)Nc3c4c(ccc3)cccc4)C(C)(C)C1(C)CC2,training,1.0
Brc1cc(F)c(NC(=O)COC(=O)c2c(N)cccc2)cc1,training,1.0
Brc1cc2c(NC(=O)CN3CCN(C4CCCCC4)CC3)c(C(=O)OC)[nH]c2cc1,training,1.0
O=C(OCOC(=O)C1C(C)(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N12)C(C)(C)C,training,1.0
O(N=C1C2C(C(O)C(O)C1)C1C(=O)N(C(=O)C1CC2)C1CCCCC1)CCCC#C,training,1.0
O(C)c1nc2N(CCc3ccccc3)C(=O)C(c3c4c(n(C)c3)cccc4)=Nc2cn1,training,1.0
O=C(Nc1cc(OC)c(OC)cc1)C1ON=C(c2cc(OC)ccc2)C1,training,1.0
Clc1c(Cl)ccc(C2c3c(C(NC)C2)cccc3)c1,training,1.0
Clc1cc(Oc2nc3N(CCOC)C(=O)C(c4cc(F)cc(F)c4)=Nc3cn2)ccc1,training,1.0
