smiles,group,Pgp-sub
O(C)c1c(OC)cc([C@H]2[C@H]3C(=O)OC[C@@H]3[C@H](N)c3c2cc2OCOc2c3)cc1OC,training,0.0
O(C)c1c(OC)cc([C@H]2[C@H]3C(=O)OC[C@@H]3[C@H](O)c3c2cc2OCOc2c3)cc1OC,training,0.0
O(C)c1c(OC)cc([C@H]2[C@H]3C(=O)OC[C@@H]3[C@@H](N(C)C)c3c2cc2OCOc2c3)cc1OC,training,0.0
O=C(N(C)[C@H]1[C@@H]2[C@@H]([C@H](c3cc(OC)c(OC)c(OC)c3)c3c1cc1OCOc1c3)C(=O)OC2)C,training,0.0
Clc1ccc(C=2C(C(=O)OCC)=C(C)N([C@H]3[C@@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H](OC(=O)C)[C@H](COC(=O)C)O3)C(=S)C=2C#N)cc1,training,0.0
S=C1N([C@@H]2[C@H](OC(=O)C)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@H](COC(=O)C)O2)C(c2ccccc2)=C(C(=O)C)C(c2ccc(OC)cc2)=C1C#N,training,0.0
S=C1N([C@H]2[C@@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H](OC(=O)C)[C@H](COC(=O)C)O2)C(C)=C(C(=O)C)C(c2occc2)=C1C#N,training,0.0
S=C1N([C@H]2[C@@H](O)[C@@H](O)[C@@H](O)[C@H](CO)O2)C(C)=CC(C)=C1C#N,training,0.0
S=C1N([C@H]2[C@@H](O)[C@@H](O)[C@@H](O)[C@H](CO)O2)C2=C(C=C1C#N)CCCC2,training,0.0
O=C1N([C@H]2[C@H](O)[C@H](O)[C@@H](CO)O2)C=CC=N1,training,0.0
OC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C,training,0.0
SC[C@H](N)C(=O)OC,training,0.0
O(C)c1ccc(Cc2c([C@@H]3C(=O)N(c4ccccc4)N=C3c3ccccc3)c(O)nnc2-c2ccc(C)cc2)cc1,training,0.0
FC(F)(F)c1ccc(O[C@@H](CCNC)c2ccccc2)cc1,training,0.0
OC(CN(CCO)c1nc(N2C[C@@H](C)O[C@@H](C)C2)nc2nc(N3C[C@@H](C)O[C@@H](C)C3)c(-c3ccccc3)nc12)(C)C,training,0.0
Brc1c(Cl)cc(OP(=S)(OC)c2ccccc2)c(Cl)c1,training,0.0
ClCCN(CCCl)P1(=O)OCCCN1,training,0.0
S(=O)(=O)(Nc1ncccc1)c1ccc(N)cc1,training,0.0
S([C@@H]([C@@H](O)CCCC(=O)O)/C=C/C=C/C=C\C/C=C\CCCCC)C[C@@H](N=C(O)CC[C@H](N)C(=O)O)C(O)=NCC(=O)O,training,0.0
ClC(Cl)[C@H](c1c(Cl)cccc1)c1ccc(Cl)cc1,training,0.0
O=C1[C@H](C)[C@H](N(C)[C@@H]([C@H]1C)c1ccccc1)c1ccccc1,training,0.0
Fc1c(C(O)(Cn2ncnc2)Cn2ncnc2)ccc(F)c1,training,0.0
O=C(O)[C@H](C)[C@H]1[C@@H](C)CC[C@H](C[C@H]2O[C@]3([C@H](C)[C@H](OC)C2)[C@H](C)C[C@](C)([C@@H]2O[C@](C)([C@H]4[C@@H](C)C[C@H]([C@@H]5[C@@H](C)C[C@@H](C)[C@](O)(CO)O5)O4)CC2)O3)O1,training,0.0
O=C(Nc1ccc(CCN2Cc3c(cc(OC)c(OC)c3)CC2)cc1)c1c(N=C(O)c2cnc3c(c2)cccc3)cc(OC)c(OC)c1,training,0.0
O=C(CO)[C@]1(O)[C@]2(C)[C@H]([C@H]3[C@H]([C@@H](O)C2)[C@]2(C)C(=CC(=O)C=C2)CC3)CC1,training,0.0
O=C(CO)[C@@H]1[C@@]2(C)[C@H]([C@H]3[C@@H]([C@]4(C)C(=CC(=O)CC4)CC3)CC2)CC1,training,0.0
O(C)c1c(OC)cc([C@@H]2[C@@H]3C(=O)OC[C@H]3Cc3c2cc2OCOc2c3)cc1OC,training,0.0
ClCCN(CCCl)c1ccc(C[C@H](N)C(=O)O)cc1,training,0.0
O=C(N(C)[C@@H]1[C@@H]2[C@@H]([C@H](c3cc(OC)c(OC)c(OC)c3)c3c1cc1OCOc1c3)C(=O)OC2)C,training,0.0
O(C)c1c(OC)cc2c(C(=O)N(C)C=3c4c(C(=O)C2=3)cc2OCOc2c4)c1,training,0.0
S=C1N([C@H]2[C@@H](O)[C@@H](O)[C@@H](O)[C@H](CO)O2)C(C)=C(C(=O)C)C(c2occc2)=C1C#N,training,0.0
S=C1N([C@@H]2[C@H](O)[C@H](O)[C@H](O)[C@H](CO)O2)C2=C(C=C1C#N)CCC2,training,0.0
S=C1N([C@@H]2[C@H](O)[C@H](O)[C@H](O)[C@H](CO)O2)C2=C(C(c3occc3)=C1C#N)CCCC2,training,0.0
O=C1C=C2[C@@](C)([C@@H]3[C@H]([C@H]4[C@](C)([C@@H](O)CC4)CC3)CC2)CC1,training,0.0
S(=O)(=O)(Nc1nc(C)cc(C)n1)c1ccc(NC(=O)COC(=O)c2c3Nc4c(C(=O)c3ccc2)cccc4)cc1,training,0.0
OC[C@@H]1[C@@H](O)[C@H](O)[C@H](N2C(O)=NC(=N)C=C2)O1,training,0.0
O=C1N([C@@H]2O[C@H](CO)C=C2)C=C(C)C(O)=N1,training,0.0
Fc1c(F)c(F)cc(C(O)=NC2(CC)C(=O)N(C(C)C)C(=O)N=C2O)c1F,training,0.0
O=C1N=C(O)C(=Cc2c3c(n(Cc4ccccc4)c2)cccc3)C(O)=N1,training,0.0
Clc1ccc(-n2nc(C(=O)n3c(C)c4c(n3)-c3c(cccc3)CC4)c(O)c2)cc1,training,0.0
O(C)c1c(OC)ccc(CCN2C(=O)c3c(N=C2)cc(N=C(O)CN2CCN(C)CC2)c(Oc2cc(C)cc(C)c2)c3)c1,training,0.0
O=CC(=C)[C@@H]1CC=C(C=O)CC1,training,0.0
O(CCNC)c1ccc(/C(=C(/CC)\c2ccccc2)/c2ccc(O)cc2)cc1,training,0.0
FC(F)(F)c1c([N+](=O)[O-])cc([N+](=O)[O-])c(NN=C(c2ccc(O)cc2)c2ccc(O)cc2)c1,training,0.0
Clc1c([N+](=O)[O-])cc([N+](=O)[O-])c(NN=C(c2ccc(O)cc2)c2ccc(O)cc2)c1,training,0.0
Clc1nc(Cl)c2ncn(CC3(Cn4c5nc(Cl)nc(Cl)c5nc4)COC3)c2n1,training,0.0
Clc1c(Cl)ccc(N=C(O)NS(=O)(=O)c2c(Oc3ccc(F)cc3)ccnc2)c1,training,0.0
Clc1ccc(C(=O)COc2cc(/C=C\3/C(=O)c4c(SC/3)cccc4)ccc2)cc1,training,0.0
Ic1cc(CN(CCCN2CCCCCCC2)C)c(O)c(C)c1,training,0.0
O(C)c1c(OC)ccc(N=C(O)N2NC(=N)c3c2cccc3)c1,training,0.0
S(=O)(=O)(N)c1ccc(-n2ncc3c(Nc4ccccc4)ncnc23)cc1,training,0.0
O=C(OC)CCCCC(=O)C1=C(C)/C(=C/c2c(OC)cc(-c3[nH]ccc3)[nH]2)/N=C1C,training,0.0
O=C(/C=C/C=1C(C)(C)CCCC=1C)CC(=O)/C=C/C=1C(C)(C)CCCC=1C,training,0.0
O=C(CCN1CCN(c2nc3c(nc2)cccc3)CCC1)c1c2c(sc1)cccc2,training,0.0
FC(F)(F)c1[n+]([O-])c2c([n+]([O-])c1C(=O)c1cc3c(cc1)cccc3)ccc(C(F)(F)F)c2,training,0.0
Clc1c(Cn2c(C)c(C(=O)OCC)c3C(=O)C(=O)c4[nH]c(Cc5ccccc5)nc4-c23)ccc(Cl)c1,training,0.0
O=C(OC[C@H]1[C@@H](OC(=O)/C(=C/C)/C)C=CC(=O)O1)[C@@H](O)C,training,0.0
O=C(O[C@@H]1[C@H](CCC(=O)[C@@H](O)C)OC(=O)C=C1)/C(=C/C)/C,training,0.0
O=C1N(CCCCCCCCN)C=2c3c(C(=O)C=2c2c1cccc2)cccc3,training,0.0
O(C(O)=NCCCCCCCCCCCCN1C(=O)c2c(cccc2)C=2C(=O)c3c(cccc3)C1=2)C(C)(C)C,training,0.0
Brc1cc2c(/C=C/C(=O)C)cn(C(OC(C)(C)C)=O)c2cc1,training,0.0
Clc1cc2nc(C(=O)c3occc3)c(C(F)(F)F)[n+]([O-])c2cc1,training,0.0
FC(F)(F)c1[n+]([O-])c2c([n+]([O-])c1C(=O)c1occc1)ccc(C(F)(F)F)c2,training,0.0
N#C/C(=C\c1ncccc1)/c1oc2c(n1)cccc2,training,0.0
S1c2c(Nc3c1ccnc3)ccnc2,training,0.0
BrCCCN1C(=O)c2c(ccc([N+](=O)[O-])c2)C=2C(=O)c3c(ccc(S(=O)(=O)C)c3)C1=2,training,0.0
Clc1c(Cl)cc2[n+]([O-])c(C(=O)c3cc4c(cc3)cccc4)c(C(F)(F)F)[n+]([O-])c2c1,training,0.0
OCCCCC#Cc1c(C#Cc2ccc(O)cc2)cccc1,training,0.0
Fc1c(F)c(F)c(C#C/C=C\C#Cc2c(N)cccc2)c(F)c1F,training,0.0
O(C/C=C\1/OC(=O)CC/1)c1cc2OC(=O)C=C(C)c2cc1,training,0.0
O(C/C=C/1\OC(=O)CC\1)C=1c2c(OC(=O)C=1)cccc2,training,0.0
FC(F)(F)Oc1cc2/C(=C/3\C(O)=NC(=Nc4oc(-c5ccc(OC)cc5)nn4)S\3)/C(O)=Nc2cc1,training,0.0
S=C1SC(C(=O)OCC)=C(C(=O)OCC)c2sc(C(=O)OCC)c(C(=O)OCC)c12,training,0.0
Clc1ccc(C2N(c3ccc(S(=O)(=O)NC(O)=NC4CCCCC4)cc3)N=C3c4c(cccc4)CC23)cc1,training,0.0
Clc1ccc(-c2n(-c3ccc(S(=O)(=O)N)cc3)nc3-c4c(cccc4)Cc23)cc1,training,0.0
O=Cc1c(O)c(O)c(C(C)C)c2c1c(O)c(-c1c(O)c3c(C=O)c(O)c(O)c(C(C)C)c3cc1C)c(C)c2,training,0.0
FC(F)(F)c1[n+]([O-])c2c([n+]([O-])c1C(=O)C)cc(C)cc2,training,0.0
Clc1cc2[n+]([O-])c(C(=O)C)c(C(F)(F)F)[n+]([O-])c2cc1,training,0.0
O(C)c1c(OC)cc2c(C(=O)N(CCCN3CCNCCC3)C=3c4c(C(=O)C2=3)cc2OCOc2c4)c1,training,0.0
ClC=1C(=O)N(Cc2ccccc2)C(=O)C=1Nc1cc(C(O)=Nc2c(OC)ccc(OC)c2)ccc1,training,0.0
O=C(OC)C=1C(c2c(OC)c(OC)ccc2)C(C(=O)OC)=CN(CC=2C(=O)C=C(C)C(=O)C=2)C=1,training,0.0
O=C(OC)C=1C(c2c(OC)cccc2)C(C(=O)OC)=CN(CC=2C(=O)C=C(C)C(=O)C=2)C=1,training,0.0
Clc1c2c(Nc3c(C(=O)C)cc4OCOc4c3)c3c(nc2oc1)cccc3,training,0.0
Clc1c(Cn2c(-c3c(Cl)cccc3F)nc3c2cccc3)c(F)ccc1,training,0.0
O=C1O[C@@H](C)[C@@H]2O[C@H](/C=C/C)[C@H](O)C=C12,training,0.0
SC(=N)/C(/C#N)=C\c1cc2c(n(CC)c3c2cccc3)cc1,training,0.0
Cl/C(=C\C=C(/C(=O)OCC)\C#N)/c1ccc(Cl)cc1,training,0.0
Clc1ccc(/C(/Sc2sc3c(n2)cccc3)=C/C=C(C#N)C#N)cc1,training,0.0
S(CC(O)=N/N=C/c1sccc1)CC(O)=N/N=C/c1sccc1,training,0.0
O=[N+]([O-])c1cc(N=C2N=C(c3sccc3)Nc3c2cc(OC)c(OC)c3)ccc1,training,0.0
ClC=1C(C=O)C(c2ccccc2)n2c3c(nc2N=1)cccc3,training,0.0
Clc1ccc(C2=C(Cl)C(=O)OC2)cc1,training,0.0
O/N=C(/C)\c1cc(N=C2Nc3c(-c4[nH]c5c(c24)cccc5)cccc3)ccc1,training,0.0
O=C(OC)c1c(O)ccc2n(Cc3ccccc3)c3C(=O)c4c(C(=C)c3c12)cccc4,training,0.0
O=C(OC)c1c(O)ccc2n(CC)c3c(O)c4c(cc3c12)cccc4,training,0.0
O(C)c1c(O)ccc(/C=C(\C#N)/c2oc3c(n2)cccc3)c1,training,0.0
Brc1cc2C(C(C(=O)OCC)C#N)C(C(=O)OCC)=C(N)Oc2cc1,training,0.0
OC(C)(C)C1[C@H]2[C@@](C)(CC[C@@]3(C)[C@@]4(C)[C@@H]([C@]5(C)[C@H](C(C)(C)[C@@H](O)CC5)CC4)CC[C@H]23)CC1,training,0.0
Clc1c(Cl)cc2[n+]([O-])c(C)c(C(=O)OCC=C)[n+]([O-])c2c1,training,0.0
Brc1ccc(C(=O)CC=2C(=O)NC3C(N=2)CCCC3)cc1,training,0.0
O=C(O[C@@H]1[C@]2(C)[C@@H](C(CCC(O)=N)C)CCC2C2[C@H](OC(=O)C)C[C@H]3[C@@](C)(C2C1)CCC1(OOC2(OO1)CCC(C)CC2)C3)C,training,0.0
O=C(O)CCC(C)[C@@H]1[C@@]2(C)[C@@H](OC(=O)C)CC3[C@]4(C)[C@H](C[C@@H](OC(=O)C)C3C2CC1)CC1(OOC2(OO1)CCC(C)CC2)CC4,training,0.0
[Si](C#Cc1c(N)ccc(-c2sc3c(n2)cccc3)c1)(C)(C)C,training,0.0
[O-][n+]1c(/C(=N/Nc2sc3c(n2)cccc3)/C)cccc1,training,0.0
N(Nc1[nH]c2c(n1)cccc2)=C(c1ncccc1)c1ncccc1,training,0.0
P(=CC(=O)c1cc(-c2cc([N+](=O)[O-])ccc2)ccc1)(c1ccccc1)(c1ccccc1)c1ccccc1,training,0.0
C(=C\CCCN1O[C@@H](CCCCCCCCc2cnccc2)[C@@H]2[C@H]1CCC2)\CCCCCCCCCc1cnccc1,training,0.0
Cc1ccc(C2(N3CCCC3)OC(C)(C)c3c4c(ccc3)cccc24)cc1,training,0.0
Clc1c(Oc2ccc(OCC=3N(c4c(Cl)cc(Oc5ccc(Cl)cc5)cc4)C(=O)c4c(N=3)ccc(S(=O)(=O)O)c4)cc2)ccc(Cl)c1,training,0.0
[P+](CC[P+]1([B-])[C@@H](C)[C@@H](O)[C@H](O)[C@@H]1C)([B-])(c1c(OC)cccc1)c1ccccc1,training,0.0
Oc1c(CNc2ccccc2)cc(O)cc1,training,0.0
SC=1N(c2ccccc2)C(=O)c2c(sc3c2-c2c(ccc([N+](=O)[O-])c2)CCC3)N=1,training,0.0
Clc1c(COc2c(/C=N/c3c(-c4occc4)nc4n3C=CC=C4)cccc2)ccc(Cl)c1,training,0.0
Clc1ccc(Cn2c3c(c(/C=N/n4cnnc4)c2)cccc3)cc1,training,0.0
S(CC(O)=N/N=C/c1c(OCc2ccccc2)cccc1)c1ncccn1,training,0.0
S(C)c1nc2sc3C(=O)C(C(=O)OCC)C(=O)N4c3c2c(N(CCCC)C4)n1,training,0.0
Clc1c(/C=C/2\C(O)=Nc3c\2cccc3)c2c([nH]1)cc(C)c(O)c2,training,0.0
FC(F)(F)c1c(N)ccc(-c2sc3c(n2)cccc3)c1,training,0.0
O=C(O[C@H]1[C@]2(c3ccccc3)[C@@](C(=O)c3ccccc3)(C(=O)C(=O)S2)C1)C,training,0.0
P(=O)(OC)(OC)CC(=O)C1C(OCc2ccccc2)C(OCc2ccccc2)C(OCc2ccccc2)C(OC)O1,training,0.0
O=C(N1C=CC(C(=O)OCC)(Cc2ccccc2)C=C1)c1ccccc1,training,0.0
O(C)c1ccc(/C=C\2/C(=N\O)/[C@]3(C)[C@H]([C@H]4[C@@H]([C@]5(C)C(=C/C(=N/O)/CC5)CC4)CC3)C/2)cc1,training,0.0
O/N=C/1\C(=C\c2ccncc2)\C[C@@H]2[C@]\1(C)CC[C@@H]1[C@]3(C)C(=C[C@@H](O)CC3)CC[C@@H]21,training,0.0
ClCc1cc2c(OC(=O)C(C(=O)OC3CN(C)CCC3)=C2)cc1,training,0.0
Oc1c(/C=N/c2ccc(-c3sc4c(n3)cccc4)cc2)cccc1,training,0.0
Clc1ccc(C(O)CC(c2ccc(Cl)cc2)c2ccccc2)cc1,training,0.0
S(C(C)(C)C)C=1[C@H]2[C@H]([C@H](P(=O)(c3ccccc3)c3ccccc3)CCC=1)CCC2,training,0.0
OC(=NCCCN(CCCN=C(O)c1nn(-c2ccccc2)c2c1ccc1c2cccc1)C)c1nn(-c2ccccc2)c2c1ccc1c2cccc1,training,0.0
Ic1cc2C(=O)N(Cc3ccccc3)C(Sc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3)=Nc2cc1,training,0.0
S(=O)(=O)(N1[C@@H](c2occc2)[C@@H]2N(S(=O)(=O)c3ccc(C)cc3)C[C@H]3[C@@H]2[C@]1(C(=O)OC)CC3)c1ccc(C)cc1,training,0.0
O(C)C=1C(=O)C=2[C@@H]3[C@H]([C@H]4[C@@](C)(C(=O)CC4)CC3)CCC=2C(=O)C=1,training,0.0
Clc1cc2nc(Cc3ccc(Cl)cc3)oc2cc1,training,0.0
O=[N+]([O-])c1c(N(CCO)CCO)c([N+](=O)[O-])cc2nc(O)[nH]c12,training,0.0
S(=O)(=O)(N)c1ccc(NC(O)=N/N=C/c2c([N+](=O)[O-])cccc2)cc1,training,0.0
O=[N+]([O-])c1ccc(/C=N/N=C(O)Nc2ccc(C(=O)O)cc2)cc1,training,0.0
FC(F)(F)C(OC)(N=C(O)N(C=1SC(C)CN=1)C1CCCCC1)C(=O)OCC,training,0.0
Clc1ccc(N2C(=O)CS(=O)(=O)C2c2cc(Oc3ccccc3)ccc2)cc1,training,0.0
O(C)c1c(N2C(=O)CSC2c2cc(Oc3ccccc3)ccc2)cccc1,training,0.0
S=C(OC12CC3CC(C1)CC(C2)C3)N(C(=O)c1occc1)c1ccccc1,training,0.0
O=C(OC(CN1C(=O)c2c(C)cc(C)nc2S1)CN1CCN(c2ncccc2)CC1)C,training,0.0
O(C)c1c(OC)ccc(/C=C\2/C(=O)[C@]3(C)C(C4C([C@]5(C)C(=CC4)C[C@@H](O)CC5)CC3)C/2)c1,training,0.0
S(C(=N)N)CCN1C(=O)c2c(C)n(c(C)c2C1=O)-c1ccccc1,training,0.0
S(=O)(=O)(C(S(=O)(=O)c1ccccc1)=CCCC(=O)c1ccccc1)c1ccccc1,training,0.0
Clc1c(F)cc(c(Cl)c1)C=1/C(=C/c2cc3OCOc3cc2)/Sc2n(c(C)nn2)N=1,training,0.0
O=C(OC)[C@]12[C@H]([C@H]3C(=O)C=C4[C@]5(C)[C@H](C(C)(C)C(=O)C(C#N)=C5)CC[C@@]4(C)[C@]3(C)CC1)CC(C)(C)CC2,training,0.0
O=C(OCC1C(OC(=O)C)C(OC(=O)C)C(OC(=O)C)C(N2C(=O)/C(=C\c3ccc(OC)cc3)/C(=N)Nc3c2cccc3)O1)C,training,0.0
FC(F)(F)C(=O)c1c2c(c3NC4(N=C(C(F)(F)F)c3c1)CCCCC4)cccc2,training,0.0
Clc1n(-c2ccccc2)c2c(c1/C=C\1/C(O)=Nc3c/1cccc3)cccc2,training,0.0
S(c1ccc(OC)cc1)C1(C(=C)C)CC1,training,0.0
Brc1sc(Br)c2C(=O)C(=CN(C)C)C(=O)c12,training,0.0
O(CC1=Nc2c(-n3c1ccc3)cccc2)c1cc(OC)c(OC)c(OC)c1,training,0.0
Clc1ccc(S(=O)(=O)c2c(N=C(O)c3c(F)cc(F)cc3)scc2)cc1,training,0.0
Ic1c(N)ccc(-c2sc3c(n2)cc(F)cc3)c1,training,0.0
Clc1ccc(C2=NN=C3C(c4ccccc4)=Nc4c(N3C2)cccc4)cc1,training,0.0
O(CCN1CCOCC1)c1ccc(N2C(=C)c3n(c4c(n3)cccc4)C=C2c2ccc(OC)cc2)cc1,training,0.0
Brc1cc2c(N3C(=S)SCN(C)C3)c3c(nc2cc1)cccc3,training,0.0
O=C(OCC)N(CCC1C(c2c(OC)c(OC)ccc2)C(=O)C=CC1)C,training,0.0
O(C)c1c(OC)c-2c(C(=O)C(=O)c3c-2ccc(OC)c3)cc1O,training,0.0
O=[N+]([O-])c1c2N(CCCN(C)C)c3c(cccc3)CCc2ccc1,training,0.0
BrCC(=O)Nc1ccc(C(O)=NC(O)=N)cc1,training,0.0
BrCC(O)=Nc1cc(C(O)=NC(O)=N)ccc1,training,0.0
S(=O)(=O)(OCC1(C)COS(=O)(=O)OC1)OCC1(C)COS(=O)(=O)OC1,training,0.0
O=C(C)C1=CC=2Sc3c(N(CCN4CCN(CCOC(OC)(C)C)CC4)C=2C1)cccc3,training,0.0
Clc1c(Oc2c(Cl)cc([N+](=O)[O-])cc2)c(Cl)cc(S(=O)(=O)NC(=NO)Nc2ccc(Cl)cc2)c1,training,0.0
Clc1c(Oc2ccc([N+](=O)[O-])cc2)c(Cl)cc(S(=O)(=O)NC(=NO)Nc2ccc(Cl)cc2)c1,training,0.0
Clc1cc2c(C)c(S(=O)(=O)NC(=NN)Nc3ccc(Cl)cc3)sc2cc1,training,0.0
N(N1C(=N)c2c(Cc3ccccc3)c(C)[nH]c2N=C1)c1ccccc1,training,0.0
Brc1cc2c(-c3scc(-c4c5c([nH]c4)ccc(Br)c5)n3)c[nH]c2cc1,training,0.0
O=C(OC)[C@@H]1[C@H](c2c(OC)cccc2)C[C@@H]2[C@@H](C(=O)OC)[C@@]1(O)C(C(=O)OC)C(O)=C2C(=O)OC,training,0.0
S=C1N(N=C(O)C(Oc2c(C)cccc2)C)C(=O)CC(=O)N1c1ccccc1,training,0.0
Clc1c(OC(C(O)=NN2C(=S)N(c3ccc(Cl)cc3)C(=O)CC2=O)C)cccc1,training,0.0
O(C)c1ccc(CCCCNCc2cc(CNCCCCc3ccc(OC)cc3)ccc2)cc1,training,0.0
NC1=NN=C2Oc3c(c4c(cc3)cccc4)C=C12,training,0.0
