smiles,group,CYP2C9-sub
N(CCCN(c1ccccc1)C1Cc2c(cccc2)C1)(CC)CC,training,0.0
O=[N+]([O-])c1c([C@H]2C(C(=O)OCC(=O)C)=C(C)NC(C)=C2C(=O)OC)cccc1,training,0.0
S(=O)(=O)(N[C@H](C(=O)N1[C@@H](C(=O)O)C[C@@H](C)CC1)CCCN=C(N)N)c1cc2c(NC[C@H](C)C2)cc1,training,0.0
Clc1c(Cl)cccc1N1CCN(CCCCOc2cc3NC(=O)CCc3cc2)CC1,training,0.0
O=C1[C@H](C)[C@H]2[C@@]34OO[C@@](C)(O[C@H]3O1)CC[C@H]4[C@H](C)CC2,training,0.0
O=C(O[C@@H]1[C@H](C)[C@H]2[C@@]34OO[C@@](C)(O[C@H]3O1)CC[C@H]4[C@H](C)CC2)CCC(=O)O,training,0.0
O=C(OC)N[C@@H](C(=O)NN(C[C@@H](O)[C@@H](NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccccc1)Cc1ccc(-c2ncccc2)cc1)C(C)(C)C,training,0.0
Clc1ccc(C2CCC(C=3C(=O)C(=O)c4c(C=3O)cccc4)CC2)cc1,training,0.0
S(=O)(=O)(NC)Cc1cc2c(CCCN3CCN(c4c(OC)cncn4)CC3)c[nH]c2cc1,training,0.0
S(CC(=O)O[C@H]1[C@]2(C)[C@@H](C)CC[C@]3([C@@H](C)[C@H](O)[C@@](CC)(C)C1)[C@H]2C(=O)CC3)c1nc(N)[nH]n1,training,0.0
CN1CCC(=C2c3ncccc3CCc3c2cccc3)CC1,training,0.0
Clc1ccc(CC2=NN([C@@H]3CCN(C)CCC3)C(=O)c3c2cccc3)cc1,training,0.0
Clc1ccc(-c2oc(/C=N\N3C(=O)N(CCCCN4CCN(C)CC4)C(=O)C3)cc2)cc1,training,0.0
O([C@@H]1[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@](OC)(C)C2)[C@@H](C)C(=O)O[C@H](CC)[C@](O)(C)[C@H](O)[C@@H](C)N(C)C[C@H](C)C[C@]1(O)C)[C@H]1[C@H](O)[C@@H](N(C)C)C[C@@H](C)O1,training,0.0
O=[N+]([O-])c1cc([C@H]2C(C(=O)OC)=C(C)NC(C)=C2C(=O)O[C@@H]2CN(Cc3ccccc3)CC2)ccc1,training,0.0
Cl[C@]12[C@@H](O)C[C@]3(C)[C@@](O)(C(=O)CO)[C@@H](C)C[C@H]3[C@@H]1CCC=1[C@]2(C)C=CC(=O)C=1,training,0.0
O=[N+]([O-])c1cc([C@@H]2C(C(=O)OC)=C(C)NC(C)=C2C(=O)O[C@H]2CN(Cc3ccccc3)CCC2)ccc1,training,0.0
N([C@H](Cc1ccccc1)C)(Cc1ccccc1)C,training,0.0
O(CCCN(C)C)c1nn(Cc2ccccc2)c2c1cccc2,training,0.0
O(C[C@@H](CN(Cc1ccccc1)c1ccccc1)N1CCCC1)CC(C)C,training,0.0
F[C@]12[C@@H](O)C[C@]3(C)[C@@](O)(C(=O)CO)[C@@H](C)C[C@H]3[C@@H]1CCC=1[C@]2(C)C=CC(=O)C=1,training,0.0
O(CCc1ccc(OC[C@@H](O)CNC(C)C)cc1)CC1CC1,training,0.0
Clc1ccc(C(=O)NCCc2ccc(OC(C(=O)O)(C)C)cc2)cc1,training,0.0
[C@H](n1cncc1)(c1ccc(-c2ccccc2)cc1)c1ccccc1,training,0.0
O[C@](CCN1CCCCC1)([C@H]1[C@H]2C=C[C@@H](C1)C2)c1ccccc1,training,0.0
Brc1c(O)c(Br)cc(C(=O)c2c(CC)oc3c2cccc3)c1,training,0.0
O=C1C=C2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)([C@@H](O)CC4)CC3)CC2)C=C1,training,0.0
S(=O)(=O)(N)c1sc2S(=O)(=O)N(CCCOC)C[C@H](NCC)c2c1,training,0.0
Brc1c2oc(C3CCNCC3)cc2cc(OC)c1,training,0.0
Brc1cc2C(c3ncccc3)=NCC(=O)Nc2cc1,training,0.0
Brc1[nH]c2c3c(ccc2)C=2[C@H](N(C)C[C@H](C(=O)N[C@@]4(C(C)C)C(=O)N5[C@@H](CC(C)C)C(=O)N6[C@H]([C@]5(O)O4)CCC6)C=2)Cc13,training,0.0
Brc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,training,0.0
BrC=1C(=O)N=C(N)NC=1c1ccccc1,training,0.0
Brc1sc2-n3c(C)nnc3CN=C(c3c(Cl)cccc3)c2c1,training,0.0
C(C)(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,training,0.0
O(C[C@@H](O)CNC(C)(C)C)c1c(C#N)cccc1,training,0.0
Clc1c(OC[C@@H](O)CNC(C)(C)C)cc(C)cc1,training,0.0
O(C)[C@]12[C@@H]([C@](O)(C(C)(C)C)C)C[C@@]3([C@@H]4N(CC5CC5)CC[C@@]53[C@@H]1Oc1c(O)ccc(c51)C4)CC2,training,0.0
O=C1N(CCCCN2CCN(c3ncccn3)CC2)C(=O)CC2(C1)CCCC2,training,0.0
S(=O)(=O)(OCCCCOS(=O)(=O)C)C,training,0.0
Clc1cc(Cl)cc(Sc2n(Cc3ccncc3)c(COC(=O)N)nc2C(C)C)c1,training,0.0
S=C1N(C(=O)OCC)C=CN1C,training,0.0
O=C(OC[C@](COC(=O)N)(CCC)C)NC(C)C,training,0.0
O(C[C@@H](O)CNC(C)(C)C)c1c2c(NC(=O)CC2)ccc1,training,0.0
O=C([C@@H](N)C)c1ccccc1,training,0.0
Fc1ccc(-c2c(/C=C\[C@@H](O)C[C@@H](O)CC(=O)O)c(C(C)C)nc(C(C)C)c2COC)cc1,training,0.0
Clc1ccc([C@H](N2CCN(CCOCC(=O)O)CC2)c2ccccc2)cc1,training,0.0
C[C@@H]1SC[C@]2(O1)C1CCN(C2)CC1,training,0.0
Clc1cc2nccc(N[C@H](CCCN(CC)CC)C)c2cc1,training,0.0
Clc1ccc([C@@H](CCN(C)C)c2ncccc2)cc1,training,0.0
ClC(Cl)(Cl)C(O)O,training,0.0
O[C@@H]1C/C(=C/C=C\2/[C@H]3[C@@](C)([C@@H]([C@@H](CCCC(C)C)C)CC3)CCC/2)/C(=C)CC1,training,0.0
O=[N+]([O-])c1cc([C@@H]2C(C(=O)OC/C=C/c3ccccc3)=C(C)NC(C)=C2C(=O)OCCOC)ccc1,training,0.0
S(CCN/C(=N/C#N)/NC)Cc1c(C)[nH]cn1,training,0.0
Fc1c(N2CCNCC2)cc2N(C3CC3)C=C(C(=O)O)C(=O)c2c1,training,0.0
ClC1(Cl)[C@H](c2ccc(OC(C(=O)O)(C)C)cc2)C1,training,0.0
Clc1cc2C(=[N+]([O-])CC(NC)=Nc2cc1)c1ccccc1,training,0.0
Cl[C@H]([C@@H](NC(=O)[C@@H]1N(C)C[C@H](CCC)C1)[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@@H](SC)O1)C,training,0.0
Clc1ccc(NC=2/C(=N\C(C)C)/C=C3N(c4ccc(Cl)cc4)c4c(N=C3C=2)cccc4)cc1,training,0.0
Clc1ccc(OC(C(=O)O)(C)C)cc1,training,0.0
Clc1ccc(OC(C(=O)OCC)(C)C)cc1,training,0.0
ClCCc1c(C)ncs1,training,0.0
Clc1c(C2=NCC(=O)Nc3c2cc([N+](=O)[O-])cc3)cccc1,training,0.0
Clc1cc2/C(=C\CCN3CCN(CCO)CC3)/c3c(Sc2cc1)cccc3,training,0.0
Clc1c(C(n2cncc2)(c2ccccc2)c2ccccc2)cccc1,training,0.0
O=C(OC)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@H]2N(C)[C@@H]1CC2,training,0.0
O(C)c1c2O[C@H]3[C@@H](O)C=C[C@H]4[C@@H]5N(C)CC[C@]34c2c(cc1)C5,training,0.0
O=C(N[C@@H]1C=2C(c3c(OC)c(OC)c(OC)cc3CC1)=CC=C(OC)C(=O)C=2)C,training,0.0
O=C(CO)[C@@H]1[C@]2(C)[C@H]([C@H]3[C@H]([C@@H](O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1,training,0.0
O=C(CO)[C@]1(O)[C@]2(C)[C@H]([C@H]3[C@H](C(=O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1,training,0.0
O=C1N(C)[C@H](c2cnccc2)CC1,training,0.0
O=C1Oc2c(cccc2)C=C1,training,0.0
N(CCC=C1c2c(cccc2)C=Cc2c1cccc2)(C)C,training,0.0
ClC=1C=2[C@](C)([C@@H]3[C@H](C(=O)C=2)C3)[C@@H]2[C@H]([C@H]3[C@@](C)([C@@](O)(C(=O)C)CC3)CC2)C=1,training,0.0
O=C(N)c1c(/N=N\N(C)C)[nH]cn1,training,0.0
S(=O)(=O)(CCN(CC)CC)[C@H]1[C@@H]2C(=O)O[C@H](C(C)C)[C@H](C)C=CC(=O)NCC=CC(C)=C[C@@H](O)CC(=O)Cc3occ(C(=O)N2CC1)n3,training,0.0
O=C(C)[C@@]1(O)C[C@H](O[C@@H]2O[C@@H](C)[C@@H](O)[C@@H](N)C2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1,training,0.0
O=C(O)c1ccc(OCCn2cncc2)cc1,training,0.0
O=C(OCC)[C@@H](N[C@H](C(=O)N(CC(=O)O)C1Cc2c(cccc2)C1)C)CCc1ccccc1,training,0.0
N(CCCN1c2c(cccc2)CCc2c1cccc2)C,training,0.0
F[C@]12[C@@H](O)C[C@]3(C)[C@@](O)(C(=O)CO)[C@H](C)C[C@H]3[C@@H]1CCC=1[C@]2(C)C=CC(=O)C=1,training,0.0
[C@H](C)(c1c(C)c(C)ccc1)c1nc[nH]c1,training,0.0
ClC1(Cl)[C@]2(Cl)C(Cl)=C(Cl)[C@@]1(Cl)[C@@H]1[C@H]2[C@H]2[C@@H]3O[C@@H]3[C@@H]1C2,training,0.0
Oc1ccc(/C(=C(/CC)\c2ccc(O)cc2)/CC)cc1,training,0.0
O([C@@H]1[C@@H](C)O[C@@H](O[C@@H]2C[C@@H]3[C@@](C)([C@@H]4[C@H]([C@]5(O)[C@@](C)([C@@H](C6=CC(=O)OC6)CC5)CC4)CC3)CC2)C[C@@H]1O)[C@@H]1O[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@@H](O)C2)[C@@H](O)C1,training,0.0
O([C@@H]1[C@@H](C)O[C@@H](O[C@@H]2C[C@@H]3[C@@](C)([C@@H]4[C@H]([C@]5(O)[C@](C)([C@H](O)C4)[C@@H](C4=CC(=O)OC4)CC5)CC3)CC2)C[C@@H]1O)[C@@H]1O[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@@H](O)C2)[C@@H](O)C1,training,0.0
N(N)c1nnc(NN)c2c1cccc2,training,0.0
O(C[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@H](Oc2cc(O)c3C(=O)C=C(c4cc(O)c(OC)cc4)Oc3c2)O1)[C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1,training,0.0
O=C(CCc1ccccc1)c1c(OC[C@@H](O)CNC(CC)(C)C)cccc1,training,0.0
Clc1c(S(=O)(=O)N)cc(S(=O)(=O)N)c(C)c1,training,0.0
S(SC(=S)N(CC)CC)C(=S)N(CC)CC,training,0.0
[SH0](=O)(C)C,training,0.0
S(=O)(=O)(Nc1ccc(OCCN(CCc2ccc(NS(=O)(=O)C)cc2)C)cc1)C,training,0.0
Clc1cc2NC(=O)N(C3CCN(CCCN4C(=O)Nc5c4cccc5)CC3)c2cc1,training,0.0
O(C)c1c(OC)cc2c(C(=O)[C@H](CC3CCN(Cc4ccccc4)CC3)C2)c1,training,0.0
O=C(CO)[C@@]1(O)C[C@H](O[C@@H]2O[C@@H](C)[C@@H](O)[C@@H](N)C2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1,training,0.0
O=C(N)C=1C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@H](C)[C@H]3[C@H](O)[C@H]2[C@H](N(C)C)C=1O,training,0.0
FC(F)(F)c1c(NC(=O)[C@@H]2[C@]3(C)[C@H]([C@H]4[C@@H]([C@]5(C)[C@H](NC(=O)C=C5)CC4)CC3)CC2)cc(C(F)(F)F)cc1,training,0.0
O=C(CCCN1CCC(OC(c2ccccc2)c2ccccc2)CC1)c1ccc(C(C)(C)C)cc1,training,0.0
Brc1ccc(S(=O)(=O)N/C=N/CCSCc2nc(N=C(N)N)sc2)cc1,training,0.0
O=C(NCCc1cc(OC)c(OC)cc1)CNc1cc(C(=O)NC)ccc1,training,0.0
Clc1c([C@@H](OCc2ccc(Cl)cc2)Cn2cncc2)ccc(Cl)c1,training,0.0
O=[N+]([O-])c1cc([C@H]2C(C(=O)OCCN(Cc3ccccc3)c3ccccc3)=C(C)NC(C)=C2P2(=O)OCC(C)(C)CO2)ccc1,training,0.0
O(CC)CN1C(Cc2ccccc2)=C(C(C)C)C(=O)NC1=O,training,0.0
O=C(Nc1c(CC[C@@H]2N(C)CCCC2)cccc1)c1ccc(OC)cc1,training,0.0
Fc1c(N2CCNCC2)nc2N(CC)C=C(C(=O)O)C(=O)c2c1,training,0.0
O=[N+]([O-])c1c(O)c(O)cc(/C=C(\C(=O)N(CC)CC)/C#N)c1,training,0.0
NC=1N2[C@@H](c3c(cccc3)Cc3c2cccc3)CN=1,training,0.0
O[C@@H](CNC)c1cc(O)c(O)cc1,training,0.0
O=C(OC)[C@H]1[C@H]2[C@H]3[C@@](C)([C@@]4(OC(=O)CC4)CC3)C[C@H]3O[C@@]23[C@]2(C)C(=CC(=O)CC2)C1,training,0.0
O=C(O)/C(=C\c1n(Cc2ccc(C(=O)O)cc2)c(CCCC)nc1)/Cc1sccc1,training,0.0
O=C(N[C@@H](CO)C)[C@@H]1C=C2[C@H](N(C)C1)Cc1c3c([nH]c1)cccc23,training,0.0
O=C(N[C@@]1(C)C(=O)N2[C@@H](Cc3ccccc3)C(=O)N3[C@H]([C@]2(O)O1)CCC3)[C@@H]1C=C2[C@H](N(C)C1)Cc1c3c([nH]c1)cccc23,training,0.0
O([C@@H]1[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@](OC)(C)C2)[C@@H](C)C(=O)O[C@H](CC)[C@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@]1(O)C)[C@H]1[C@H](O)[C@@H](N(C)C)C[C@@H](C)O1,training,0.0
C(C)c1ccccc1,training,0.0
O=C1[C@@](CC)(C)CC(=O)N1,training,0.0
O=C1N(CC)C(=O)N[C@@H]1c1ccccc1,training,0.0
O(CC)c1c2O[C@H]3[C@@H](O)C=C[C@H]4[C@@H]5N(C)CC[C@]34c2c(cc1)C5,training,0.0
O=C(OCC)c1n([C@H](C)c2ccccc2)cnc1,training,0.0
O=C1C=C2[C@@H]([C@H]3C(=C)C[C@]4(CC)[C@](O)(C#C)CC[C@H]4[C@@H]3CC2)CC1,training,0.0
O([C@H]1[C@H](O)[C@@H](O)[C@@H]2O[C@H](C)OC[C@H]2O1)[C@H]1[C@@H]2[C@@H]([C@H](c3cc(OC)c(O)c(OC)c3)c3c1cc1OCOc1c3)C(=O)OC2,training,0.0
O(C)c1c(CN[C@@H]2[C@H](C(c3ccccc3)c3ccccc3)N3CCC2CC3)cc(C(C)C)cc1,training,0.0
S(=O)(=O)(/N=C(/N)\CCSCc1nc(N=C(N)N)sc1)N,training,0.0
O=C(OCC(COC(=O)N)c1ccccc1)N,training,0.0
Clc1c(Cl)cccc1[C@@H]1C(C(=O)OCC)=C(C)NC(C)=C1C(=O)OC,training,0.0
FC(F)(F)c1cc(C[C@H](NCC)C)ccc1,training,0.0
Clc1ccc(C(=O)c2ccc(OC(C(=O)OC(C)C)(C)C)cc2)cc1,training,0.0
O=C(O)C(C)(C)c1ccc([C@@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,training,0.0
O=C(NC(C)(C)C)[C@@H]1[C@]2(C)[C@H]([C@H]3[C@@H]([C@]4(C)[C@H](NC(=O)C=C4)CC3)CC2)CC1,training,0.0
FC(F)(F)COc1c(C(=O)NC[C@@H]2NCCCC2)cc(OCC(F)(F)F)cc1,training,0.0
[SH0](=O)(C)C=1C(=O)c2c(N(C)C=1)cc(F)cc2,training,0.0
FC(F)(F)c1cc(Nc2c(C(=O)O)cccc2)ccc1,training,0.0
Fc1c2O[C@@H]3[C@@H](Oc2ccc1)CNC3,training,0.0
Fc1cc2N=C(N3CCN(C)CC3)c3c(cccc3)Cc2cc1,training,0.0
FC(F)(F)c1cc2N(CCCN3CCN(CCO)CC3)c3c(Sc2cc1)cccc3,training,0.0
FC=1C(=O)NC(=O)NC=1,training,0.0
F[C@]1(C)C(=O)[C@H](C)[C@@H](O)[C@@](O)(C)[C@@H](CC)OC(=O)[C@H](C)[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@](OC)(C)C2)[C@H](C)[C@@H](O[C@H]2[C@H](O)[C@@H](N(C)C)C[C@@H](C)O2)[C@@](O)(C)C1,training,0.0
S(C(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@@H]2[C@]1(C)C[C@H](O)[C@]1(F)[C@]3(C)C([C@@H](F)C[C@@H]21)=CC(=O)C=C3)CF,training,0.0
FC(F)(F)c1ccc(/C(=N\OCCN)/CCCCOC)cc1,training,0.0
O=C(N)c1cc2c([nH]c3c2C[C@H](NC)CC3)cc1,training,0.0
O=C1N(C)C(=O)c2[nH]c(C)nc2N1Cc1occc1,training,0.0
O(C)c1c2O[C@@H]3[C@]4(c2c(cc1)CN(C)CC4)C=C[C@H](O)C3,training,0.0
O(C)c1c(OC)cc([C@@](C#N)(C(C)C)CCCN(CCc2cc(OC)c(OC)cc2)C)cc1OC,training,0.0
O=C(C)[C@@H]1[C@]2(C)[C@H]([C@H]3[C@@H]([C@]4(C)[C@H](C[C@@](O)(C)CC4)CC3)CC2)CC1,training,0.0
Fc1c(N2C[C@H](C)NCC2)c(OC)c2N(C3CC3)C=C(C(=O)O)C(=O)c2c1,training,0.0
O=C(O)C(CCCOc1c(C)ccc(C)c1)(C)C,training,0.0
O=C1N(CCCCN2CCN(c3ncccn3)CC2)C(=O)CC(C)(C)C1,training,0.0
O=C(NC1C[C@@H]2N(C)[C@H](C1)CCC2)c1nn(C)c2c1cccc2,training,0.0
Fc1c(C)c2C(=O)C(C(=O)O)=CN(C3CC3)c2cc1N1C[C@@H](C)NCC1,training,0.0
Clc1c(OC)cc(OC)c2C(=O)[C@@]3([C@H](C)CC(=O)C=C3OC)Oc12,training,0.0
Clc1c(/C=N\NC(=N)N)c(Cl)ccc1,training,0.0
N(N)c1nncc2c1cccc2,training,0.0
Clc1ccc([C@H](N2CCN(C)CCC2)c2ccccc2)cc1,training,0.0
Clc1cc2nccc(N[C@H](CCCN(CCO)CC)C)c2cc1,training,0.0
O(C)c1cc2c([C@H](O)[C@@H]3N4C[C@H](CC)[C@H](C3)CC4)ccnc2cc1,training,0.0
O(C)c1c2O[C@H]3C(=O)CC[C@H]4[C@@H]5N(C)CC[C@]34c2c(cc1)C5,training,0.0
O=C(CO)[C@]1(O)[C@]2(C)[C@H]([C@H]3[C@H]([C@@H](O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1,training,0.0
Clc1ccc([C@H](N2CCN(CCOCCO)CC2)c2ccccc2)cc1,training,0.0
Fc1cc2onc(C3CCN(CCCOc4c(OC)cc(C(=O)C)cc4)CC3)c2cc1,training,0.0
O=C(NC1CCN(CCc2c3c([nH]c2)cccc3)CC1)c1ccccc1,training,0.0
O=C(Oc1cc2c(CC)c3c(nc2cc1)C=1N(C(=O)C2=C([C@@](O)(CC)C(=O)OC2)C=1)C3)N1CCC(N2CCCCC2)CC1,training,0.0
O=C(O)CCCC/C=C(/c1cnccc1)\c1ccccc1,training,0.0
Clc1c([C@H](OCc2c(Cl)cccc2Cl)Cn2cncc2)ccc(Cl)c1,training,0.0
Cl[C@H](OC(F)F)C(F)(F)F,training,0.0
O=C(NN)c1ccncc1,training,0.0
O=[N+](O[C@H]1[C@H]2OC[C@H](O[N+](=O)[O-])[C@H]2OC1)[O-],training,0.0
O=C(OC(C)C)C=1[C@@H](c2c3nonc3ccc2)C(C(=O)OC)=C(C)NC=1C,training,0.0
O=C(O[C@H]1[C@H](C)O[C@@H](O[C@H]2[C@H](N(C)C)[C@@H](O)[C@H](O[C@@H]3[C@@H](OC)[C@H](OC(=O)C)CC(=O)O[C@H](C)CC=CC=C[C@H](O)[C@H](C)C[C@@H]3CC=O)O[C@@H]2C)C[C@]1(O)C)CC(C)C,training,0.0
Clc1c([C@]2(Cn3cncc3)O[C@@H](COc3ccc(N4CCN(C(=O)C)CC4)cc3)CO2)ccc(Cl)c1,training,0.0
O=C(O)[C@H](C)c1cc(C(=O)c2ccccc2)ccc1,training,0.0
O=C(N)c1c(O)ccc([C@@H](O)CN[C@H](CCc2ccccc2)C)c1,training,0.0
O=C(OC(C)(C)C)/C=C\c1c(C2C(C(=O)OCC)=C(C)NC(C)=C2C(=O)OCC)cccc1,training,0.0
O=[N+]([O-])c1cc([C@@H]2C(C(OC(CN(CCC(c3ccccc3)c3ccccc3)C)(C)C)=O)=C(C)NC(C)=C2C(=O)OC)ccc1,training,0.0
N#Cc1ccc(C(n2ncnc2)c2ccc(C#N)cc2)cc1,training,0.0
O=C1C=C2C(=C3[C@@H](c4ccc(N(C)C)cc4)C[C@]4(C)[C@](O)(/C=C/CO)CC[C@H]4[C@@H]3CC2)CC1,training,0.0
Fc1c(N2CCOCC2)ccc(N2C(=O)O[C@@H](CNC(=O)C)C2)c1,training,0.0
Ic1c(Oc2cc(I)c(O)cc2)c(I)cc(C[C@H](N)C(=O)O)c1,training,0.0
O=C1N(CCCC[C@H](O)C)C(=O)c2n(C)cnc2N1C,training,0.0
O=C(N(CC)CC)N[C@H]1C=C2[C@H](N(C)C1)Cc1c3c([nH]c1)cccc23,training,0.0
O(Cc1cc2c(cc1)cccc2)C1CCNCC1,training,0.0
O=C(C[C@@H]1N(C)[C@H](C[C@H](O)c2ccccc2)CCC1)c1ccccc1,training,0.0
Fc1c(N2C[C@@H](C)NCC2)c(F)cc2C(=O)C(C(=O)O)=CN(CC)c12,training,0.0
ClCCN(N=O)C(=O)NC1CCCCC1,training,0.0
O=C(N[C@H](C[C@H](O)[C@@H](NC(=O)COc1c(C)cccc1C)Cc1ccccc1)Cc1ccccc1)[C@H](C(C)C)N1C(=O)NCCC1,training,0.0
Clc1cc([C@H](O)CN(CCCC)CCCC)c-2c(/C(=C/c3ccc(Cl)cc3)/c3c-2ccc(Cl)c3)c1,training,0.0
S=P(S[C@@H](C(=O)OCC)CC(=O)OCC)(OC)OC,training,0.0
O=[N+]([O-])c1cc([C@@H]2C(C(=O)OCCN3CCN(C(c4ccccc4)c4ccccc4)CC3)=C(C)NC(C)=C2C(=O)OC)ccc1,training,0.0
N(CCCC12c3c(cccc3)C(c3c1cccc3)CC2)C,training,0.0
O=C(OC)Nc1[nH]c2c(n1)cc(C(=O)c1ccccc1)cc2,training,0.0
Clc1cc2C(c3ccccc3)=NCCN(C)c2cc1,training,0.0
O(C(Oc1ccccc1)CN(C)C)c1ccccc1,training,0.0
O=C(C)[C@]1(O)[C@]2(C)[C@H]([C@H]3[C@@H]([C@]4(C)C([C@@H](C)C3)=CC(=O)CC4)CC2)CC1,training,0.0
FC(F)(F)c1nc2c(C(F)(F)F)cccc2c([C@H](O)[C@@H]2NCCCC2)c1,training,0.0
O=C(OCC)C1(c2ccccc2)CCN(C)CC1,training,0.0
O=C(OC)[C@@H]([C@@H]1NCCCC1)c1ccccc1,training,0.0
O=C1N(C)C(=O)NC(=O)[C@]1(CC)c1ccccc1,training,0.0
O=C(CO)[C@]1(O)[C@]2(C)[C@H]([C@H]3[C@H]([C@@H](O)C2)[C@]2(C)C([C@@H](C)C3)=CC(=O)C=C2)CC1,training,0.0
C(N1c2c(Sc3c1cccc3)cccc2)[C@@H]1C2CCN(C1)CC2,training,0.0
N([C@H](Cc1ccccc1)C)C,training,0.0
O=C1N(c2c(C)cccc2)C(C)=Nc2c1cccc2,training,0.0
Sc1n(C)ccn1,training,0.0
S(/C(=N/OC(=O)NC)/C)C,training,0.0
O(C)c1c2occc2cc2c1OC(=O)C=C2,training,0.0
Clc1c(N)cc(OC)c(C(=O)NCCN(CC)CC)c1,training,0.0
O(CCc1ccc(OC[C@@H](O)CNC(C)C)cc1)C,training,0.0
O=C(C(C)(C)c1cnccc1)c1cnccc1,training,0.0
O=C(O[C@@H]1[C@@H]2[C@@H](CC[C@H]3OC(=O)C[C@H](O)C3)[C@@H](C)C=CC2=CCC1)[C@H](CC)C,training,0.0
Clc1c([C@]23OC[C@@H](C)N2CC(=O)Nc2c3cc(Cl)cc2)cccc1,training,0.0
Fc1cc2c([C@H](C(C)C)[C@@](OC(=O)COC)(CCN(CCCc3[nH]c4c(n3)cccc4)C)CC2)cc1,training,0.0
Clc1c([C@@H](OCc2c(Cl)cc(Cl)cc2)Cn2cncc2)ccc(Cl)c1,training,0.0
O(/N=C\C1=CCCN(C)C1)C,training,0.0
N(CCN1CCOCC1)c1c(C)cc(-c2ccccc2)nn1,training,0.0
[O-][n+]1c(N)nc(N2CCCCC2)cc1N,training,0.0
Fc1ccc(Cn2c(N3CCC(N(C)C4=NC=CC(=O)N4)CC3)nc3c2cccc3)cc1,training,0.0
[SH0](=O)(C(c1ccccc1)c1ccccc1)CC(=O)N,training,0.0
O=C1[C@@H](CN2CCOCC2)CCc2[nH]c(C)c(CC)c12,training,0.0
