smiles,group,CYP3A4-sub
O=C(OCC)N[C@@H](C(=O)N1[C@H](C(=O)NNCCCCN)CCC1)Cc1ccccc1,training,0.0
S(CCNC(=O)CCNC(=O)[C@H](O)C(COP(=O)(OP(=O)(OC[C@H]1[C@H](OP(=O)(O)O)[C@@H](O)[C@H](n2c3ncnc(N)c3nc2)O1)O)O)(C)C)Cc1ccc(O)cc1,training,0.0
O=C(N[C@@H](C(=O)O)C)N,training,0.0
O=NN(C(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O)C,training,0.0
O=C1N([C@H]2[C@H](O)[C@H](O)[C@@H](CO)O2)C=2NC(N)=NC(=O)C=2S1,training,0.0
O=C1N([C@H]2[C@H](O)[C@H](O)[C@@H](CO)O2)C=CC=N1,training,0.0
O([C@@H](C)[C@@H]1[C@@]2(C)[C@@H](/C(=C\C=C\3/C(=C)[C@H](O)C[C@@H](O)C/3)/CCC2)CC1)CCCC(O)(CC)CC,training,0.0
S(=O)(=O)(N)c1ccc(C(=O)NC[C@@H](CC)c2cc3c([nH]cc3)cc2)cc1,training,0.0
O=C(OC)CCCCCCCC,training,0.0
Clc1cc(OCCCONC(=N)N)cc(C(=O)N(CC=C)C2CCCC2)c1,training,0.0
O(C)C=1C(=O)C(CCCCCCCCCC)=C(C)C(=O)C=1OC,training,0.0
OCCCCCCCCC,training,0.0
O=C(O)c1c(C(=O)O)c(-c2ccccc2)oc1-c1ccccc1,training,0.0
NC1(c2ccccc2)CCCCC1,training,0.0
P(=O)(OC[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](O)O1)(O)O,training,0.0
O=C(O)CCCCCCCCC/C=C\CCCCCC,training,0.0
N=C(NC(=N)N)NCCc1ccccc1,training,0.0
Oc1cc(N(CC2=NCCN2)c2ccc(C)cc2)ccc1,training,0.0
O=C1NC(N)=Nc2n([C@H]3[C@H](O)[C@@H](O)[C@H](CO)O3)c[n+](C)c12,training,0.0
O=C(O)CN(C(=N)N)C,training,0.0
S(=O)(=O)(N[C@@H](C(=O)O)CCC(=O)O)c1cc2c(cc(OCc3ccc(C#N)cc3)cc2)cc1,training,0.0
O=C(NCc1ccccc1)[C@@H](NC(=O)[C@H](C[C@@H](O)[C@@H](NC(=O)[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)OCCCCCCNC(=O)C1)CC(C)C)C)C(C)C,training,0.0
O([C@H]1[C@H](O)[C@@H](O)C(O)O[C@@H]1CO)[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@@H](CO)O1,training,0.0
Cc1nc(C2=C(c3nc4c(nccc4)cc3)CNN2)ccc1,training,0.0
P(=O)(OP(=O)(OC[C@H]1[C@H](O)C[C@H](N2C(=O)N=C(N)C=C2)O1)O)(OP(=O)(O)O)O,training,0.0
O=C(C)C1Oc2c(OCC(O)CNC(C)C)cccc2C1,training,0.0
O=C(O)C[C@@H](C[C@H](C[C@@H](CCCC[C@H](O)[C@H](C=O)CO)C)C)C,training,0.0
O=C(NCC1N(CC=C)CCC1)c1c(OC)cc2n[nH]nc2c1,training,0.0
O=C(N[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@@H](CO)O2)[C@@H](CO)O[C@H]1O)C,training,0.0
P(=O)(OP(=O)(OC[C@H]1[C@H](O)[C@@H](O)[C@H](N2C(=O)NC(=O)C=C2)O1)O)(OCCCCCCN)O,training,0.0
O=C(O)[C@@H](NC(=O)c1ccc([C@H](C(=O)O)Cc2cc3c(O)nc(N)nc3cc2)cc1)CCC(=O)O,training,0.0
O=C(O)C=1OC[C@@H](O)[C@H](O)C=1,training,0.0
Fc1ccc(C(=O)c2ccncc2)cc1,training,0.0
Fc1c(N2C[C@@H](C)N[C@@H](C)C2)c(F)c2N(C3CC3)C=C(C(=O)O)C(=O)c2c1N,training,0.0
O=C(NC1CC1)c1cc(c(C)cc1)-c1cc2c(nc(NCCN3CCOCC3)nc2)cc1,training,0.0
ClCCC(=O)[C@@H](NC(=O)[C@@H](NC(=O)C)C)Cc1ccccc1,training,0.0
S(CC[C@H](NC=O)C(=O)O)C,training,0.0
OCCN,training,0.0
BrC=1N=C2C(=O)NCC[C@H](C=3C(=O)N=C(N)N=3)[C@@H]2C=1,training,0.0
Clc1ccc(NC(=O)Cn2c(C(=O)NC3CCN(C(C)C)CC3)cc3c2cccc3)cc1,training,0.0
Clc1cc(NC(=O)[C@@H]2CN(C(=O)C2)C2CCCCC2)c(C)cc1,training,0.0
P(=O)(O)(O)CC(=O)O,training,0.0
S=C(N(CC(=O)O)C)c1c2c(c(C(F)(F)F)c(OC)cc2)ccc1,training,0.0
O=C(O)c1cnc(C2(c3c(C)cc4C(C)(C)CCC(C)(C)c4c3)CC2)cc1,training,0.0
O=C(N)c1c(N)c2c(c(C#N)c(N)nc2s1)-c1ccc(OCC)cc1,training,0.0
O=C(O)[C@@H]1[C@@H](O)C[C@]2(O)O[C@H]1C[C@@H](O[C@H]1[C@@H](O)[C@@H](N)[C@H](O)[C@@H](C)O1)/C=C/C=C/C=C/C=C/C[C@@H](C)OC(=O)/C=C/[C@H]1O[C@@H]1C[C@H](O)C2,training,0.0
O[C@H]1[C@H](O)C(O)OC[C@@H]1O,training,0.0
O(C)c1ccc(CN(CCN(C)C)c2ncccc2)cc1,training,0.0
O=C(C(CC(C)N1CCCCC1)(c1ccccc1)c1ccccc1)CC,training,0.0
Clc1c(Cl)cccc1CC[C@H]([C@@H](O)C)n1cc(C(=O)N)nc1,training,0.0
O=C(O)[C@@]1(O)C=C[C@H](O)[C@@H](O)C1,training,0.0
O=C(O)[C@@H](N)C[C@H]1C(=O)C=C(O)/C(=N\[C@H]2[C@H](c3ccccc3)C2)/C1,training,0.0
Ic1cc(F)c(Nc2c(F)c(F)c(Br)cc2C(=O)NOC[C@H](O)CO)cc1,training,0.0
C(Cc1ccncc1)c1c2c([nH]c1)cccc2,training,0.0
O[C@@H]1[C@@H](O)[C@H](O)O[C@H](C)[C@@H]1O,training,0.0
O([C@H](C(=O)Nc1c2C(=O)C(=O)NC(=O)c2ccc1)c1ccccc1)C(=O)C,training,0.0
P(=O)(OCC)(OCC)OCC,training,0.0
O(C)c1c(OC)cc(N(C[C@@H]2CC=3C(N)=N[C@H](N)NC=3CC2)C)cc1OC,training,0.0
Brc1ccc(-c2nn(C)c3c2cc(F)c(OC/C=C/CN(CC=C)C)c3)cc1,training,0.0
OCc1cnccc1,training,0.0
O=C1OCC([C@@H]2[C@@]3(C)[C@H](O)C[C@@H]4[C@]5(C)[C@H](C[C@@H](O)CC5)CC[C@H]4[C@]3(O)CC2)=C1,training,0.0
Clc1c(O)cc(O)c(-c2c(C(=O)Nc3ccc(C(=O)C)cc3)cn[nH]2)c1,training,0.0
O=C(OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)/c3occc3)[C@H]2SC1)N,training,0.0
S(S)CCNC(=O)CCNC(=O)[C@H](O)C(COP(=O)(OP(=O)(OC[C@H]1[C@H](OP(=O)(O)O)[C@@H](O)[C@H](n2c3ncnc(N)c3nc2)O1)O)O)(C)C,training,0.0
SCCOCCOCCOCCOCCOCCOCCO,training,0.0
OC(=Nc1c(C)cccc1C)C(N(CCC)CC)CC,training,0.0
S(=O)(=O)(N)c1ccc(C(=O)NCc2c(F)c(F)c(F)cc2)cc1,training,0.0
O(C)c1cc(OC)cc(CN(C)c2cnc3nc(N)nc(N)c3c2)c1,training,0.0
O=C1NC(Nc2ccccc2)=Nc2n(CCCCO)cnc12,training,0.0
O=C(N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN)CCC(=O)NCCCCCN(O)C(=O)C,training,0.0
S(=O)(=O)(OP(=O)(OC[C@H]1[C@H](O)[C@@H](O)[C@H](n2c3ncnc(N)c3nc2)O1)O)O,training,0.0
Clc1cc(Cl)cc(Cl)c1,training,0.0
O=C(N[C@H](C(=O)N)CCCCN=C(N)N)[C@H](NC(=O)[C@H]1N(C(=O)[C@H](NC(=O)C2CCC(CN=C(N)N)CC2)CC2CCCCC2)CC1)Cc1ccc(O)cc1,training,0.0
O=C(N[C@@H](C(=O)N1[C@H](C(=O)N[C@@H](CCCCCN)B(O)O)CCC1)Cc1ccccc1)C,training,0.0
FC(F)(F)c1cc(NC(=O)c2cc(Nc3cc(C(=O)N)cnc3)c(C)cc2)ccc1,training,0.0
O=C(O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@H]2N(C)[C@@H]1CC2,training,0.0
O=C(OCC)[C@@H](N[C@H](C(=O)N1[C@H](C(=O)O)C[C@@H]2[C@@H]1CCCC2)C)CCc1ccccc1,training,0.0
SC=1S[C@H](Cc2ccc(C(F)(F)F)cc2)C(=O)N=1,training,0.0
O=C1N2C([C@H]3CNC[C@@H](C2)C3)=CC=C1,training,0.0
S(=O)(=O)(N)c1ccc(NC(=S)NN2CCN(C)CC2)cc1,training,0.0
Clc1c(C)c(Nc2c(C(=O)O)cccn2)ccc1,training,0.0
S(=O)(=O)(NC[C@H]([C@@H](C=O)CC)C(=O)O)c1ccc([N+](=O)[O-])cc1,training,0.0
S(CCOP(=O)(OC[C@@H](NC(=O)C)COCCCCCCCCCCCCCCCCCC)O)C,training,0.0
[SH0](=O)(CC[C@H](N)C(=O)O)C,training,0.0
O=C(O)CCc1c(C)[cH0]=2[n-][cH0]1=CC=1C(CCC(=O)O)=C(C)C(N=1)=Cc1c(C=C)c(C)c([n-]1)C=C1C(C=O)=C(C)C(=N1)C=2,training,0.0
O=[N+]([O-])c1ccc(/C=C/c2ccc(N(CCCCC(=O)O)C)cc2)cc1,training,0.0
Fc1c(C)ccc(-c2nc(C(=O)N3CC(C)(C)CCC3)ccc2)c1,training,0.0
ClCC(=O)[C@@]1(O)[C@@H](C)C[C@@H]2[C@]1(C)C[C@H](O)[C@]1(F)[C@]3(C)C([C@@H](F)C[C@@H]21)=CC(=O)C=C3,training,0.0
Brc1c(OC)c(C(=O)NC[C@H]2N(CC)CCC2)c(OC)cc1,training,0.0
S(=O)(=O)(OC1C(OS(=O)(=O)O)C(OS(=O)(=O)O)C(OS(=O)(=O)O)C(OS(=O)(=O)O)C1OS(=O)(=O)O)O,training,0.0
Fc1ccc(C(N2CCN(C/C=C/c3ccccc3)CC2)c2ccc(F)cc2)cc1,training,0.0
O=C(O)c1cc2c(cc(-c3cc(c(OC)cc3)C34CC5CC(C3)CC(C4)C5)cc2)cc1,training,0.0
P(=O)(Oc1ccccc1)(O)O,training,0.0
O=C1/C(=C\c2ncccc2)/SC(=N)N1,training,0.0
CC1(C)OC2(C)CCC1CC2,training,0.0
O=C(O)CCc1c2c([nH]c1)ccc(OC)c2,training,0.0
O=C(O)[C@@H](O)C[C@H](O)[C@@H](O)CO,training,0.0
O=C(O)/C=C/c1c(O)cc(O)cc1,training,0.0
S(=O)(=O)(O)c1cc2c(cc1)cccc2,training,0.0
O=C1N([C@H]2O[C@H](CO)[C@@H](O)C2)CCC(=O)N1,training,0.0
OC(=N)N,training,0.0
O=C1[C@@H]2Oc3c(O)ccc4c3[C@@]32[C@](O)([C@H](N(CC2CC2)CC3)C4)CC1,training,0.0
P(=O)(OC[C@@H]1OC(=O)N(c2cc(F)c(-c3cnc(-c4nn(C)nn4)cc3)cc2)C1)(O)O,training,0.0
S=C1N(C)C=CN1,training,0.0
SC[C@@H](O)[C@H](O)CS,training,0.0
O=C1NC(N)=Nc2c(CCc3ccccc3)c3nc[nH]c3cc12,training,0.0
O=C(OCc1ccccc1)N[C@H](C(=O)N[C@H]([C@H](O)COC)CC(C)C)CC(C)C,training,0.0
Oc1c2c(-c3nc(N)ncc3)c3n(C(N)=NC=C3)c2ncc1,training,0.0
O=C(OC[C@@H](N)C(=O)[O-])[C@H](NC(=O)c1c(OC)cccc1OC)[C@H]1SC(C)(C)[C@@H](C(=O)[O-])N1,training,0.0
O(C)c1ccc(C2C(=O)c3c(C2=O)cccc3)cc1,training,0.0
O=C1C(c2ccc(O)cc2)(c2ccc(O)cc2)c2c(N1)cccc2,training,0.0
S(C(=N)NC(=N)N)Cc1cc(C(F)(F)F)ccc1,training,0.0
O=C(O)N[C@@H]([C@@H](N)C)CCCCCC(=O)O,training,0.0
O=C(O)c1c(N)cccc1,training,0.0
O(CN1C(Cc2ccccc2)=C(C(C)C)C(=O)NC1=O)Cc1ccccc1,training,0.0
O=C(O[C@H]1[C@@H](O)[C@H](Oc2c(C)c3OC(=O)C(NC(=O)c4cc(CC=C(C)C)c(O)cc4)=C(O)c3cc2)OC(C)(C)[C@@H]1OC)N,training,0.0
O=C([O-])CN1CCN([C@@H]([C@H](O)CO)CO)CCN(CC(=O)[O-])CCN(CC(=O)[O-])CC1,training,0.0
S(=O)(=O)(ON1C(=O)N2[C@H](C(=O)N)CC[C@@H]1C2)O,training,0.0
FC(F)(F)c1cc(Nc2c(C(=O)OC3OC(=O)c4c3cccc4)cccn2)ccc1,training,0.0
[Cu+](O)(O)(n1cncc1)(n1cncc1)(n1cncc1)n1cncc1,training,0.0
P(=O)(OCCc1c(C)ncs1)(O)O,training,0.0
FC(F)(F)c1ccc(NC=2n3ncnc3N=C(C)C=2)cc1,training,0.0
O=C1[C@@H](C)[C@@]2(O)[C@@H](O1)C[C@]13[C@@H]4OC(=O)[C@]21O[C@@H]1OC(=O)[C@H](O)[C@]31[C@H](C(C)(C)C)C4,training,0.0
S(=O)(=O)(N1[C@H](C(=O)NO)C(C)(C)SCCC1)c1ccc(OC)cc1,training,0.0
O=C(NC)CN1CCC(Nc2nc(-c3n4c(nc3)C=CC=C4)ccn2)CC1,training,0.0
O=C1C(CC)(CC)C(=O)NC(=O)N1,training,0.0
F[C@@H]1[C@@H](O)[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)[C@@H](CO)O2)[C@@H](CO)O[C@H]1[O-],training,0.0
O=C(O)/C=C/c1cc(O)c(O)cc1,training,0.0
O=C(O)CCCCCCCCCCCCCCCCCCCCCC,training,0.0
O=C(N[C@@H](C(=O)NC)C(C)C)[C@@H](OCc1ccc(-c2cscc2)cc1)[C@H](O)[C@@H](O)[C@H](OCc1ccc(-c2cscc2)cc1)C(=O)N[C@@H](C(=O)NC)C(C)C,training,0.0
O=C(O)c1nc2[C@@H](O)CC=Cc2c([C@@H](O)C)c1,training,0.0
Fc1c(F)cc(F)c2sc(Cc3c4c(n(CC(=O)O)c3)nccc4)nc12,training,0.0
O=C(OC)CC1=C(C(=O)O)N[C@@H]([C@H](NC(=O)Cc2sccc2)C=O)SC1,training,0.0
S(=O)(=O)(NC[C@@H](O)[C@@H](N)Cc1ccccc1)c1c(C)c(C)c(OC)cc1C,training,0.0
P(=O)(OCC[N+](C)(C)C)(OCCCCCCCCCCCCCCCC)[O-],training,0.0
OCC1(O)[C@@H]2C(O)C34[C@H](O)C([O-])(O2)OC1C3C(O)[N+]=C(N)N4,training,0.0
O[C@@H]1[C@]2(C)[C@H]([C@H]3[C@@H]([C@]4(C)[C@H](C[C@H](O)CC4)CC3)CC2)CC1,training,0.0
P(=O)(O[C@@H](C(=O)N[C@@H](C(=O)O)CCC(=O)N[C@H](C(=O)O)CCC(=O)O)C)(OC[C@H](O)[C@@H](O)[C@H](O)CN1c2c(ccc(O)c2)C=C2C(=O)NC(=O)N=C12)O,training,0.0
O=C(OCC)N[C@H](C(=O)O)CC(C)C,training,0.0
S(=O)(=O)(OC[C@H](N)C(=O)O)Cc1ccccc1,training,0.0
O=C(O)c1ccc(-c2n[nH]c3-c4c(cc(CNC5CCC(C)CC5)cc4)Cc23)cc1,training,0.0
P(=O)(OC[C@@H](OC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC)(OCCN)O,training,0.0
Ic1c2c(N)ncnc2n([C@H]2[C@H](O)[C@H](O)[C@@H](CO)O2)c1,training,0.0
O=C(O)CCCCCC[C@@H]1[C@@H](C=C[C@@H](O)CCCCC)[C@H](O)CC1=O,training,0.0
S(C[C@H](N)C(=O)O)C,training,0.0
O=[N+]([O-])c1cc2nc(Cc3ccc(OCC)cc3)n(CCN(CC)CC)c2cc1,training,0.0
S(=O)(=O)(N)c1c(Oc2ccccc2)c(N2CCCC2)cc(C(=O)O)c1,training,0.0
FC(F)(F)c1ccc(O[C@H](CCNC)c2ccccc2)cc1,training,0.0
O=C(CCc1cc2c(cc(OC)cc2)cc1)C,training,0.0
Clc1c(OC(C(=O)NC2[C@H]3CC4(S(=O)(=O)C)C[C@@H]2CC(C4)C3)(C)C)ccc(F)c1,training,0.0
P(=O)(Oc1ccccc1)(O)[C@@H](NC(=O)CCC(=O)O)CCCC,training,0.0
Brc1cc(c(O)cc1)C=1NC(=O)C(C#N)=C(c2ccccc2)C=1,training,0.0
O=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)c1ccc(NCCCC)cc1,training,0.0
Ic1sc(C(=O)c2ccc([C@@H](C(=O)O)C)cc2)cc1,training,0.0
P(=O)(OC[C@H](OC(=O)C)COCCCCCCCCCCCCCCCC)(OCC[N+](C)(C)C)[O-],training,0.0
O(C)c1c(CN(C)c2cnc3nc(N)nc(N)c3c2)cc(OC)cc1,training,0.0
O=C1N(CC)C(=O)CC1,training,0.0
Clc1ccc(C2CCC(C3=C(O)C(=O)c4c(C3=O)cccc4)CC2)cc1,training,0.0
O(C)c1c(O)cc([C@H]2Oc3c(c(O)cc(O)c3)C(=O)C2)cc1,training,0.0
Fc1ccc(N(C(=O)CC)C2CCN(CCc3ccccc3)CC2)cc1,training,0.0
Oc1ccc([C@@H]2OC(C)(C)[C@@H]3C[C@H]2C(C)=CC3)cc1,training,0.0
O=C(O[C@H]1[C@]2(C)[C@@H](O)[C@H](/C=C/C=C/C=C/C3=C(C)C(OC)=CC(=O)O3)O[C@@]1(C)[C@@H](CC)O2)C,training,0.0
O=[N+]([O-])c1c(O)c([C@H](CCCCC)C)cc([N+](=O)[O-])c1,training,0.0
P(=O)(Oc1ccc(C[C@H](N)C(=O)O)cc1)(O)O,training,0.0
O=C(CNC1CCCC1)N1[C@H](C(=O)NCc2ccc(C(=N)N)cc2)CCC1,training,0.0
Sc1sc(NC(=O)N[C@H](C(=O)NC)Cc2c(F)c(F)c(F)c(F)c2F)nn1,training,0.0
[Se](CC[C@H](N)C(=O)O)C[C@H]1[C@H](O)[C@@H](O)[C@H](n2c3ncnc(N)c3nc2)O1,training,0.0
P(=O)(OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(N[C@H](C(=O)O)CC(=O)O)c3nc2)O1)(O)O,training,0.0
S(/C(=N/c1ccccc1)/N)CC,training,0.0
S=P1(O)O[C@H]2[C@@H](CO)O[C@H](n3c4N=C(N)NC(=O)c4nc3)[C@H]2O1,training,0.0
O=C1[C@](O)(CC)C2=C(C(=O)N3C(c4nc5c(cc4C3)cccc5)=C2)CO1,training,0.0
O=C1N=CNc2n([C@H]3[C@H](O)[C@H](O)[C@@H](CO)O3)cnc12,training,0.0
Brc1c(O)nc(N)nc1-c1ccccc1,training,0.0
ClC[C@H](O)[C@@H](N)Cc1ccccc1,training,0.0
O=C(O)[O-],training,0.0
OCCCCCCO,training,0.0
O=C(CO)[C@]12[C@]3(C)[C@H]([C@H]4[C@H]([C@@H](O)C3)[C@]3(C)C(=CC(=O)C=C3)CC4)C[C@H]1OC(C)(C)O2,training,0.0
O=C(O)[C@@H]1CN(c2ccc(C(=O)C)cc2)C(=O)C1,training,0.0
O=C(N[C@H](C(=O)NCCCCNC(=[N+])N)CC(C)C)[C@@H](O)CC(=O)O,training,0.0
[N+](C)(C)=C1C=CC(=C(c2ccc(N(C)C)cc2)c2ccccc2)C=C1,training,0.0
O(C)[C@@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](C)O1,training,0.0
S(=O)(=O)(O[C@@H]1CC=2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)(C(=O)CC4)CC3)CC=2)CC1)O,training,0.0
P(=O)(OP(=O)(OC[C@@H]1[C@H](O)[C@@H](O)[C@H](n2c3N=CN([C@H]4[C@H](O)[C@H](O)[C@@H](COP(=O)([O-])[O-])O4)C(=N)c3nc2)O1)[O-])(OP(=O)([O-])[O-])[O-],training,0.0
P(=O)(N([C@@H](C(=O)NO)CC(C)C)Cc1ccccc1)(C)c1ccccc1,training,0.0
Fc1cc2c(c3nc(C(C)(C)C)[nH]c3c3c2C(=O)NC=C3)cc1,training,0.0
Fc1c(C(=O)C2=Cn3c(C(=O)c4ccccc4)c(N)nc3C=C2)c(F)ccc1,training,0.0
FC(F)(F)c1cc(N2CCN(CCOC(=O)c3c(Nc4c5c(ncc4)cc(C(F)(F)F)cc5)cccc3)CC2)ccc1,training,0.0
Cl[C@@H]1SC2=NC(C(=O)N[C@@H]3C(=O)N(CC(=O)N)c4c(cccc4)C3)=CC2=C1,training,0.0
O=C(OC(C)(C)C)Nc1c(C(=O)Nc2sccn2)nccc1,training,0.0
O=C(O)c1nc(-c2nc(-c3cc(OCC)c(OCC)cc3)sc2)ccc1,training,0.0
Clc1nc(N)cnc1,training,0.0
O=C(OC)Nc1[nH]c2c(n1)ccc(OCCC)c2,training,0.0
Oc1c(C)cc(-c2oc3c(n2)cccc3)cc1C,training,0.0
O=C(N1CCC(C(=O)OC)CC1)c1ccc(NCc2nc3c(N)nc(N)nc3nc2)cc1,training,0.0
S=C1OC(c2cc3n(-c4ccc(OC)cc4)cnc3cc2)=NN1,training,0.0
O[C@@H](CC)C,training,0.0
P(=O)(OC[C@@H](O)[C@H](O)[C@@H](O)NO)(O)O,training,0.0
P(=O)(OCc1c(CNCCCC[C@@H](N)C(=O)O)c(O)c(C)nc1)(O)O,training,0.0
O=C(O[C@@H]1[C@@H]2[C@@H](CC[C@H]3OC(=O)C[C@H](O)C3)[C@@H](C)C=CC2=CCC1)[C@H](CC)C,training,0.0
P(=O)(OC[C@H]1[C@H](O)[C@@H](O)[C@H]([n+]2cc(C(=O)N)ccc2)O1)(O)O,training,0.0
FC(F)(F)c1c(/N=N/C=2C(=N)N=NC=2N)cccc1,training,0.0
CC1(C)C2(C)CCC1CC2,training,0.0
O=C(OC)/C=C/CCCC[C@@H]1[C@@H](/C=C/[C@@H](O)C(CCCC)(C)C)[C@H](O)CC1=O,training,0.0
S([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1ccc([N+](=O)[O-])cc1,training,0.0
O=C1C(CC)(C(=O)NC(=O)N1)C1=CCCCCC1,training,0.0
OCCN(C)c1ncnc2oc(c(-c3ccccc3)c12)-c1ccccc1,training,0.0
Clc1sc(-c2[nH]nc(S(=O)(=O)N[C@@H]3C(=O)N([C@H](C(=O)N4CCOCC4)C)CC3)n2)cc1,training,0.0
Clc1c(OOO)c(Cl)cc(Nc2c(C(=O)O)cccc2)c1,training,0.0
Fc1c(Cn2c3nc(OCCCC)nc(NCCN4CCOCC4)c3nc2)c(F)ccc1,training,0.0
Clc1c(C(=O)NC(=O)Nc2c(N3CCC(C(=O)O)CC3)ccc(F)c2)cc(F)c(F)c1,training,0.0
P(=O)(OCC)(OCC)Oc1ccc(OC)cc1,training,0.0
O=C(C)[C@@H]1[C@]2(C)[C@H]([C@H]3[C@H]([C@@H](O)C2)[C@]2(C)C([C@@H](C)C3)=CC(=O)CC2)CC1,training,0.0
